,short_name,age,height_cm,weight_kg,nationality,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
1281,L. Acosta,31,169,67,Argentina,76,Right,4,4,High/High,LW,92.0,70.0,67.0,79.0,45.0,63.0,"Avoids Using Weaker Foot, Early Crosser, Giant Throw-in",69,69,67,67,75,78,65,45,65,77,90,93,88,80,91,73,88,76,48,67,79,57,76,73,65,80,41,37,33,73+2,73+2,73+2,76+2,75+2,75+2,75+2,76+2,74+2,74+2,74+2,75+2,69+2,69+2,69+2,75+2,63+2,60+2,60+2,60+2,63+2,61+2,54+2,54+2,54+2,61+2
1284,S. Blanco,31,168,68,Argentina,76,Right,5,3,High/Medium,LM,76.0,74.0,73.0,78.0,33.0,70.0,"Argues with Officials, Crowd Favourite",71,70,66,76,76,78,68,61,73,76,76,76,86,76,79,81,65,85,59,81,81,33,73,74,62,62,30,25,33,73+2,73+2,73+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,71+2,71+2,71+2,75+2,59+2,57+2,57+2,57+2,59+2,55+2,48+2,48+2,48+2,55+2
1286,B. Raman,24,172,67,Belgium,76,Right,4,3,High/Medium,LM,91.0,72.0,66.0,79.0,26.0,56.0,"Injury Free, Early Crosser",64,75,65,73,66,79,72,67,54,75,93,90,89,74,85,70,71,76,39,72,72,23,75,64,65,73,25,20,15,73+2,73+2,73+2,76+2,75+2,75+2,75+2,76+2,74+2,74+2,74+2,74+2,65+2,65+2,65+2,74+2,54+2,49+2,49+2,49+2,54+2,50+2,41+2,41+2,41+2,50+2
1290,A. Knockaert,27,172,69,France,76,Left,3,4,High/High,RW,73.0,70.0,72.0,83.0,49.0,65.0,"Injury Free, Selfish, Crowd Favourite",75,70,59,73,62,83,75,71,64,82,75,72,88,72,83,73,72,72,54,70,80,52,74,74,68,73,58,40,34,71+2,71+2,71+2,76+2,75+2,75+2,75+2,76+2,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,63+2,62+2,62+2,62+2,63+2,60+2,56+2,56+2,56+2,60+2
1291,S. Chukwueze,20,172,70,Nigeria,76,Left,3,4,High/Medium,RM,87.0,72.0,66.0,82.0,36.0,57.0,"Selfish, Early Crosser",69,71,44,69,70,84,71,58,56,78,89,85,88,72,82,76,67,72,53,74,47,33,75,68,55,70,40,32,33,71+2,71+2,71+2,76+2,75+2,75+2,75+2,76+2,74+2,74+2,74+2,75+2,66+2,66+2,66+2,75+2,59+2,53+2,53+2,53+2,59+2,55+2,45+2,45+2,45+2,55+2
1307,E. Valencia,29,177,76,Ecuador,76,Right,3,4,High/Medium,RM,87.0,75.0,67.0,74.0,39.0,74.0,"Long Throw-in, Early Crosser, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)",70,75,71,68,65,73,71,65,63,73,88,87,82,72,76,80,90,80,74,74,61,42,74,67,70,73,25,40,42,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,72+2,72+2,72+2,73+2,67+2,67+2,67+2,73+2,61+2,56+2,56+2,56+2,61+2,58+2,53+2,53+2,53+2,58+2
1318,Aleix Vidal,29,177,70,Spain,76,Right,4,3,High/Medium,RM,85.0,66.0,71.0,78.0,72.0,71.0,Early Crosser,73,67,63,78,48,79,69,46,64,78,84,85,75,77,76,81,77,67,68,59,80,74,66,68,51,71,74,70,74,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,74+2,71+2,71+2,71+2,74+2,75+2,73+2,73+2,73+2,75+2,74+2,72+2,72+2,72+2,74+2
1322,R. Hamouma,32,178,76,France,76,Right,4,3,High/Medium,RM,67.0,73.0,76.0,78.0,42.0,63.0,"Power Free-Kick, Early Crosser",77,73,63,77,73,79,76,70,71,79,66,67,77,72,74,70,58,71,60,73,60,39,77,76,71,73,38,41,41,72+2,72+2,72+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,61+2,59+2,59+2,59+2,61+2,57+2,51+2,51+2,51+2,57+2
1324,Davidson,28,177,63,Brazil,76,Right,3,4,Medium/Medium,LM,76.0,72.0,70.0,78.0,41.0,69.0,"Diver, Argues with Officials",70,73,60,72,62,80,70,69,63,77,75,77,77,76,73,81,69,85,60,65,70,32,74,72,71,68,40,40,41,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,61+2,58+2,58+2,58+2,61+2,58+2,51+2,51+2,51+2,58+2
1327,Héldon,30,173,74,Cape Verde,76,Right,3,4,High/Low,RM,85.0,71.0,70.0,78.0,29.0,58.0,Early Crosser,76,72,59,67,65,79,73,71,62,77,86,85,83,74,76,75,64,74,54,67,46,31,73,74,71,74,23,25,21,72+2,72+2,72+2,75+2,74+2,74+2,74+2,75+2,73+2,73+2,73+2,75+2,67+2,67+2,67+2,75+2,56+2,50+2,50+2,50+2,56+2,52+2,41+2,41+2,41+2,52+2
1336,A. Mena,31,168,71,Ecuador,76,Left,4,4,Medium/Medium,RM,83.0,72.0,71.0,78.0,44.0,48.0,"Beat Offside Trap, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only)",70,73,65,73,71,76,62,67,68,77,82,83,90,74,86,70,41,79,42,72,27,43,74,73,69,72,38,46,41,71+2,71+2,71+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,62+2,57+2,57+2,57+2,62+2,60+2,48+2,48+2,48+2,60+2
1341,Fernandinho,26,174,70,Brazil,76,Left,3,4,High/Low,RM,80.0,69.0,72.0,77.0,51.0,67.0,"Argues with Officials, Crowd Favourite",70,67,44,75,58,78,67,60,70,77,80,80,72,77,79,75,87,70,66,71,63,50,75,73,63,74,56,50,49,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,65+2,63+2,63+2,63+2,65+2,62+2,58+2,58+2,58+2,62+2
1343,E. Hernández,31,171,65,Mexico,76,Right,3,4,Medium/Low,LM,75.0,72.0,75.0,78.0,47.0,60.0,"Speed Dribbler (CPU AI Only), Crowd Favourite",75,72,49,76,72,77,75,67,72,80,73,77,81,70,81,73,71,77,59,74,39,42,70,78,70,80,50,45,52,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,72+2,72+2,72+2,75+2,64+2,61+2,61+2,61+2,64+2,61+2,53+2,53+2,53+2,61+2
1344,L. Acosta,25,161,61,Argentina,76,Right,3,5,High/Medium,LM,81.0,67.0,71.0,80.0,46.0,61.0,"Selfish, Finesse Shot, Crowd Favourite",61,67,53,77,67,80,74,62,70,77,87,76,88,74,90,71,57,75,51,67,69,44,72,73,54,73,47,47,33,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,61+2,61+2,61+2,61+2,61+2,58+2,52+2,52+2,52+2,58+2
1348,N. Sliti,26,173,76,Tunisia,76,Right,3,4,Medium/Medium,LM,75.0,69.0,73.0,80.0,34.0,69.0,"Argues with Officials, Finesse Shot, Crowd Favourite",70,67,49,79,72,81,72,70,63,79,76,74,79,74,84,68,66,81,67,74,59,32,73,76,70,78,31,35,27,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,71+2,71+2,71+2,75+2,59+2,56+2,56+2,56+2,59+2,54+2,47+2,47+2,47+2,54+2
1356,Toni Villa,24,171,63,Spain,76,Right,4,4,High/Medium,LM,79.0,64.0,74.0,83.0,52.0,49.0,"Selfish, Finesse Shot, Crowd Favourite",72,63,46,78,52,82,75,51,72,83,84,74,88,75,84,63,47,59,39,70,60,52,66,76,60,74,50,56,54,66+2,66+2,66+2,76+2,74+2,74+2,74+2,76+2,76+2,76+2,76+2,75+2,72+2,72+2,72+2,75+2,66+2,64+2,64+2,64+2,66+2,63+2,55+2,55+2,55+2,63+2
1368,S. Taïder,27,180,79,Algeria,76,Right,3,4,High/High,LW,70.0,73.0,74.0,75.0,66.0,77.0,"Long Throw-in, Avoids Using Weaker Foot, Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only)",68,70,63,79,70,75,74,65,74,77,72,68,73,72,67,81,61,88,73,73,79,66,70,73,73,73,70,66,58,72+2,72+2,72+2,72+2,73+2,73+2,73+2,72+2,74+2,74+2,74+2,73+2,74+2,74+2,74+2,73+2,71+2,72+2,72+2,72+2,71+2,69+2,68+2,68+2,68+2,69+2
1377,Portillo,29,169,60,Spain,76,Right,3,3,Medium/Medium,RM,61.0,72.0,77.0,77.0,55.0,63.0,,79,76,59,78,64,78,76,63,77,77,63,60,72,74,84,68,58,70,63,69,56,56,75,77,62,70,52,56,53,71+2,71+2,71+2,74+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,74+2,74+2,74+2,74+2,66+2,65+2,65+2,65+2,66+2,63+2,59+2,59+2,59+2,63+2
1379,Garry Rodrigues,28,173,70,Cape Verde,76,Right,3,4,Medium/Medium,LM,83.0,72.0,71.0,77.0,43.0,69.0,"Injury Free, Selfish, Early Crosser",72,71,56,72,72,77,74,61,68,73,82,84,84,74,87,76,65,86,60,70,70,44,74,70,61,66,42,40,44,71+2,71+2,71+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,69+2,69+2,69+2,74+2,63+2,60+2,60+2,60+2,63+2,60+2,53+2,53+2,53+2,60+2
1386,Pablo Hernández,34,173,66,Spain,76,Right,3,4,Medium/Medium,RM,70.0,73.0,76.0,78.0,46.0,60.0,"Finesse Shot, Crowd Favourite",77,73,58,72,64,77,81,77,71,79,71,69,79,68,84,74,67,78,53,74,54,58,71,82,70,78,40,38,54,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,72+2,72+2,72+2,74+2,64+2,61+2,61+2,61+2,64+2,61+2,53+2,53+2,53+2,61+2
1389,Embarba,27,173,66,Spain,76,Right,3,3,Medium/Medium,RM,79.0,69.0,75.0,75.0,47.0,65.0,,71,72,45,78,53,75,62,65,75,71,77,80,83,76,78,69,60,80,62,68,56,49,75,77,62,70,41,52,49,69+2,69+2,69+2,74+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,75+2,72+2,72+2,72+2,75+2,65+2,63+2,63+2,63+2,65+2,62+2,54+2,54+2,54+2,62+2
1393,D. Biseswar,31,176,79,Netherlands,76,Right,3,3,Medium/Medium,LM,73.0,70.0,76.0,79.0,33.0,60.0,"Beat Offside Trap, Selfish, Argues with Officials, Crowd Favourite",76,66,42,76,65,80,85,75,74,78,74,73,77,73,80,75,70,56,63,76,54,31,70,74,61,71,42,24,23,69+2,69+2,69+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,56+2,54+2,54+2,54+2,56+2,51+2,44+2,44+2,44+2,51+2
1413,R. Ibarra,28,175,69,Ecuador,76,Right,3,3,High/High,RM,92.0,65.0,70.0,77.0,53.0,74.0,"Power Free-Kick, Early Crosser, Speed Dribbler (CPU AI Only)",78,62,47,70,64,77,60,61,66,77,91,93,84,67,74,71,69,83,70,68,73,56,67,68,54,63,57,52,46,68+2,68+2,68+2,74+2,72+2,72+2,72+2,74+2,72+2,72+2,72+2,74+2,69+2,69+2,69+2,74+2,68+2,64+2,64+2,64+2,68+2,65+2,59+2,59+2,59+2,65+2
1430,T. Castagne,23,185,80,Belgium,76,Right,3,3,Medium/High,LM,82.0,56.0,69.0,75.0,73.0,68.0,Dives Into Tackles (CPU AI Only),77,58,66,73,40,75,58,33,70,76,83,82,72,76,66,62,70,85,59,52,68,76,76,66,27,68,74,73,72,68+2,68+2,68+2,73+2,71+2,71+2,71+2,73+2,71+2,71+2,71+2,74+2,72+2,72+2,72+2,74+2,76+2,73+2,73+2,73+2,76+2,75+2,71+2,71+2,71+2,75+2
1431,Dalbert,25,181,70,Brazil,76,Left,3,3,High/Medium,LM,91.0,58.0,69.0,76.0,72.0,71.0,Early Crosser,76,52,63,71,52,77,68,47,67,75,91,91,82,68,67,72,58,79,65,60,78,68,71,66,42,69,72,76,77,68+2,68+2,68+2,73+2,71+2,71+2,71+2,73+2,71+2,71+2,71+2,74+2,70+2,70+2,70+2,74+2,75+2,71+2,71+2,71+2,75+2,75+2,71+2,71+2,71+2,75+2
1617,V. Lazaro,23,180,76,Austria,75,Right,3,4,High/Medium,RM,84.0,70.0,76.0,81.0,69.0,67.0,"Selfish, Crowd Favourite",80,69,49,77,72,81,77,69,72,81,86,82,82,76,77,69,56,73,66,70,65,71,76,75,67,77,72,70,69,72+2,72+2,72+2,78+2,76+2,76+2,76+2,78+2,77+2,77+2,77+2,78+2,75+2,75+2,75+2,78+2,75+2,72+2,72+2,72+2,75+2,73+2,68+2,68+2,68+2,73+2
1619,J. Fernandes,30,183,78,Chile,75,Right,4,4,High/Low,LM,78.0,74.0,69.0,77.0,35.0,75.0,"Injury Free, Selfish, Argues with Officials, Early Crosser",70,76,77,74,69,78,66,60,62,78,77,79,78,71,62,75,67,74,79,72,70,30,76,69,66,70,29,35,21,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,74+2,68+2,68+2,68+2,74+2,56+2,55+2,55+2,55+2,56+2,53+2,50+2,50+2,50+2,53+2
1622,N. Chadli,29,187,85,Belgium,75,Right,4,4,Medium/Medium,LW,71.0,73.0,74.0,76.0,47.0,75.0,Crowd Favourite,72,69,67,76,73,78,77,78,67,80,68,73,67,75,54,81,69,74,83,74,59,44,75,75,76,79,41,49,45,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,63+2,62+2,62+2,62+2,63+2,60+2,57+2,57+2,57+2,60+2
1625,A. Elis,23,180,77,Honduras,75,Right,4,4,High/Medium,RM,90.0,71.0,63.0,77.0,30.0,72.0,"Injury Prone, Early Crosser, Crowd Favourite",58,73,69,65,66,79,60,57,58,77,91,89,78,74,63,72,80,74,72,65,68,33,74,72,65,69,26,21,25,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,73+2,73+2,73+2,73+2,65+2,65+2,65+2,73+2,55+2,52+2,52+2,52+2,55+2,52+2,47+2,47+2,47+2,52+2
1631,H. Villalba,24,172,75,Paraguay,75,Right,4,4,High/Medium,LM,92.0,74.0,64.0,80.0,45.0,63.0,"Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only)",58,70,60,67,70,79,69,55,60,76,92,92,90,73,91,85,53,77,54,76,68,38,74,70,64,66,44,52,30,73+2,73+2,73+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,73+2,68+2,68+2,68+2,73+2,60+2,58+2,58+2,58+2,60+2,58+2,52+2,52+2,52+2,58+2
1635,T. Minamino,24,174,67,Japan,75,Right,4,3,Medium/Medium,RM,89.0,72.0,67.0,80.0,41.0,65.0,Diver,64,75,51,71,66,80,67,65,64,78,90,88,87,73,82,71,76,83,57,70,61,49,73,65,59,62,35,39,34,72+2,72+2,72+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,75+2,69+2,69+2,69+2,75+2,62+2,58+2,58+2,58+2,62+2,59+2,50+2,50+2,50+2,59+2
1640,R. Oudin,22,185,79,France,75,Left,3,3,Medium/High,RM,76.0,73.0,72.0,74.0,32.0,68.0,"Diver, Beat Offside Trap, Argues with Officials",72,74,69,73,69,73,77,73,65,76,72,80,73,75,69,76,75,73,75,69,42,26,76,74,66,74,37,24,19,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,67+2,67+2,67+2,73+2,55+2,52+2,52+2,52+2,55+2,52+2,46+2,46+2,46+2,52+2
1645,S. Ghoddos,25,177,79,Iran,75,Right,3,4,High/Medium,LM,81.0,73.0,68.0,77.0,44.0,72.0,"Selfish, Argues with Officials, Crowd Favourite",64,73,64,72,68,75,65,81,59,76,83,79,85,74,89,78,64,79,73,74,63,38,73,69,62,73,47,39,38,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,68+2,68+2,68+2,73+2,60+2,58+2,58+2,58+2,60+2,58+2,53+2,53+2,53+2,58+2
1654,J. Bowen,22,175,70,England,75,Left,3,4,Medium/Medium,RM,79.0,72.0,67.0,77.0,43.0,64.0,,67,76,62,67,53,77,69,67,61,75,81,78,79,74,83,66,63,78,62,73,52,34,78,71,68,72,49,40,36,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,67+2,67+2,67+2,73+2,60+2,56+2,56+2,56+2,60+2,57+2,51+2,51+2,51+2,57+2
1655,Ivan Cavaleiro,25,175,80,Portugal,75,Right,4,4,High/Medium,LW,86.0,71.0,69.0,77.0,38.0,68.0,"Beat Offside Trap, Selfish, Crowd Favourite",72,70,61,68,62,78,74,56,63,77,85,86,77,71,75,78,46,61,73,67,68,37,72,72,72,62,25,46,36,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,67+2,67+2,67+2,73+2,58+2,56+2,56+2,56+2,58+2,56+2,51+2,51+2,51+2,56+2
1657,D. Machís,26,174,74,Venezuela,75,Right,4,4,High/Medium,LM,88.0,74.0,68.0,79.0,38.0,67.0,"Early Crosser, Crowd Favourite",71,73,51,70,57,79,65,56,66,74,89,88,91,66,93,84,83,68,63,70,71,38,74,67,72,71,40,35,24,72+2,72+2,72+2,75+2,74+2,74+2,74+2,75+2,73+2,73+2,73+2,74+2,66+2,66+2,66+2,74+2,58+2,55+2,55+2,55+2,58+2,54+2,49+2,49+2,49+2,54+2
1658,D. Bouanga,24,180,70,Gabon,75,Right,4,4,Medium/Medium,LM,78.0,73.0,70.0,76.0,30.0,67.0,"Selfish, Argues with Officials, Crowd Favourite",71,74,53,73,70,78,71,69,65,77,78,78,74,67,63,75,66,69,68,73,61,23,76,69,56,73,37,24,19,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,66+2,66+2,66+2,73+2,54+2,52+2,52+2,52+2,54+2,50+2,44+2,44+2,44+2,50+2
1663,Y. Karamoh,20,185,77,France,75,Right,4,4,High/Medium,RW,79.0,69.0,69.0,79.0,31.0,62.0,"Argues with Officials, Early Crosser",67,68,65,73,66,82,67,44,65,79,82,77,73,70,65,69,68,72,61,70,50,29,72,73,65,73,23,31,26,71+2,71+2,71+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,68+2,68+2,68+2,74+2,56+2,52+2,52+2,52+2,56+2,52+2,44+2,44+2,44+2,52+2
1664,L. Quiñones,28,178,65,Colombia,75,Left,4,4,High/Medium,LM,91.0,70.0,67.0,77.0,33.0,62.0,"Selfish, Early Crosser, Speed Dribbler (CPU AI Only)",71,73,51,69,70,76,61,40,66,76,89,93,91,73,67,71,56,62,63,67,59,21,74,70,54,72,47,23,23,71+2,71+2,71+2,75+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,74+2,65+2,65+2,65+2,74+2,55+2,52+2,52+2,52+2,55+2,52+2,44+2,44+2,44+2,52+2
1665,Hernâni,27,178,69,Portugal,75,Left,2,4,Medium/Low,RW,92.0,68.0,68.0,80.0,29.0,56.0,"Injury Free, Early Crosser",72,64,55,70,67,82,74,69,55,77,92,92,86,73,73,75,62,60,59,65,42,21,74,67,73,78,38,19,23,71+2,71+2,71+2,76+2,74+2,74+2,74+2,76+2,73+2,73+2,73+2,74+2,64+2,64+2,64+2,74+2,55+2,48+2,48+2,48+2,55+2,51+2,41+2,41+2,41+2,51+2
1670,Bruno Tabata,22,178,67,Brazil,75,Left,3,4,Medium/Low,RW,81.0,67.0,71.0,80.0,40.0,60.0,"Selfish, Crowd Favourite",75,63,56,73,68,81,76,70,61,79,84,78,77,76,76,77,56,74,55,66,56,53,74,72,65,80,32,37,33,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,75+2,69+2,69+2,69+2,75+2,62+2,58+2,58+2,58+2,62+2,58+2,49+2,49+2,49+2,58+2
1671,H. Wilson,22,173,70,Wales,75,Left,3,3,High/Medium,RM,79.0,76.0,72.0,75.0,40.0,49.0,Argues with Officials,72,74,47,72,68,73,82,82,59,75,82,77,79,72,84,77,45,67,47,81,31,25,73,75,78,68,47,41,36,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,67+2,67+2,67+2,73+2,58+2,53+2,53+2,53+2,58+2,55+2,45+2,45+2,45+2,55+2
1674,P. Tau,25,168,65,South Africa,75,Left,4,4,Medium/Low,RW,79.0,73.0,69.0,79.0,36.0,44.0,"Selfish, Crowd Favourite",70,76,55,73,68,78,76,63,56,80,81,78,82,68,88,69,78,60,35,71,40,29,74,70,68,78,38,35,25,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,73+2,66+2,66+2,66+2,73+2,56+2,51+2,51+2,51+2,56+2,52+2,43+2,43+2,43+2,52+2
1676,S. Larsson,26,179,70,Sweden,75,Right,2,5,Medium/Low,LW,74.0,71.0,73.0,80.0,38.0,61.0,"Long Throw-in, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite",68,67,40,74,66,81,77,78,72,81,73,74,83,72,75,77,56,72,62,80,47,52,69,77,55,70,29,42,25,69+2,69+2,69+2,74+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,72+2,72+2,72+2,74+2,59+2,59+2,59+2,59+2,59+2,55+2,47+2,47+2,47+2,55+2
1687,L. De Silvestri,31,186,84,Italy,75,Right,3,4,Medium/High,RM,71.0,68.0,73.0,74.0,76.0,75.0,Inflexible,81,64,83,77,61,74,68,62,71,77,72,70,66,79,58,74,77,74,76,74,71,74,74,65,52,72,74,77,75,73+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,75+2,74+2,74+2,74+2,75+2,75+2,76+2,76+2,76+2,75+2
1689,Borja Valle,26,177,72,Spain,75,Right,4,3,High/Medium,LM,74.0,75.0,68.0,75.0,46.0,64.0,Power Free-Kick,75,78,55,71,69,76,69,58,66,75,73,74,76,76,59,78,75,75,67,70,42,40,79,60,65,63,56,39,40,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,72+2,72+2,72+2,73+2,67+2,67+2,67+2,73+2,62+2,58+2,58+2,58+2,62+2,59+2,52+2,52+2,52+2,59+2
1690,E. Dennis,21,175,66,Nigeria,75,Right,3,4,Medium/Low,LW,92.0,71.0,62.0,79.0,39.0,67.0,"Injury Free, Crowd Favourite",70,75,74,63,61,78,62,41,58,79,93,91,85,73,86,75,93,74,59,66,73,13,65,58,56,67,41,45,27,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,71+2,71+2,71+2,73+2,63+2,63+2,63+2,73+2,57+2,52+2,52+2,52+2,57+2,55+2,50+2,50+2,50+2,55+2
1696,L. Júnior,28,180,79,Ivory Coast,75,Right,4,4,Medium/Low,LM,88.0,71.0,63.0,76.0,34.0,73.0,,68,74,54,66,61,80,50,47,57,74,84,91,74,67,62,77,92,78,83,62,38,29,77,66,60,59,58,13,11,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,71+2,71+2,71+2,73+2,63+2,63+2,63+2,73+2,55+2,50+2,50+2,50+2,55+2,51+2,45+2,45+2,45+2,51+2
1700,D. Royer,29,177,73,Austria,75,Right,3,4,High/High,LM,83.0,73.0,68.0,76.0,48.0,73.0,"Diver, Beat Offside Trap, Crowd Favourite",67,74,57,69,64,76,71,61,64,75,86,81,88,66,76,75,74,81,70,71,71,43,76,69,72,74,57,43,40,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,73+2,68+2,68+2,68+2,73+2,62+2,60+2,60+2,60+2,62+2,60+2,56+2,56+2,56+2,60+2
1701,M. Simon,23,168,69,Nigeria,75,Right,5,4,Medium/Medium,LM,92.0,70.0,64.0,81.0,36.0,63.0,Early Crosser,72,70,58,67,72,82,47,55,57,76,93,92,91,68,91,76,88,68,68,66,38,34,71,64,60,74,30,36,32,72+2,72+2,72+2,75+2,73+2,73+2,73+2,75+2,72+2,72+2,72+2,74+2,64+2,64+2,64+2,74+2,58+2,52+2,52+2,52+2,58+2,55+2,47+2,47+2,47+2,55+2
1710,M. Phillips,28,183,75,Scotland,75,Right,4,4,Medium/Medium,RM,82.0,70.0,71.0,75.0,43.0,70.0,Early Crosser,80,68,54,69,58,77,78,48,65,74,81,83,76,71,71,77,54,68,78,72,54,32,71,74,61,67,49,45,34,71+2,71+2,71+2,74+2,73+2,73+2,73+2,74+2,72+2,72+2,72+2,73+2,67+2,67+2,67+2,73+2,60+2,57+2,57+2,57+2,60+2,57+2,52+2,52+2,52+2,57+2
1715,O. Idrissi,23,183,78,Morocco,75,Right,2,4,High/Medium,LW,83.0,70.0,70.0,80.0,29.0,67.0,"Injury Free, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite",67,70,48,71,73,82,82,68,68,80,84,83,80,68,72,78,34,73,66,70,68,23,67,68,45,71,34,22,23,71+2,71+2,71+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,66+2,66+2,66+2,74+2,55+2,52+2,52+2,52+2,55+2,50+2,42+2,42+2,42+2,50+2
1718,J. Fuenzalida,34,170,67,Chile,75,Right,4,3,High/High,RW,90.0,63.0,71.0,79.0,64.0,64.0,"Avoids Using Weaker Foot, Early Crosser, Speed Dribbler (CPU AI Only)",76,59,63,72,57,79,65,59,68,78,90,90,84,76,83,69,73,78,58,62,59,68,71,71,71,69,58,66,65,70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,73+2,73+2,73+2,76+2,72+2,72+2,72+2,76+2,73+2,68+2,68+2,68+2,73+2,72+2,65+2,65+2,65+2,72+2
1720,J. B?aszczykowski,33,175,67,Poland,75,Right,4,3,High/High,RM,72.0,70.0,75.0,76.0,60.0,67.0,"Power Free-Kick, Giant Throw-in",78,67,48,77,76,75,77,67,65,78,75,70,76,77,78,75,66,63,71,68,62,60,76,75,72,84,64,59,63,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,69+2,67+2,67+2,67+2,69+2,67+2,63+2,63+2,63+2,67+2
1722,Borja García,28,175,72,Spain,75,Right,3,3,High/Medium,LM,79.0,70.0,73.0,76.0,58.0,65.0,"Argues with Officials, Finesse Shot",70,71,53,76,59,75,67,54,74,77,81,77,77,70,77,67,73,67,68,76,52,66,72,74,62,68,45,68,59,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,74+2,68+2,67+2,67+2,67+2,68+2,66+2,62+2,62+2,62+2,66+2
