,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_short_passing,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
245,245,D. McNeil,19,183.1,68.4,England,Caucasian,74,Left,Good,Good,,LM,75.55,64.63,70.28,76.08,73.17,65.61,63.68,75.48,75.16,79.36,75.29,66.85,77.81,15,13,13,11,9,14,14,12,14
246,246,J. Kayamba,27,170.2,66.6,DR Congo,Black,74,Right,Excellent,Excellent,High/Medium,RM,74.0,66.49,70.26,78.38,64.58,45.13,65.01,75.96,89.36,87.04,90.81,68.97,86.79,14,8,14,10,5,13,13,12,13
247,247,S. Villa,23,179.1,70.8,Colombia,Black,74,Right,Good,Good,High/Medium,RM,69.02,63.61,68.6,78.74,55.97,44.63,55.87,72.86,90.69,91.85,84.24,70.19,72.76,15,12,11,11,5,14,13,13,13
248,248,,23,175.6,67.5,Argentina,Caucasian,74,Left,Excellent,Excellent,Medium/Low,LM,64.24,57.52,79.32,79.18,68.72,66.01,74.4,74.77,72.98,62.11,85.71,69.61,74.45,14,11,13,14,11,13,15,12,14
249,249,A. Ömür,20,167.8,66.6,Turkey,Middle-eastern,74,Left,Good,Good,,RM,67.83,63.75,72.44,78.11,78.26,68.71,62.31,77.46,80.94,80.67,83.12,67.74,84.88,13,6,13,10,7,13,14,11,14
250,250,R. Alvarado,20,176.0,69.8,Mexico,Caucasian,74,,Masterful,Good,Medium/Medium,RM,70.36,66.92,71.23,75.89,67.05,65.26,68.13,73.23,78.09,74.69,80.0,63.79,77.81,16,11,11,9,11,13,15,12,12
251,251,Salvi Sánchez,28,175.2,63.6,Spain,Caucasian,74,Right,Good,Good,High/Medium,RM,70.33,66.17,70.16,74.2,67.89,65.84,68.69,68.99,91.12,90.97,79.87,64.7,85.84,15,8,11,10,7,13,14,12,13
252,252,Z. Ferhat,26,182.8,77.4,Algeria,Middle-eastern,74,Right,Excellent,Excellent,High/Low,RM,75.29,58.47,74.21,74.04,65.74,68.29,69.92,73.09,81.59,80.15,74.96,65.85,67.78,14,14,8,7,3,13,14,12,13
253,253,William,24,170.7,67.2,Brazil,Caucasian,74,Right,Good,Good,High/Low,RM,75.61,32.22,65.76,75.12,63.65,65.94,64.1,75.67,78.01,76.37,78.18,73.02,78.25,15,13,13,14,17,13,10,8,11
254,254,J. Larsen,28,182.2,81.6,Denmark,Caucasian,74,Right,Good,Good,Medium/Medium,RM,70.21,48.29,65.76,67.92,62.17,47.7,60.1,70.05,76.17,76.32,70.85,71.66,72.03,15,15,11,14,14,11,11,10,12
255,255,A. Barreca,24,183.2,70.2,Italy,Caucasian,74,Left,Average,Good,High/Medium,LM,77.75,20.72,66.01,67.92,70.34,20.55,57.05,75.23,75.91,81.79,78.72,73.13,78.4,15,13,8,12,14,11,11,4,13
256,256,L. Janson,24,169.4,66.6,Argentina,Caucasian,73,Right,Good,Excellent,High/Medium,LW,59.06,76.3,71.09,79.36,51.53,42.16,57.59,76.96,79.08,79.84,85.02,72.94,84.51,13,9,13,12,5,15,14,13,13
257,257,Mama Baldé,23,180.5,74.6,Guinea Bissau,Black,73,Right,Good,Good,High/High,RW,65.85,70.68,68.6,73.16,73.3,38.94,63.03,71.77,86.66,90.55,75.05,74.69,68.04,15,14,13,16,13,14,12,9,13
258,258,Licá,30,180.5,69.5,,,73,Right,Good,Excellent,High/Medium,LW,70.18,74.02,71.43,73.64,66.46,66.86,62.5,71.91,77.48,73.59,75.67,76.3,64.75,14,13,13,14,11,15,14,11,14
259,259,J. Eggestein,21,183.2,74.9,Germany,Caucasian,73,Right,Excellent,Good,Medium/Medium,RW,65.06,75.37,72.91,76.47,60.5,42.16,63.9,77.17,74.62,69.61,76.19,75.44,69.97,13,11,12,7,7,15,13,13,13
260,260,Roger Guedes,22,184.3,86.7,Brazil,Black,73,Right,Good,Excellent,Medium/Low,LM,69.66,72.34,72.95,81.81,67.66,54.55,67.31,77.47,81.16,78.08,68.82,70.66,60.48,13,13,12,8,6,14,14,13,12
261,261,G. Masouras,25,181.7,76.2,,,73,Right,Excellent,Good,High/Medium,RM,71.29,72.74,70.97,73.41,69.01,56.31,70.86,75.47,73.8,78.08,75.74,69.72,63.84,13,14,14,9,6,14,13,11,13
262,262,D. Asprilla,30,177.0,77.4,Colombia,Black,73,,Excellent,Excellent,High/Medium,RM,70.36,73.3,68.35,78.61,71.11,67.73,65.53,73.23,80.39,82.43,73.35,67.0,64.75,16,15,14,13,6,13,12,11,13
263,263,G. Lezcano,32,167.5,64.9,Argentina,Caucasian,73,Right,Excellent,Good,High/Medium,RM,70.93,66.99,65.65,74.03,68.59,64.88,64.15,72.01,81.01,78.86,77.12,74.24,77.19,15,13,13,12,4,14,12,13,14
264,264,Serginho,25,179.8,82.3,Brazil,Caucasian,73,Left,Good,Good,High/Medium,RM,64.78,75.98,75.56,72.33,72.59,70.54,69.99,72.83,63.16,69.33,77.3,66.53,65.56,15,15,14,10,6,14,14,14,14
265,265,G. Kerk,23,175.0,67.9,Netherlands,Caucasian,73,Right,Average,Good,Medium/Medium,RW,65.26,73.46,68.6,74.21,62.38,34.16,56.04,72.47,93.12,93.48,84.29,70.75,74.91,15,14,12,11,6,14,12,10,14
266,266,M. Orši?,26,179.0,68.9,Croatia,Caucasian,73,Right,Excellent,Good,,LM,69.84,73.79,64.65,74.2,78.41,72.77,65.52,70.91,88.88,89.78,88.3,70.4,85.1,14,11,15,10,11,14,12,13,14
267,267,G. Hauche,32,173.8,70.9,Argentina,Caucasian,73,Right,Good,Excellent,High/Low,LW,64.14,68.74,70.93,73.2,68.59,72.67,63.74,74.77,85.47,86.45,83.75,72.08,74.8,14,12,13,15,4,13,13,15,14
268,268,Paulinho,33,173.7,74.5,Brazil,Caucasian,73,Right,Excellent,Excellent,Medium/Medium,LW,62.23,71.16,66.05,76.11,71.33,71.28,52.11,75.04,80.18,72.09,78.95,72.52,88.03,13,13,14,15,3,15,13,13,15
269,269,D. Rossi,21,170.4,68.2,Uruguay,Black,73,,Excellent,Excellent,High/Low,LW,70.36,72.87,69.56,74.77,70.34,34.01,57.29,73.23,83.46,82.11,82.57,69.44,74.91,14,10,13,9,4,14,14,11,13
270,270,M. Bolaños,29,171.7,65.3,Ecuador,Black,73,Right,Good,Good,High/Low,RM,62.11,70.72,67.06,76.05,62.74,56.01,61.79,71.18,84.88,76.64,74.56,74.24,82.34,14,11,13,11,4,15,14,12,11
271,271,Víctor Rodríguez,29,166.7,65.0,Spain,Caucasian,73,Right,Excellent,Good,Medium/Medium,LM,69.3,68.26,73.06,73.18,69.08,78.75,65.78,76.1,75.35,72.17,77.74,68.86,78.71,13,12,14,10,6,14,14,16,11
272,272,S. Naismith,32,178.3,71.8,Scotland,Caucasian,73,Right,Good,Good,High/High,LM,65.98,73.43,70.03,67.79,71.64,49.93,69.76,71.61,66.2,64.81,77.14,72.77,71.32,15,15,13,17,13,15,15,14,16
273,273,J. Bela,26,172.8,70.8,France,Caucasian,73,Right,Good,Excellent,High/Low,LM,68.31,71.17,65.85,75.91,67.12,69.26,63.74,74.31,91.64,92.21,90.9,66.42,80.2,16,11,14,10,7,14,10,12,13
274,274,A. del Valle,30,174.6,64.6,Colombia,Black,73,Right,Average,Excellent,Medium/Low,RM,59.21,69.53,64.92,73.55,64.59,53.04,49.32,74.46,75.69,79.78,78.66,70.04,79.07,15,14,14,9,5,14,13,15,14
275,275,A. Reach,26,178.3,72.5,England,Caucasian,73,Left,Excellent,Good,High/Medium,RW,73.7,66.88,72.82,73.05,65.63,41.98,67.49,73.85,74.88,78.05,77.14,70.78,71.05,17,15,15,8,12,13,14,11,14
276,276,D. Zabala,27,171.5,63.6,Uruguay,Caucasian,73,Right,Good,Good,High/Medium,LM,77.93,73.67,70.57,72.48,62.1,64.06,67.76,73.92,75.03,67.51,74.83,64.08,73.83,14,15,15,5,6,13,15,12,12
277,277,Roberto Torres,30,178.3,71.8,Spain,Caucasian,73,Right,Excellent,Good,Medium/Medium,RM,76.44,73.05,69.08,73.81,69.77,81.16,72.67,72.77,67.09,59.7,63.79,71.87,69.69,15,14,14,13,11,14,15,15,15
278,278,Nildo Petrolina,33,174.0,77.3,Brazil,Caucasian,73,Left,Excellent,Good,High/High,LM,70.78,62.79,69.56,74.73,71.06,68.51,68.47,73.56,81.65,80.41,81.03,74.24,72.19,16,9,14,13,12,13,13,12,14
279,279,S. Al Dawsari,27,173.7,67.7,Saudi Arabia,Middle-eastern,73,Right,Excellent,Excellent,High/Medium,LM,66.28,72.45,64.53,77.84,65.49,59.55,59.55,72.39,82.2,80.96,81.88,64.83,75.16,16,14,13,15,8,14,14,12,13
280,280,F. Hinestroza,29,177.8,70.2,Colombia,Black,73,Left,Good,Excellent,High/Low,RM,70.32,53.51,68.98,76.95,45.12,66.45,63.15,74.46,91.31,90.52,84.57,69.49,71.43,13,13,15,11,10,13,13,9,12
281,281,,33,178.0,85.0,Spain,Caucasian,73,Right,Excellent,Good,Medium/Low,LM,74.64,69.48,72.89,71.85,79.53,74.7,72.4,73.72,75.35,77.44,71.76,67.33,79.57,13,14,14,7,12,14,15,14,14
282,282,S. Gürler,27,175.4,65.1,Turkey,Middle-eastern,73,Right,Excellent,Good,High/Low,RM,69.58,70.13,70.31,75.1,70.38,60.24,59.01,72.42,81.23,79.92,90.27,68.9,79.17,12,10,12,6,7,14,14,10,14
283,283,Gustavo Lobateiro,31,179.6,76.2,Brazil,Caucasian,73,Left,Masterful,Good,High/Low,RM,67.05,66.99,77.17,73.7,50.32,44.48,61.46,68.07,81.45,79.88,79.1,72.44,70.54,11,12,13,8,7,15,13,11,13
284,284,A. Musa,26,170.3,61.6,Nigeria,Black,73,Right,Good,Good,High/Medium,LM,65.33,69.33,65.44,70.97,60.14,48.25,60.93,70.35,94.66,92.37,86.53,70.87,85.76,17,9,13,6,4,14,13,13,13
285,285,Léo Jabá,20,178.0,72.2,Brazil,Caucasian,73,Right,Good,Good,High/Low,RM,68.05,70.42,65.96,76.41,54.18,44.48,60.44,72.67,83.25,85.54,75.11,67.72,67.94,13,14,13,6,2,14,13,14,12
286,286,I. Oblyakov,20,174.9,74.0,Russia,Caucasian,73,Left,Average,Good,High/Medium,LM,76.61,63.84,76.69,75.81,71.94,71.02,75.77,75.34,70.44,76.19,77.05,66.53,79.95,14,12,13,12,12,14,15,10,13
287,287,V. Stocker,30,179.0,73.1,,,73,Left,Excellent,Good,Medium/Medium,LM,72.8,64.55,76.69,73.81,74.86,71.91,74.43,75.4,67.29,68.64,77.3,70.16,74.38,10,13,13,13,8,14,15,13,13
288,288,J. Cuevas,31,160.8,63.0,Argentina,Caucasian,73,,Good,Good,High/Medium,RW,70.36,64.98,73.82,74.29,67.46,69.66,61.65,73.23,87.53,82.44,84.38,66.56,72.19,14,11,12,12,8,14,14,14,11
289,289,Dani Raba,23,183.9,75.7,Spain,Caucasian,73,Left,Good,Good,Medium/Medium,RM,74.33,72.84,73.43,77.42,60.39,41.56,70.4,75.48,70.85,66.19,69.83,65.18,58.56,12,12,14,10,8,14,14,9,13
290,290,T. Lawrence,25,180.0,75.2,Wales,Caucasian,73,Right,Excellent,Excellent,Medium/Low,LM,71.71,69.35,70.27,73.99,62.16,74.89,65.39,72.74,75.72,71.75,77.21,67.4,69.31,14,11,15,13,4,14,14,13,14
291,291,,22,169.3,66.1,Venezuela,Black,73,Right,Excellent,Excellent,High/Medium,RM,64.14,68.88,69.54,77.0,65.49,53.04,57.94,73.98,84.57,80.18,90.27,69.58,80.87,15,11,13,11,6,13,13,12,14
292,292,Arsénio,29,180.2,73.1,Portugal,Black,73,Right,Good,Good,High/Medium,RW,73.26,70.01,69.86,78.15,71.75,58.86,62.96,75.81,75.31,73.73,63.47,72.24,68.38,14,13,12,10,6,14,13,12,13
293,293,Gerso,28,173.1,63.8,Guinea Bissau,Black,73,Left,Average,Good,High/Medium,LW,57.55,64.29,68.71,73.79,52.44,52.69,53.2,70.95,91.66,92.77,91.09,73.91,92.41,15,6,13,12,6,14,12,13,14
294,294,E. Karaca,29,166.0,55.9,Turkey,Middle-eastern,73,Right,Excellent,Good,High/Medium,RM,60.32,53.51,68.62,76.47,64.13,63.46,67.32,75.68,84.15,83.16,87.39,75.85,93.46,15,9,11,6,8,13,13,13,12
295,295,,26,179.0,70.3,Algeria,Middle-eastern,73,Right,Excellent,Masterful,High/Medium,RW,72.44,62.03,69.69,80.28,74.37,73.48,64.34,78.21,76.62,76.06,80.67,62.08,72.61,12,9,13,9,5,13,14,11,14
296,296,A. Ibargüen,27,168.0,62.7,Colombia,Black,73,Right,Good,Good,High/Medium,LM,69.17,63.6,66.82,77.81,60.87,52.49,60.93,73.55,91.31,88.51,92.17,66.45,84.71,11,7,12,9,6,14,14,10,12
297,297,D. Kownacki,22,187.0,75.3,Poland,Caucasian,73,Right,Good,Good,Medium/Medium,LM,54.04,72.54,66.08,70.02,52.06,43.05,59.07,70.47,79.02,76.83,74.73,69.99,66.9,14,14,11,11,8,15,12,14,14
298,298,J. Gressel,25,185.9,83.7,Germany,Caucasian,73,Right,Excellent,Good,,RM,75.33,63.72,70.54,71.75,75.06,51.63,65.99,71.92,70.85,74.06,63.47,70.13,63.1,17,14,13,14,12,14,14,12,14
299,299,Fernando Boldrin,30,181.0,75.0,Brazil,Caucasian,73,Right,Excellent,Good,Medium/Medium,RM,62.63,66.94,76.89,71.7,65.33,74.12,73.96,74.07,68.68,82.2,67.3,69.45,65.28,11,12,14,14,12,14,14,13,13
300,300,Pedro Santos,31,173.1,62.7,Portugal,Caucasian,73,Left,Masterful,Good,Medium/High,RM,74.02,63.69,68.91,73.04,79.56,72.67,62.52,73.35,79.01,76.74,78.12,70.21,73.61,14,10,13,12,10,13,14,13,14
301,301,Álvaro Jiménez,24,175.7,71.4,,,73,Right,Good,Good,High/Medium,RM,71.64,68.73,68.56,74.44,74.27,48.97,64.45,72.03,80.31,78.03,76.23,65.85,76.5,16,11,13,11,9,14,13,9,13
302,302,D. Delgado,26,185.1,70.2,Colombia,Black,73,Right,Good,Good,Medium/Medium,RM,71.71,77.71,67.74,69.92,54.07,26.11,55.74,71.56,88.95,88.07,67.27,65.62,54.22,16,13,11,13,11,13,14,12,14
303,303,P. Arriola,24,166.9,64.7,United States,Middle-eastern,73,Right,Good,Good,High/High,RM,65.68,66.56,67.53,73.7,71.56,47.19,63.0,69.92,80.31,82.34,79.06,68.49,79.03,17,11,12,15,10,14,14,13,13
304,304,Lee Chung Yong,30,180.3,67.6,Korea Republic,Asian,73,Right,Good,Good,High/High,RM,70.37,61.58,73.29,76.44,68.19,64.72,67.62,73.51,72.47,63.59,76.65,74.11,77.9,15,11,12,11,10,14,14,12,14
305,305,M. Barrios,28,161.9,65.1,Colombia,Black,73,Right,Average,Good,High/Low,RM,66.04,64.53,67.5,71.9,64.13,63.29,57.74,69.95,93.67,90.62,91.85,69.84,93.85,15,6,11,11,9,13,14,11,14
306,306,B. Lozano,25,167.0,65.5,Uruguay,Caucasian,73,,Masterful,Good,High/Medium,RM,70.36,66.02,75.19,77.85,68.45,68.83,64.52,73.23,81.55,86.23,83.49,53.71,72.61,15,8,13,13,6,13,12,11,13
307,307,S. Plavši?,23,168.2,59.8,Serbia,Caucasian,73,Left,Good,Good,High/Medium,LM,74.63,64.38,66.97,71.9,70.77,64.12,57.1,72.03,88.17,81.81,88.92,69.7,89.24,14,9,14,14,5,13,13,10,14
308,308,,26,170.6,61.7,England,Caucasian,73,Right,Excellent,Good,High/Medium,LW,70.03,64.88,74.68,75.45,75.03,77.08,71.19,74.71,73.8,65.45,76.65,64.89,85.65,12,6,13,13,8,13,15,13,13
309,309,M. Pereira Lage,22,180.1,66.8,Portugal,Black,73,Right,Good,Excellent,High/Medium,LM,72.01,70.28,72.7,71.07,68.55,63.97,69.98,73.62,81.71,86.23,80.92,58.58,75.07,17,13,13,6,12,11,14,13,13
310,310,S. Grandsir,22,170.1,65.2,France,Middle-eastern,73,Right,Excellent,Good,Medium/Medium,LM,75.07,59.32,72.47,76.05,73.9,58.52,69.94,71.12,89.45,86.31,89.92,65.22,89.02,13,11,11,13,9,12,13,10,13
311,311,L. Haraslín,23,181.9,71.2,Slovakia,Caucasian,73,Left,Good,Excellent,,LM,66.73,63.49,67.68,72.53,67.62,53.56,66.42,71.8,84.56,84.22,89.59,64.94,83.2,17,12,11,7,6,13,13,11,13
312,312,Iván Sánchez,26,174.1,64.2,Spain,Caucasian,73,Left,Good,Good,High/Medium,LM,69.41,65.36,75.19,76.87,72.35,67.04,59.01,76.32,92.15,90.39,84.48,58.7,85.1,16,6,11,11,3,12,13,13,14
313,313,M. Poundjé,26,180.4,73.6,France,Black,73,Left,Good,Good,High/Medium,LM,72.45,29.43,68.46,72.52,46.32,40.15,61.19,72.15,76.92,67.92,73.33,68.99,73.82,15,13,7,15,13,13,11,9,12
314,314,Mateus,35,175.7,74.8,Angola,Black,72,Right,Good,Good,Medium/Low,LM,67.75,73.78,68.77,77.0,68.11,66.04,62.1,72.22,74.53,77.99,74.83,71.49,72.44,11,13,14,13,9,14,14,11,14
315,315,O. Tannane,25,177.3,80.3,Morocco,Black,72,Left,Good,Excellent,Medium/Medium,RM,63.2,69.83,69.63,74.56,80.27,72.22,67.81,73.7,76.85,82.2,73.19,68.95,74.08,10,15,15,15,6,14,12,14,13
316,316,Vako,26,175.4,80.1,Georgia,Black,72,Right,Good,Good,Medium/Low,LM,64.19,71.19,69.8,76.44,76.39,60.21,59.76,77.11,66.14,63.48,68.79,71.21,81.96,12,14,15,8,6,14,13,12,15
317,317,J. Kouassi,24,174.0,67.3,Ivory Coast,Black,72,Right,Excellent,Good,High/Medium,LM,61.89,77.71,54.19,76.37,42.77,32.72,30.07,71.31,85.23,81.81,76.18,81.93,75.43,15,11,12,9,3,13,14,11,13
318,318,M. Mahi,25,180.6,68.9,Morocco,Black,72,Right,Excellent,Excellent,,LM,65.94,71.75,68.09,78.29,70.77,68.36,59.55,76.67,76.4,75.95,78.21,69.7,70.01,13,13,14,12,8,13,13,14,14
319,319,Carlos Júnior,23,175.6,66.2,Brazil,Caucasian,72,Right,Good,Good,Medium/Low,LW,63.69,71.25,70.22,76.85,47.41,42.14,58.0,75.27,74.06,71.72,79.66,73.66,76.17,13,8,13,6,3,14,13,14,12
320,320,N. Moumi Ngamaleu,24,182.2,74.4,Cameroon,Black,72,Right,Good,Good,Medium/Low,RM,61.35,74.32,65.82,70.39,62.93,42.35,55.23,71.58,89.81,91.88,76.33,70.51,72.15,15,15,13,12,6,14,12,13,12
321,321,J. Copete,31,182.2,77.6,Colombia,Black,72,Left,Good,Good,High/Low,RM,66.82,69.98,62.21,75.47,54.07,35.66,58.25,73.23,84.48,85.14,77.8,65.51,50.27,14,14,14,10,6,14,13,13,13
322,322,Sebá,27,178.9,73.1,Brazil,Black,72,Left,Good,Good,Medium/Low,LM,67.04,63.93,66.57,70.97,63.24,63.9,62.59,74.16,86.95,84.57,76.2,67.6,69.02,15,15,14,14,11,14,13,12,14
323,323,B. Samudio,23,179.8,78.7,Paraguay,Caucasian,72,Right,Good,Good,High/Medium,LM,58.67,72.45,67.62,74.58,47.36,43.05,58.0,75.44,74.06,77.11,72.51,67.5,69.83,15,13,12,9,7,14,13,14,13
324,324,D. Man,20,182.9,82.0,Romania,Middle-eastern,72,Left,Average,Good,High/Low,RW,66.11,73.32,66.0,70.78,63.89,56.12,54.0,72.92,85.81,86.0,72.64,67.6,57.21,13,15,12,13,3,15,13,8,14
325,325,A. Diakhaby,22,183.5,73.8,France,Black,72,Left,Average,Good,,RW,65.09,70.82,71.56,76.24,53.56,39.48,55.3,66.61,88.29,87.34,81.11,71.86,62.62,11,11,12,6,2,14,12,14,12
326,326,J. Boga,22,174.2,71.7,Ivory Coast,Black,72,Right,Good,Good,High/Low,LW,70.45,65.04,68.09,79.36,72.54,63.85,62.72,75.24,78.63,77.33,79.67,65.56,77.89,11,13,14,11,8,14,13,11,12
327,327,Nuno Santos,24,179.1,72.5,Portugal,Caucasian,72,Left,Good,Excellent,High/Medium,RW,73.21,63.83,66.58,76.01,76.74,71.88,61.6,73.97,82.18,75.0,76.87,76.44,71.52,7,12,14,13,8,14,13,14,12
328,328,A. Adomah,31,182.0,74.3,Ghana,Black,72,Right,Good,Good,Medium/Medium,LM,70.21,70.89,67.14,71.21,63.37,52.7,63.19,73.2,76.52,78.78,80.49,71.37,62.04,14,13,12,11,12,14,14,13,14
329,329,N. Dovedan,24,179.6,71.0,Austria,Caucasian,72,Right,Excellent,Good,High/Medium,LW,62.54,72.88,67.84,77.15,62.05,71.23,54.43,72.93,83.33,74.66,90.03,71.0,90.63,14,10,12,10,5,14,12,10,13
330,330,M. Maolida,20,181.5,75.7,France,Black,72,Right,Excellent,Excellent,Medium/Low,LW,55.08,69.71,64.8,78.48,61.03,40.96,57.02,74.29,81.25,83.76,79.13,65.11,75.96,12,12,12,7,4,14,13,12,14
331,331,Renato Santos,27,175.2,69.8,Portugal,Caucasian,72,Right,Good,Excellent,Medium/Medium,RM,69.91,66.26,69.22,74.12,74.4,69.47,57.6,75.32,76.75,75.86,78.63,73.78,70.47,12,12,13,8,8,14,13,11,14
332,332,Fernandinho Silva,33,171.0,69.6,Brazil,Caucasian,72,Left,Average,Excellent,High/Medium,LW,69.04,64.74,69.83,77.01,74.55,65.87,50.58,73.13,88.61,83.41,87.51,69.44,89.24,11,11,14,11,5,14,12,14,12
333,333,I. Hajrovi?,27,177.5,71.8,Bosnia Herzegovina,Caucasian,72,,Excellent,Excellent,High/Low,RM,71.68,68.2,69.53,80.58,77.66,77.01,65.48,68.23,76.84,81.31,75.37,63.6,77.89,11,10,16,10,9,12,13,15,13
334,334,João Amaral,27,171.9,66.6,Portugal,Caucasian,72,Left,Good,Good,High/Medium,RM,69.16,72.45,65.64,73.92,74.55,65.44,57.24,74.17,84.69,89.55,82.04,75.01,81.09,16,10,13,8,4,13,13,13,12
335,335,R. Sallai,22,183.3,75.6,Hungary,Caucasian,72,Right,Good,Good,,LM,67.98,69.96,71.07,76.17,49.49,44.96,62.0,74.67,76.06,72.59,69.26,67.48,68.06,11,11,12,11,7,14,14,11,12
336,336,G. Carabajal,27,178.1,75.2,Argentina,Caucasian,72,Right,Good,Good,Medium/Medium,LM,64.02,70.86,68.21,76.42,61.73,59.57,64.16,72.59,67.65,76.77,71.93,68.84,72.47,14,13,14,10,5,14,15,11,13
337,337,D. Verde,23,167.7,64.0,Italy,Caucasian,72,Left,Good,Excellent,Medium/Low,RM,68.58,63.73,69.83,76.66,80.76,77.06,59.71,78.15,84.36,82.03,89.56,65.85,91.81,13,6,15,11,4,13,13,14,14
338,338,J. Menéndez,25,166.1,61.9,Argentina,Caucasian,72,,Good,Good,High/High,LW,71.68,67.37,65.53,78.21,65.11,46.67,51.65,73.23,87.88,89.69,85.02,64.32,80.19,14,6,13,9,7,14,13,8,12
339,339,Flavio Paixão,34,183.6,74.8,Portugal,Caucasian,72,Right,Excellent,Excellent,High/Low,RM,67.1,72.99,68.8,72.28,67.18,51.21,61.72,70.67,71.84,73.71,80.49,64.73,66.65,14,14,12,13,8,14,13,14,13
340,340,M. Seuntjens,27,187.4,81.0,,,72,Right,Excellent,Good,Medium/High,LM,68.37,69.39,70.66,74.6,63.73,60.1,70.74,72.89,67.26,76.77,67.16,67.77,71.39,16,15,14,14,11,13,13,11,13
341,341,G. Vural,31,176.7,65.0,Turkey,Middle-eastern,72,Left,Good,Good,High/Medium,LM,75.5,64.4,66.25,74.42,77.07,69.62,61.5,76.23,81.95,75.86,78.16,71.01,76.95,16,10,14,14,13,13,10,13,13
342,342,S. Adegbenro,23,178.0,75.2,Nigeria,Black,72,Right,Excellent,Excellent,High/Medium,LW,63.04,66.84,60.22,75.28,60.78,62.76,50.67,72.01,89.73,89.49,90.95,64.8,91.96,14,14,13,12,5,14,13,11,14
343,343,Dani Rodríguez,31,178.4,72.4,Spain,Black,72,Right,Good,Good,Medium/Medium,RM,60.0,75.29,74.12,74.6,64.07,63.76,69.52,75.73,69.3,62.55,66.83,70.09,70.74,12,12,15,12,12,13,14,12,12
344,344,O. Nguette,24,182.0,75.8,Senegal,Black,72,Right,Good,Excellent,High/Medium,LW,66.64,63.6,66.64,76.39,62.43,54.56,61.52,71.66,83.05,80.56,80.5,65.62,71.75,11,12,11,10,6,14,12,14,13
345,345,,29,171.8,66.0,Brazil,Caucasian,72,Right,Good,Excellent,High/Medium,RM,67.38,68.07,64.8,75.03,64.97,42.35,59.24,71.41,89.96,90.9,82.99,71.83,80.19,14,11,12,15,8,13,11,12,13
346,346,N. Mendez-Laing,27,180.2,75.2,England,Caucasian,72,Right,Good,Good,High/Medium,RM,66.2,68.46,63.35,76.67,58.86,48.79,57.49,73.01,83.29,85.45,80.5,66.93,71.14,14,14,13,8,9,13,13,9,12
347,347,C. Akolo,24,172.2,72.5,DR Congo,Black,72,Right,Good,Good,High/Medium,RM,65.15,72.44,66.24,78.28,71.5,46.79,57.02,74.63,82.64,79.27,89.07,70.55,86.0,12,12,11,11,4,13,11,9,12
348,348,J. Murillo,23,170.7,66.2,Venezuela,Black,72,Right,Good,Good,High/Low,RW,60.5,66.47,60.46,74.36,71.43,62.76,43.01,74.84,90.01,92.84,92.57,71.69,91.32,14,7,13,8,4,13,11,13,11
349,349,R. Delgado,29,175.4,78.1,Argentina,Caucasian,72,Left,Good,Good,Medium/Low,LM,78.36,48.64,66.25,77.06,80.95,66.72,73.25,72.97,82.34,77.99,80.24,75.27,82.56,16,16,13,11,13,13,13,13,14
350,350,Marco Sangalli,27,178.8,65.8,,,72,Right,Good,Good,Medium/Medium,RM,65.46,67.99,69.77,75.8,66.0,40.17,58.0,73.39,73.57,80.35,79.76,67.69,70.51,16,13,11,8,10,14,13,14,14
351,351,Ivo Rodrigues,24,179.5,72.2,Portugal,Black,72,,Excellent,Excellent,High/Medium,LM,71.68,63.66,69.36,78.38,72.35,66.0,57.96,68.23,82.21,73.3,90.09,64.92,76.22,12,12,14,12,7,13,14,14,12
352,352,,27,177.7,71.4,Ivory Coast,Black,72,Right,Good,Excellent,High/Low,LM,64.24,61.74,62.41,77.7,63.2,64.75,55.56,72.97,92.45,87.98,85.74,68.81,78.98,14,12,13,6,2,12,13,11,11
353,353,C. Espinoza,24,173.1,69.8,Argentina,Caucasian,72,Right,Excellent,Good,High/Medium,RM,72.48,63.81,68.02,77.48,59.52,60.66,61.52,71.28,83.41,75.01,78.99,65.88,77.13,15,12,13,9,6,13,14,10,14
354,354,Carleto Costinha,27,174.7,68.9,Brazil,Black,72,Right,Excellent,Good,Medium/Low,RM,71.62,67.91,75.04,71.05,70.91,54.56,62.86,73.89,87.82,82.15,81.22,63.69,81.27,12,8,10,8,8,14,14,15,14
355,355,A. Claude Maurice,21,174.4,62.5,France,Caucasian,72,Right,Good,Excellent,Medium/Medium,LM,58.54,68.54,67.02,72.4,58.26,45.73,61.98,73.13,90.86,87.43,89.95,61.52,80.78,16,8,14,7,4,13,13,11,14
356,356,E. Thommy,24,174.0,70.1,Germany,Caucasian,72,Right,Good,Good,Medium/Medium,RM,77.82,65.93,70.97,73.61,76.07,74.4,62.15,74.66,77.36,76.54,85.28,66.18,76.22,13,10,14,7,5,12,14,11,12
