,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_stamina,power_strength,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle
258,258,Ayrton,22,179.8,72.5,Brazil,Caucasian,72,Left,Average,Good,Medium/Medium,LB,71.06,48.07,67.78,77.36,56.39,71.48,85.58,83.24,76.56,70.17,76.34,17,14,12,11,10,8,67.2,69.39,68.17
259,259,,24,179.7,75.1,Spain,Caucasian,72,Right,Good,Good,High/Medium,RB,75.22,59.78,71.87,68.75,65.12,71.4,73.91,77.34,67.49,69.78,68.16,14,13,13,12,11,7,57.96,72.84,74.95
260,260,V. Karavaev,24,175.2,69.5,Russia,Caucasian,72,Right,Good,Good,High/High,RB,76.36,51.83,71.16,67.98,68.73,69.46,75.7,76.82,79.24,68.72,72.91,17,11,12,13,13,11,67.66,72.19,70.79
261,261,F. Mladenovi?,27,180.0,65.3,Serbia,Caucasian,72,Left,Good,Good,,LB,73.96,53.7,69.55,71.76,66.0,71.28,77.45,77.22,75.88,68.1,70.96,16,12,14,12,11,8,66.31,72.19,67.23
262,262,N. Asare,32,173.1,66.4,Ghana,Black,72,Left,Good,Good,High/High,LB,67.21,47.83,68.94,69.97,66.78,69.57,69.58,76.82,77.93,67.06,79.58,15,13,16,14,14,13,78.93,67.99,66.99
263,263,Patrick,28,177.8,73.0,Brazil,Caucasian,72,Right,Good,Good,High/Medium,RB,68.19,42.48,68.45,70.78,57.1,72.0,76.06,77.48,71.77,67.81,73.29,16,11,14,13,12,9,68.51,73.46,69.76
264,264,J. Moreira,29,174.2,75.4,,,72,Right,Excellent,Good,High/Medium,RB,76.27,44.68,73.78,70.33,71.93,73.62,81.98,88.33,75.94,64.06,76.13,16,11,12,12,11,8,70.32,67.1,65.22
265,265,B. Sagna,36,175.6,72.8,France,Caucasian,72,Right,Excellent,Good,Medium/Medium,RB,72.95,42.97,71.9,71.63,66.4,72.67,63.49,63.83,59.59,71.76,68.78,13,16,14,12,12,11,72.79,72.42,72.01
266,266,D. Banguero,29,184.7,78.8,Colombia,Black,72,Left,Good,Good,Medium/High,LB,72.77,52.26,62.96,71.27,58.29,69.72,71.6,76.63,67.91,68.43,48.52,17,16,14,13,12,9,61.68,70.51,70.62
267,267,E. Insúa,28,181.5,80.7,Argentina,Caucasian,72,Left,Good,Good,High/Medium,LB,63.87,55.36,68.4,66.21,64.62,66.69,70.88,74.51,66.83,69.94,64.65,16,14,13,12,12,8,69.43,71.44,73.81
268,268,D. Martínez,29,175.8,77.3,Argentina,Caucasian,72,Right,Good,Good,High/Low,RB,74.13,58.61,65.24,67.01,61.39,69.55,74.7,73.91,68.09,73.12,68.86,14,13,13,12,11,10,71.59,69.95,73.81
269,269,Djavan,31,184.5,69.5,Brazil,Black,72,Left,Good,Good,High/Medium,LB,72.81,36.75,66.77,72.97,51.99,70.96,73.01,74.4,68.16,69.74,61.49,16,15,13,14,11,9,68.32,71.33,68.63
270,270,Vágner Corraldo,31,174.5,69.6,Brazil,Black,72,Left,Good,Good,Medium/Medium,LB,71.45,48.41,67.18,66.5,50.89,69.29,77.89,74.04,80.56,67.81,77.28,15,12,14,12,11,11,70.64,68.19,71.58
271,271,F. Ballo-Touré,22,182.4,73.4,France,Caucasian,72,Left,Good,Good,High/Low,LB,72.89,41.58,74.15,71.8,65.21,70.18,85.26,80.26,72.42,64.3,69.56,15,12,13,13,12,10,69.02,70.09,68.7
272,272,De la Bella,33,182.2,79.4,,,72,Left,Average,Good,High/Medium,LB,75.24,45.22,72.2,67.32,67.94,72.35,62.53,69.17,66.53,71.76,55.83,14,13,14,11,11,9,64.07,69.53,72.87
273,273,J. Lewis,21,177.1,69.8,Northern Ireland,Caucasian,72,Left,Good,Good,High/Medium,LB,64.32,50.26,64.52,69.72,60.57,69.01,77.72,79.69,74.03,67.06,73.78,17,12,13,14,10,7,68.51,73.01,68.19
274,274,M. Johansson,27,170.6,63.6,Sweden,Caucasian,72,,Good,Good,High/Medium,RB,63.31,44.53,63.92,74.12,62.05,67.21,84.19,85.76,82.71,67.96,73.78,17,10,13,14,8,9,68.01,67.79,67.51
275,275,T. Smith,27,185.8,84.2,England,Black,72,Right,Good,Good,Medium/Medium,RB,73.01,47.52,69.96,71.63,62.4,69.55,68.63,69.35,60.02,73.49,63.36,15,14,13,13,13,8,68.74,73.69,70.52
276,276,Vigaray,24,181.8,69.9,Spain,Black,72,Right,Good,Good,Medium/Medium,RB,69.92,53.34,67.17,69.4,52.31,70.25,73.74,71.07,81.91,69.63,63.15,15,13,14,13,10,9,69.31,68.19,75.35
277,277,M. Murillo,23,183.1,76.5,Panama,,72,Right,Good,Good,High/High,RB,65.38,35.14,67.02,70.45,66.23,69.0,80.19,82.28,79.37,67.31,70.25,16,15,12,12,11,12,69.63,70.6,70.28
278,278,L. Ayling,27,185.5,71.9,England,Caucasian,72,Right,Good,Good,High/Medium,RB,66.4,43.13,66.45,67.81,61.48,65.55,64.66,69.66,69.53,71.49,70.66,16,15,14,12,11,7,70.95,74.37,70.82
279,279,Choi Chul Soon,32,175.1,68.1,Korea Republic,Asian,72,Right,Good,Good,Medium/High,RB,69.95,42.19,66.06,64.47,59.01,66.83,78.39,71.47,67.83,74.08,81.0,15,14,14,14,13,10,67.19,72.85,71.31
280,280,L. Carole,28,181.8,78.3,France,Caucasian,72,Left,Average,Good,High/Medium,LWB,70.55,28.47,68.09,74.97,63.43,70.83,74.38,77.43,73.36,65.96,64.31,13,14,13,14,12,9,71.33,72.7,72.99
281,281,G. Sakai,28,175.9,74.1,Japan,Asian,72,Right,Masterful,Good,Medium/High,LWB,68.16,41.43,69.61,69.46,69.42,70.77,76.16,74.34,78.36,69.2,76.67,15,13,13,11,12,9,70.3,70.78,76.59
282,282,M. Ostrzolek,29,177.8,72.5,Germany,Caucasian,72,Left,Good,Good,Medium/Medium,LB,71.86,35.64,71.1,69.46,68.68,74.22,73.68,73.08,76.86,66.03,75.94,16,12,13,11,11,12,65.53,73.37,70.76
283,283,M. Aarons,19,178.2,72.7,England,Caucasian,72,Right,Good,Good,High/Medium,RB,64.92,50.26,68.48,71.39,55.74,71.77,85.12,81.05,81.79,67.33,78.99,15,11,13,12,10,5,73.67,73.46,67.73
284,284,G. Peruzzi,27,178.4,70.9,Argentina,Caucasian,72,Right,Good,Good,High/Medium,RB,67.85,37.79,69.29,68.02,66.23,69.45,76.88,82.34,72.6,71.39,69.94,15,13,14,11,10,9,65.19,71.82,70.78
285,285,I. Balliu,27,172.1,62.6,,,72,Right,Good,Good,High/Medium,RB,71.76,22.91,69.28,73.19,67.51,74.19,77.6,78.71,75.32,66.03,75.19,16,12,13,12,12,13,72.06,68.09,68.28
286,286,J. Bennett,29,177.6,73.8,England,Caucasian,72,Left,Good,Good,Medium/Medium,LB,70.15,38.03,69.75,67.19,67.1,68.65,72.74,69.66,72.26,72.11,71.18,14,13,14,10,12,9,70.92,72.6,72.06
287,287,F. Chafik,32,183.1,71.5,Morocco,Black,72,Right,Good,Good,High/High,LB,66.29,44.0,60.84,71.46,55.02,65.07,67.57,67.39,81.91,71.88,64.92,16,14,14,12,10,8,70.52,74.37,76.81
288,288,J. Toljan,24,182.1,74.2,Germany,Caucasian,72,Right,Excellent,Good,Medium/Medium,RB,74.77,39.23,70.25,67.78,66.23,70.65,86.56,86.55,73.61,67.5,70.28,14,13,13,11,9,7,63.13,72.18,70.99
289,289,G. Escobar,22,171.1,70.0,Argentina,Caucasian,72,Left,Average,Good,Medium/High,LB,70.07,35.79,71.31,71.42,62.83,70.2,81.79,81.44,74.82,65.9,78.63,16,14,13,10,12,9,63.73,70.94,70.97
290,290,F. Cacciatore,32,181.5,84.6,Italy,Caucasian,72,Right,Good,Average,Medium/Medium,RB,69.0,44.63,65.39,61.09,64.87,60.58,68.62,69.66,67.48,74.35,74.52,14,15,14,12,9,7,68.39,76.96,76.79
291,291,M. Zimmermann,27,177.1,76.1,Germany,Caucasian,72,Right,Average,Average,Medium/High,RB,72.2,46.4,71.51,65.44,65.22,68.68,72.78,66.39,72.0,69.07,75.13,15,13,14,7,12,8,70.92,68.64,71.77
292,292,N. Sangaré,25,184.7,72.3,Turkey,Middle-eastern,72,Right,Average,Average,High/Medium,RB,70.62,32.34,68.89,67.78,65.92,68.7,89.96,89.94,76.66,60.27,65.24,15,13,13,11,7,7,67.77,72.69,67.34
293,293,G. Letizia,29,173.2,63.2,Italy,Caucasian,72,Right,Masterful,Good,High/High,LB,68.56,44.53,61.63,66.87,67.54,65.39,92.25,85.05,84.23,68.68,86.5,16,14,13,11,9,9,66.55,70.39,69.95
294,294,J. Sánchez,21,174.6,70.7,Mexico,Caucasian,72,Right,Good,Average,High/Medium,LB,72.01,38.34,67.81,65.81,54.05,68.04,81.79,83.25,76.38,60.2,74.76,15,13,13,9,12,10,71.02,70.4,70.01
295,295,E. Brítez,27,180.2,78.5,Argentina,Caucasian,72,Right,Good,Average,High/High,LB,65.33,44.68,61.95,62.98,59.1,67.4,71.01,70.81,75.21,61.64,59.93,16,15,14,11,9,7,72.57,73.37,70.84
296,296,Jeff Meirson,27,178.8,77.4,Brazil,Black,72,Left,Good,Average,,LB,67.44,41.02,72.31,56.15,70.73,61.3,71.39,72.43,65.65,65.8,66.35,15,14,15,10,13,14,69.3,73.3,71.85
297,297,Joshuando Sá,35,182.4,80.9,Brazil,Caucasian,72,Left,Good,Average,Medium/Medium,LB,71.46,41.27,71.71,62.8,61.22,60.83,71.07,77.15,55.33,71.65,58.93,14,14,14,12,9,10,71.52,70.89,71.33
298,298,C. Chimino,31,178.2,71.9,,,72,Right,Average,Good,Medium/Medium,RB,70.84,35.27,58.45,63.0,53.27,66.48,78.12,79.46,66.69,72.11,63.48,17,13,14,10,9,12,70.08,69.8,73.22
299,299,Laure,34,170.5,68.2,Spain,Middle-eastern,72,Right,Good,Good,High/Medium,RB,71.15,43.99,70.31,62.54,63.37,69.32,71.25,69.92,69.15,73.79,88.56,14,11,15,8,11,9,60.18,71.38,75.12
300,300,,28,172.7,69.6,Colombia,Black,72,Left,Good,Good,High/High,LB,69.74,44.18,66.42,64.06,68.49,64.78,78.08,83.38,75.01,67.5,76.19,17,12,13,11,6,7,63.72,71.01,69.66
301,301,F. Veseli,26,183.2,79.6,Albania,,72,Right,Good,Average,Medium/Medium,RB,62.02,38.64,66.34,61.89,61.53,66.61,70.02,76.01,66.93,66.22,69.82,12,14,13,8,8,9,71.61,73.37,71.79
302,302,Jonas Damasto,35,176.8,69.1,Brazil,Caucasian,72,Left,Average,Average,High/Low,LB,72.12,40.47,68.49,60.81,53.01,57.42,81.5,78.88,68.06,67.33,57.31,17,11,13,8,8,7,78.08,67.79,73.48
303,303,W. Tesillo,29,166.3,62.1,,,72,Left,Good,Average,Medium/High,LB,54.53,21.74,60.05,48.54,58.73,60.5,64.6,64.96,58.11,74.24,47.03,14,13,16,8,7,6,72.15,74.39,74.0
304,304,J. McClean,30,179.5,70.0,Republic of Ireland,Caucasian,71,Left,Average,Good,High/High,LB,73.77,65.58,68.4,74.3,65.06,71.95,73.75,72.61,75.09,69.99,73.11,15,13,10,14,13,13,61.98,55.99,67.86
305,305,Elsinho,29,179.9,77.5,Brazil,Caucasian,71,Right,Good,Good,High/Medium,RB,74.16,67.53,68.35,70.75,59.97,74.66,71.38,74.48,70.95,62.77,55.97,18,15,12,15,12,9,60.34,67.12,69.93
306,306,Júnior Morais,32,175.6,77.2,Brazil,Caucasian,71,Left,Good,Good,Medium/Medium,LB,71.05,68.21,66.86,70.75,64.44,71.49,77.17,73.06,65.46,70.76,66.59,14,14,14,13,13,13,63.64,72.01,72.71
307,307,N. Bancu,26,178.0,64.9,Romania,Middle-eastern,71,Left,Average,Good,High/Medium,LB,69.12,56.58,70.48,68.34,58.01,70.27,80.72,74.85,83.71,66.83,77.28,18,13,11,14,13,14,68.81,68.79,66.14
308,308,M. Piedrahita,34,174.9,78.9,Colombia,Black,71,Right,Good,Good,High/Medium,RB,70.44,59.08,70.36,67.4,67.58,73.22,71.85,78.04,72.95,74.25,75.16,16,14,13,12,13,13,66.18,67.23,67.86
309,309,K. Ehizibue,24,187.0,82.0,Netherlands,Caucasian,71,Right,Average,Good,High/High,RB,70.92,54.06,63.83,73.56,65.7,69.99,83.81,88.47,68.33,66.4,55.64,17,16,12,12,12,8,61.52,68.11,66.31
310,310,A. O?uz,26,176.5,83.0,Turkey,Middle-eastern,71,Right,Good,Good,High/Medium,RB,72.25,51.76,66.52,67.4,69.11,71.89,72.73,77.69,75.99,69.61,77.37,15,14,13,13,13,11,62.03,71.37,68.68
311,311,B. Capon,31,180.6,71.7,Belgium,Caucasian,71,Right,Good,Good,High/High,RB,71.86,66.22,65.81,65.7,61.79,66.04,80.72,73.54,76.81,68.05,74.1,17,13,13,13,13,13,69.84,68.54,66.54
312,312,,26,185.1,74.2,Mexico,Caucasian,71,Right,Good,Good,High/Medium,RB,78.76,53.6,71.95,72.1,70.01,67.97,75.26,77.52,67.68,62.3,53.41,16,14,12,13,12,13,58.95,65.82,71.38
313,313,L. Villalba,24,177.2,73.1,,,71,Left,Average,Good,High/Medium,LB,74.6,49.67,71.32,69.83,66.19,70.9,78.91,82.45,79.24,69.65,65.81,15,12,14,12,13,8,64.6,64.69,63.91
314,314,H. Afful,33,168.1,61.4,Ghana,Black,71,Right,Good,Good,High/Medium,RB,68.14,47.06,68.88,67.01,66.02,72.28,78.6,78.42,76.18,72.06,76.82,15,12,14,14,13,10,68.81,66.29,65.64
315,315,S. Malone,28,189.2,74.5,England,Caucasian,71,Left,Good,Good,High/Medium,LB,75.4,57.17,67.03,67.39,64.07,67.93,68.93,76.52,69.64,70.58,65.25,15,13,14,12,11,12,63.71,68.8,68.91
316,316,F. Centonze,23,182.0,75.3,France,Caucasian,71,Right,Good,Good,High/Medium,RB,67.98,40.71,68.01,71.04,61.82,72.98,78.6,77.21,70.34,69.45,71.84,16,14,13,14,13,10,68.45,68.47,67.54
317,317,,26,187.5,78.5,Republic of Ireland,Caucasian,71,Right,Average,Good,High/Medium,RB,70.14,49.1,67.36,73.44,60.3,68.93,75.88,87.02,74.56,67.14,55.95,15,14,13,13,12,9,65.97,73.23,65.66
318,318,Felipe Curcio,25,183.0,75.1,Brazil,Caucasian,71,Left,Good,Good,,LB,78.9,46.26,71.98,72.74,72.5,79.47,77.13,75.94,68.3,63.96,62.15,15,14,13,10,12,13,64.38,65.94,66.46
319,319,H. Aleesami,27,182.9,80.8,Norway,Caucasian,71,Left,Good,Good,High/Medium,LB,70.64,54.8,68.81,69.51,66.14,70.19,78.75,81.01,71.65,69.92,61.27,16,14,13,12,13,12,61.52,70.03,66.02
320,320,P. Stenzel,23,183.0,74.2,Germany,Caucasian,71,Right,Good,Good,Medium/Medium,RB,72.02,54.68,74.76,70.08,68.62,72.63,60.99,64.46,63.42,73.17,64.79,15,11,14,11,13,9,63.71,70.56,68.16
321,321,Z. Bergdich,30,178.2,69.3,Morocco,Black,71,,Average,Good,High/Medium,LB,63.31,46.34,70.55,73.24,60.35,63.98,84.3,81.02,77.36,61.2,69.05,15,14,13,13,11,8,62.78,72.17,69.62
322,322,R. Kristensen,21,185.6,70.1,,,71,Right,Good,Good,High/High,RB,72.33,53.38,68.64,67.39,66.0,64.73,71.95,72.55,67.89,67.94,62.41,18,15,13,13,12,9,66.67,64.94,64.98
323,323,Diego Caballo,25,173.4,69.5,Spain,Caucasian,71,Left,Average,Good,High/Medium,LB,78.24,60.43,72.73,65.29,73.3,68.2,71.18,71.81,60.69,64.4,74.79,14,11,13,13,11,7,63.71,72.0,73.94
324,324,M. Sadílek,20,168.6,65.3,Czech Republic,Caucasian,71,Left,Excellent,Good,Medium/High,LB,60.67,54.95,73.63,63.81,64.63,72.1,76.26,73.11,75.21,66.38,83.74,16,13,14,11,12,12,67.08,68.35,63.66
325,325,Carraça,26,176.9,69.9,Portugal,Caucasian,71,Right,Good,Average,High/Medium,RB,69.62,45.68,73.09,68.29,64.15,69.4,71.66,66.8,73.17,74.11,70.78,15,13,14,12,12,11,68.03,73.49,68.09
326,326,P. Stojanovi?,23,178.3,71.6,Slovenia,Caucasian,71,Right,Average,Good,High/Medium,RB,72.63,41.0,68.05,72.65,73.13,71.19,83.65,82.64,62.61,68.27,71.37,15,13,13,13,12,10,58.05,68.59,71.88
327,327,L. Di Plácido,25,176.4,72.2,Argentina,Caucasian,71,Right,Average,Good,High/Medium,RB,70.72,46.24,65.04,76.35,62.35,69.68,83.52,85.0,74.96,65.39,69.05,16,13,13,11,11,10,56.83,68.32,72.66
328,328,Park Joo Ho,32,174.8,71.5,Korea Republic,Asian,71,Left,Good,Good,Medium/High,LB,70.31,30.89,72.76,71.75,71.59,72.65,75.25,66.46,76.68,73.08,79.99,13,13,14,13,14,12,63.85,75.62,74.61
329,329,Emerson,20,180.8,78.8,Brazil,Caucasian,71,Right,Good,Good,High/Medium,RB,67.26,48.04,66.27,66.68,57.61,65.77,81.11,82.49,70.95,69.05,61.22,14,14,13,12,10,9,62.08,68.82,74.31
330,330,,29,191.7,80.6,Denmark,Caucasian,71,Right,Good,Good,High/Medium,RWB,69.75,57.61,64.21,66.42,58.33,67.21,74.43,78.45,62.09,65.83,45.87,14,14,15,13,11,10,65.08,71.73,70.02
331,331,Brian Oliván,25,176.8,73.0,Spain,Caucasian,71,Left,Good,Good,High/Medium,LB,69.63,54.55,65.47,70.07,58.84,71.04,72.37,73.22,67.93,67.08,69.22,18,13,13,13,9,12,65.08,67.3,65.42
332,332,F. Díaz,35,172.8,69.4,Colombia,Black,71,Left,Average,Good,High/Medium,LB,68.94,37.36,70.19,64.44,63.31,72.16,68.93,73.68,79.01,75.98,79.02,14,12,12,12,12,12,72.79,69.34,74.9
333,333,B. Bariši?,26,185.6,80.2,Croatia,Caucasian,71,Left,Good,Good,High/Medium,LB,80.0,44.6,65.6,71.42,67.33,72.91,75.81,78.07,69.87,61.71,74.16,14,14,13,12,11,7,64.65,68.79,65.73
334,334,O. El Hajjam,28,180.6,73.4,Morocco,Black,71,,Good,Average,Medium/Medium,RB,63.31,34.94,70.84,72.97,66.81,63.98,69.61,68.73,65.46,68.5,65.52,15,14,13,12,12,6,68.3,69.63,69.79
335,335,G. Friend,31,188.3,82.7,England,Caucasian,71,Left,Good,Good,Medium/Medium,LB,63.61,53.13,66.49,69.83,59.61,68.55,64.03,66.01,75.21,68.23,54.55,16,15,14,13,10,9,73.18,64.94,71.58
336,336,Camora,32,177.1,69.2,Portugal,Caucasian,71,Left,Good,Good,High/High,LB,72.37,50.25,64.27,65.27,64.15,67.96,76.22,73.22,76.22,66.33,73.22,16,13,13,12,12,11,69.15,72.64,65.73
337,337,G. Belaud,32,176.8,75.7,France,Caucasian,71,,Good,Good,High/Medium,RB,63.31,41.77,69.72,70.16,57.52,63.98,69.41,63.41,70.97,67.58,65.52,16,14,14,13,11,10,71.94,71.06,73.15
338,338,A. Gonçalves,33,177.7,78.9,France,Black,71,Right,Excellent,Average,High/High,RWB,57.34,39.92,74.86,64.89,73.67,70.06,60.96,63.6,72.24,68.5,71.24,16,15,12,13,13,12,61.72,68.59,68.36
339,339,A. Tinnerholm,28,175.6,74.6,Sweden,Caucasian,71,Right,Good,Good,High/High,RB,61.94,32.53,66.89,68.0,61.92,67.24,67.17,80.66,70.77,74.27,60.81,18,13,14,12,13,7,71.99,70.23,67.79
340,340,B. Angulo,29,174.5,74.2,Colombia,Black,71,Left,Good,Good,Medium/Medium,LB,70.25,50.38,61.83,64.6,58.34,65.05,83.34,78.85,70.44,67.63,70.3,16,15,13,11,11,6,70.12,69.61,70.02
341,341,G. Taylor,21,173.7,62.2,Scotland,Caucasian,71,Left,Good,Average,Medium/Medium,LB,66.72,44.76,71.88,62.82,67.91,66.6,75.55,77.96,81.22,68.16,81.04,16,14,13,11,12,11,69.38,68.35,69.85
342,342,Miguelón,23,170.2,67.6,Spain,Caucasian,71,Right,Good,Good,Medium/Medium,RB,69.9,32.53,69.75,67.63,63.83,72.15,71.28,70.73,71.18,70.77,65.52,14,12,14,11,11,7,71.51,69.93,68.29
343,343,M. Caire,30,177.6,69.7,Argentina,Caucasian,71,Right,Excellent,Good,Medium/Medium,RB,65.93,36.37,59.23,69.98,57.07,64.68,73.71,81.53,72.7,66.86,73.61,16,14,14,12,11,13,58.63,67.24,74.96
344,344,,26,171.0,64.4,Portugal,Caucasian,71,Left,Good,Good,Medium/Medium,LB,66.96,30.87,66.82,69.14,61.11,68.83,73.77,72.89,72.71,70.9,86.63,15,10,14,12,9,9,67.0,67.84,72.36
345,345,Tramontinaldo,35,175.0,70.8,Brazil,Caucasian,71,Right,Good,Average,Medium/Medium,RB,72.83,45.49,73.88,61.02,71.09,71.96,63.1,70.96,75.21,71.01,79.08,12,10,10,10,12,12,74.0,73.27,75.39
346,346,G. Bettini,26,171.2,74.5,Argentina,Caucasian,71,Right,Good,Average,,RB,73.54,40.59,69.44,65.17,55.07,71.26,76.89,62.9,71.48,64.56,64.19,16,13,13,11,13,6,64.28,73.45,72.41
347,347,João Lucas,23,180.3,65.7,Portugal,Caucasian,71,Left,Good,Good,High/Medium,LB,70.63,42.18,70.66,67.73,66.81,65.3,73.95,77.61,61.57,64.41,67.51,15,11,14,13,10,8,69.81,68.75,66.57
348,348,E. García,29,168.4,66.8,Mexico,Caucasian,71,Right,Masterful,Good,Medium/High,LB,66.3,41.36,65.35,68.71,59.61,68.59,73.52,73.95,87.15,60.7,79.65,18,11,16,10,9,11,65.12,67.38,66.48
349,349,Kim Jin Su,27,175.1,69.1,Korea Republic,Asian,71,Left,Good,Good,Medium/Medium,LB,68.78,25.56,67.98,67.95,61.7,67.44,86.82,79.9,75.36,66.86,75.78,13,12,14,13,11,11,66.45,72.01,71.45
350,350,Álex Díez,23,173.4,63.7,Spain,Black,71,Right,Good,Good,High/Medium,RB,75.06,30.08,65.6,71.36,35.58,69.22,79.76,80.0,70.39,67.14,75.48,16,9,14,13,13,9,65.88,67.49,74.96
351,351,Tony Muttinho,35,182.9,80.0,Brazil,Caucasian,71,,Good,Average,Medium/Medium,RB,63.31,45.29,72.11,60.84,70.92,63.98,66.68,72.97,70.52,67.07,80.09,14,15,13,11,10,12,70.52,73.13,71.88
352,352,C. Araujo,37,172.0,68.6,Argentina,Caucasian,71,Right,Good,Excellent,Medium/Medium,LB,58.04,33.12,66.6,76.26,64.11,77.47,64.5,53.72,75.21,68.02,67.84,13,13,13,8,11,12,77.9,71.06,78.55
353,353,M. Abero,29,184.4,80.6,Uruguay,Middle-eastern,71,Left,Average,Good,Medium/High,LB,63.31,47.17,55.53,59.12,57.89,63.98,64.39,74.0,67.17,72.03,41.72,15,18,14,10,10,10,71.29,69.6,71.26
354,354,Silvosinho,35,176.1,72.8,Brazil,Caucasian,71,Right,Good,Average,Medium/Medium,RB,75.39,45.93,69.01,43.1,63.28,76.4,75.89,58.86,59.65,71.1,74.58,15,12,12,10,9,12,72.38,62.8,75.59
355,355,Tito,33,174.9,64.3,Spain,Caucasian,71,Right,Good,Good,Medium/Medium,RB,76.27,43.13,70.62,64.61,67.09,69.17,67.53,68.85,71.11,65.25,80.09,13,13,14,9,11,8,66.29,73.27,73.87
356,356,S. Magnasco,26,175.1,71.9,Chile,Caucasian,71,Right,Average,Good,Medium/Medium,RB,69.18,33.5,67.58,64.57,58.3,65.07,84.63,78.06,71.31,66.86,72.45,17,15,13,11,9,11,64.54,69.43,65.86
357,357,J. Risdon,26,173.6,70.2,Australia,Caucasian,71,Right,Good,Good,High/Medium,RWB,70.11,47.51,62.88,64.02,59.53,68.04,75.69,74.87,62.92,56.76,86.28,17,15,14,8,11,8,67.97,73.8,72.4
358,358,H. Palacios,26,180.4,75.7,Colombia,Black,71,Right,Average,Average,High/Medium,RB,65.08,26.98,65.6,62.64,66.13,57.77,84.71,83.79,73.58,68.13,68.09,18,14,12,11,12,7,68.4,67.41,65.86
359,359,M. Colin,27,179.7,76.3,France,Caucasian,71,Right,Excellent,Good,High/Medium,RWB,68.77,20.11,64.33,68.26,65.72,70.0,73.63,74.94,73.44,67.9,67.6,15,14,13,11,10,8,69.05,73.44,70.22
360,360,,31,182.2,72.9,Turkey,Middle-eastern,71,Left,Average,Average,Medium/Medium,LB,73.81,41.8,62.48,59.66,63.75,61.54,72.28,66.47,65.83,71.44,62.04,15,14,15,8,9,8,73.0,69.13,70.19
361,361,S. Rieks,32,185.0,75.3,Denmark,Caucasian,70,Right,Good,Good,High/Low,LWB,67.13,66.25,68.4,70.73,56.57,72.07,77.03,78.79,81.91,73.54,64.88,15,14,13,12,14,10,66.28,59.23,58.09
362,362,G. Zusi,32,177.7,73.0,United States,Caucasian,70,Right,Excellent,Good,High/High,RB,73.55,62.45,74.93,70.03,72.72,68.96,64.49,64.36,63.87,69.49,78.16,17,13,13,14,14,14,66.76,67.41,67.17
363,363,A. Elmohamady,31,183.0,78.3,Egypt,Middle-eastern,70,Right,Good,Good,High/Medium,RB,72.09,60.75,70.71,68.21,68.7,70.81,70.17,69.13,71.95,69.19,62.62,15,14,13,13,13,11,62.93,65.64,61.33
364,364,,30,180.2,73.4,Brazil,Black,70,Right,Excellent,Good,High/High,RB,68.05,64.73,68.83,67.63,65.49,68.24,75.48,83.23,71.61,73.34,67.14,16,14,14,13,13,12,53.18,68.66,67.02
365,365,Fran Villalba,21,168.4,64.5,Spain,Black,70,Right,Good,Good,Medium/Medium,LWB,66.32,65.76,71.51,76.65,67.51,73.9,63.87,55.87,72.48,68.42,91.08,11,6,10,12,14,11,50.86,48.97,39.42
366,366,M. Rodríguez,33,178.4,75.1,Argentina,Caucasian,70,Right,Good,Good,High/Medium,RB,68.72,55.49,63.6,65.78,64.23,71.29,71.07,76.82,66.61,65.59,62.12,15,13,13,14,11,13,64.41,66.91,70.21
367,367,K. Leerdam,29,177.8,69.9,Netherlands,Caucasian,70,Right,Good,Good,Medium/Medium,RB,63.68,55.85,68.56,65.78,64.85,70.01,72.49,71.62,71.48,69.19,72.54,16,13,12,13,13,8,63.69,70.2,66.68
368,368,A. Rosi,32,184.2,80.3,Italy,Caucasian,70,Right,Good,Good,Medium/Medium,RB,72.91,53.64,67.99,71.46,67.5,72.07,72.22,72.22,75.21,69.55,60.24,15,14,13,12,11,10,64.29,65.64,69.52
369,369,H. Quiñones,27,177.6,70.2,Colombia,Black,70,Left,Good,Good,High/Medium,LB,70.18,58.05,68.78,71.55,54.16,69.55,69.77,71.33,72.92,70.35,69.45,16,12,13,13,10,9,64.8,66.37,63.76
370,370,Li Xuepeng,30,185.2,75.5,China PR,Asian,70,Left,Good,Good,High/Medium,LB,73.0,51.9,65.84,65.78,66.26,72.12,81.22,77.29,62.53,67.24,70.37,16,15,13,12,13,10,62.36,66.8,63.08
371,371,M. Cash,21,168.8,63.6,England,Caucasian,70,Right,Good,Good,High/High,RB,67.01,66.84,65.53,68.97,63.59,68.14,80.01,83.02,86.34,65.06,66.66,17,10,12,11,13,8,50.34,61.97,62.75
372,372,J. Angulo,30,180.3,72.5,Colombia,Black,70,Right,Good,Good,Medium/Medium,RB,68.11,55.99,70.98,65.78,70.53,70.24,71.24,75.84,68.03,65.97,60.35,16,15,11,12,10,10,74.15,69.69,68.46
373,373,A. Salvi,31,183.1,76.4,Italy,Caucasian,70,Right,Good,Good,High/Medium,RB,63.72,55.71,67.15,65.64,63.44,65.55,77.28,81.73,80.95,69.19,71.52,16,14,12,12,12,12,70.26,65.81,65.82
