,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_heading_accuracy,attacking_short_passing,skill_long_passing,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_jumping,power_stamina,power_strength,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
276,276,B. Valdez,26,182.9,79.2,Paraguay,Caucasian,74,Right,Good,Average,Medium/High,RCB,82.89,65.57,51.72,56.53,71.72,48.93,68.25,53.54,17,16,15,14,15,10,9,13,62.51,75.26,74.66
277,277,T. Cardona,23,186.2,75.6,Argentina,Caucasian,74,Left,Good,Average,,LCB,76.82,61.25,55.55,42.94,63.19,54.29,66.78,48.06,17,15,16,16,14,8,5,13,68.96,70.93,70.43
278,278,Alcalá,30,196.0,93.1,Spain,Black,74,Right,Excellent,Average,Medium/Medium,RCB,73.4,65.65,65.85,30.67,36.78,30.82,73.07,32.06,12,10,18,14,14,5,9,13,73.37,73.59,70.45
279,279,Hugo Goiteira,27,189.9,88.1,,,74,Right,Average,Average,Medium/Medium,RCB,75.99,66.03,70.35,45.6,41.24,32.52,64.11,31.88,11,12,17,17,14,6,8,12,77.38,74.44,66.23
280,280,Maurício,27,183.3,81.9,Brazil,Caucasian,74,Right,Good,Average,Low/High,CB,76.87,66.14,67.76,66.03,61.49,39.48,69.74,55.75,18,12,17,15,14,4,8,12,68.08,72.3,70.22
281,281,Fabiano Sonta,27,181.1,82.2,Brazil,Caucasian,74,Right,Good,Average,Medium/Medium,LCB,71.65,68.88,64.72,46.96,53.82,69.15,72.69,71.5,12,11,17,15,15,7,10,15,75.66,72.7,65.1
282,282,M. Caruzzo,34,184.8,79.6,Argentina,Caucasian,74,Right,Good,Average,Low/Medium,RCB,75.46,62.5,60.28,37.26,51.28,56.33,66.78,35.42,13,14,16,16,15,9,12,14,71.78,74.0,71.38
283,283,D. Dessoleil,26,187.8,78.7,Belgium,Caucasian,74,Left,Good,Average,Medium/Medium,LCB,78.07,62.09,64.65,63.81,60.32,62.73,68.65,59.03,12,14,16,14,15,6,8,14,73.5,73.96,70.8
284,284,,35,187.0,82.4,Brazil,Black,74,Right,Good,Average,Medium/Medium,RCB,75.21,66.38,61.71,56.44,53.29,54.93,70.63,53.39,14,12,16,14,14,4,9,13,76.22,76.4,74.95
285,285,Ricardo Costa,38,184.3,82.2,Portugal,Black,74,Right,Good,Average,Low/High,RCB,72.44,56.01,47.47,48.64,35.46,52.8,72.46,63.13,18,9,15,18,14,10,9,15,76.17,80.46,73.72
286,286,R. Pérez,29,185.7,81.9,Colombia,Black,74,Right,Good,Average,Medium/Medium,LCB,67.27,63.13,29.66,48.68,61.37,44.85,66.93,62.56,13,10,18,16,15,5,6,11,73.18,75.91,68.38
287,287,C. Lema,29,190.6,89.7,Argentina,Caucasian,74,Right,Average,Average,,RCB,86.06,60.33,65.78,32.78,32.75,30.93,63.34,30.17,10,12,18,17,14,10,9,12,74.74,72.27,66.89
288,288,J. O'Connell,25,191.6,85.0,England,Caucasian,74,Left,Average,Average,High/Medium,LCB,69.07,58.09,57.4,59.92,64.86,49.02,69.61,45.15,16,13,16,16,15,5,5,11,73.59,70.59,71.94
289,289,L. Giannetti,25,183.7,78.8,Argentina,Caucasian,74,Right,Good,Average,Low/High,RCB,69.42,59.6,49.45,67.22,71.28,52.66,70.9,53.21,16,14,16,14,15,5,7,12,76.86,75.29,71.94
290,290,Titi,31,188.1,83.0,Brazil,Black,74,Left,Good,Average,High/Medium,LCB,75.82,43.93,39.17,29.8,32.88,42.97,69.27,45.41,8,10,17,16,15,8,9,12,73.98,77.81,71.93
291,291,S. Sunzu,30,190.1,90.5,Zambia,Black,74,Right,Good,Average,Medium/Medium,RCB,75.68,58.85,56.41,43.22,59.21,54.69,65.94,60.71,16,14,18,14,13,6,8,13,73.72,74.27,71.5
292,292,D. Benlamri,29,185.0,83.5,Algeria,Middle-eastern,74,,Average,Average,Medium/High,RCB,74.8,68.98,64.16,54.6,64.17,51.79,66.17,47.21,16,15,18,14,13,7,6,13,74.27,73.9,67.35
293,293,B. Ecuélé Manga,30,186.2,75.6,Gabon,Black,74,Right,Good,Average,Low/Medium,RCB,72.02,62.21,61.27,53.13,53.96,31.46,71.27,35.15,12,11,16,15,15,4,10,13,71.45,75.43,73.85
294,294,Rodrigo Becão,23,191.0,79.4,Brazil,Caucasian,74,Right,Average,Average,Low/Medium,RCB,75.25,68.88,64.68,53.62,61.83,47.94,69.87,47.21,14,12,14,14,14,5,7,12,76.41,75.71,74.2
295,295,Felipe,34,188.5,75.5,Brazil,Black,74,Left,Good,Average,Low/Medium,LCB,74.29,62.5,63.61,33.56,33.54,49.08,71.99,62.97,13,7,12,14,16,5,9,13,76.54,80.46,76.23
296,296,B. Poulain,31,189.2,83.1,France,Caucasian,74,Right,Average,Average,Low/High,LCB,75.21,67.92,66.26,33.35,32.91,51.49,69.24,39.74,6,13,16,15,15,8,11,14,78.23,73.59,72.93
297,297,P. Gouano,25,186.4,78.1,France,Middle-eastern,74,Right,Average,Average,Medium/High,RCB,73.94,64.03,66.7,62.97,65.48,56.0,67.88,45.29,15,14,15,16,14,2,8,13,73.43,75.4,72.78
298,298,G. Ferrari,27,188.7,81.7,Italy,Caucasian,74,Left,Good,Average,,LCB,69.98,60.23,63.67,63.87,46.86,47.57,69.66,43.58,15,11,15,15,15,4,4,13,74.72,78.17,76.33
299,299,S. Morrison,28,194.0,84.2,England,Caucasian,74,Right,Average,Average,Medium/High,RCB,78.13,52.61,60.28,44.37,45.76,50.68,70.37,38.79,15,12,16,16,14,5,6,11,74.29,73.84,73.94
300,300,J. Aidoo,23,179.6,80.4,Ghana,Black,74,Right,Average,Average,Medium/High,RCB,73.6,48.4,42.14,74.26,78.62,63.02,65.12,71.39,17,15,17,17,14,5,4,12,69.91,75.73,71.95
301,301,R. Rojas,23,176.3,74.7,Paraguay,Caucasian,73,Right,Good,Good,Medium/Medium,LCB,74.83,68.09,65.94,64.23,73.87,70.15,67.81,70.51,18,14,15,15,14,12,11,13,73.44,67.53,68.22
302,302,M. Knoll,28,186.0,80.8,Germany,Caucasian,73,Left,Good,Average,Medium/Medium,LCB,73.22,73.0,64.63,69.96,74.66,71.49,73.35,66.18,17,15,15,14,13,11,13,13,75.15,67.53,71.01
303,303,O. Kúdela,32,181.7,77.6,Czech Republic,Caucasian,73,Right,Good,Average,Medium/High,RCB,67.73,72.48,64.63,71.48,72.93,71.99,73.21,72.69,14,16,15,14,15,11,12,15,74.45,72.55,72.39
304,304,S. Vittor,30,188.7,86.1,Argentina,Caucasian,73,Right,Good,Average,High/High,LCB,73.26,62.15,65.7,42.73,52.26,48.06,69.04,35.12,13,15,16,14,13,11,11,13,70.84,73.43,73.94
305,305,Ailton Valpaços,27,186.2,79.0,Brazil,Black,73,Right,Good,Average,Medium/Medium,LCB,72.22,72.83,66.5,70.68,61.78,67.05,63.77,62.26,15,15,15,16,13,11,10,14,69.95,74.69,77.27
306,306,A. Scholz,26,189.4,86.5,Denmark,Caucasian,73,Right,Good,Average,Medium/High,LCB,72.33,69.02,64.47,64.59,63.72,54.9,65.02,64.34,12,15,15,14,14,11,12,15,70.59,71.72,73.06
307,307,Bruno Alves,37,188.7,83.1,,,73,Right,Good,Good,Medium/Medium,RCB,74.39,61.5,70.82,42.56,31.74,64.45,63.16,61.31,17,12,17,17,12,10,11,16,71.59,74.15,70.29
308,308,D. Toši?,34,184.9,80.4,Serbia,Caucasian,73,Left,Average,Average,High/High,RCB,72.29,70.06,62.23,56.32,51.4,33.31,67.4,36.47,14,14,16,16,14,13,11,12,68.0,72.77,74.01
309,309,Guitián,28,181.2,69.1,Spain,Caucasian,73,Right,Good,Average,,RCB,71.32,74.27,65.78,64.23,67.31,66.21,67.9,63.92,18,14,15,14,14,10,11,14,70.59,69.6,68.98
310,310,S. Taniguchi,27,182.6,72.6,Japan,Asian,73,Right,Good,Average,Low/High,LCB,73.62,68.4,66.24,60.03,63.72,60.1,68.21,62.39,17,15,14,13,14,11,9,12,72.93,76.0,69.37
311,311,Diego Ângelo,33,191.6,84.0,,,73,Left,Average,Average,Medium/High,LCB,76.56,67.95,69.19,32.95,34.71,30.31,61.13,29.0,6,13,17,15,14,10,10,13,78.39,73.97,70.06
312,312,Juan Cala,29,184.7,78.4,Spain,Caucasian,73,Right,Good,Average,Medium/High,LCB,72.33,72.2,69.13,54.93,66.37,66.65,66.94,59.36,16,15,16,14,14,7,9,11,72.93,71.72,67.15
313,313,B. Kuscevic,23,185.2,80.2,Chile,Caucasian,73,,Good,Average,Medium/Medium,RCB,72.7,67.54,64.16,71.11,68.54,64.28,70.51,64.98,15,14,16,14,14,11,8,14,71.86,73.75,70.38
314,314,Y. Meriah,25,189.9,82.7,Tunisia,Black,73,Right,Average,Average,Low/Medium,LCB,68.12,67.29,68.37,71.11,75.34,64.7,68.42,58.18,15,12,14,14,14,7,9,13,73.89,76.27,69.69
315,315,C. Basham,30,189.7,79.8,England,Caucasian,73,Right,Average,Average,High/Medium,RCB,68.0,63.31,60.14,62.93,67.73,53.37,68.02,56.54,14,15,15,16,15,9,11,11,69.94,73.42,70.26
316,316,,28,180.8,79.0,Argentina,Caucasian,73,Right,Excellent,Average,Medium/Medium,RCB,70.57,64.66,64.95,58.14,49.35,43.93,73.74,50.6,17,16,16,14,14,11,12,15,73.21,72.03,74.97
317,317,A. Correa,34,179.7,74.0,Colombia,Black,73,Right,Good,Average,,LCB,72.85,65.14,66.35,69.59,66.46,68.95,69.31,64.98,14,14,17,13,15,10,9,15,73.53,70.88,69.91
318,318,M. Nervo,28,180.9,82.6,Argentina,Caucasian,73,Right,Average,Average,Medium/High,RCB,76.8,64.19,64.19,60.73,49.35,42.66,78.13,58.68,15,16,16,15,14,10,7,13,68.57,73.62,67.65
319,319,H. Magnússon,26,190.0,81.2,Iceland,Caucasian,73,Left,Average,Average,Medium/Medium,CB,68.22,72.2,74.67,56.87,73.61,52.02,71.34,55.04,14,14,15,14,14,4,9,13,73.59,73.95,70.88
320,320,L. Moore,26,184.5,86.0,England,Caucasian,73,Right,Good,Average,Medium/High,RCB,70.79,64.39,64.46,66.9,75.01,58.77,70.72,64.46,16,15,16,15,14,7,12,14,70.8,70.11,73.67
321,321,W. Zimmerman,26,190.6,88.5,United States,Caucasian,73,,Good,Average,Medium/Medium,RCB,78.49,66.63,66.11,53.04,62.97,44.87,70.28,53.63,15,15,16,16,14,9,7,13,71.79,69.12,62.97
322,322,C. Jullien,26,196.1,88.3,France,Black,73,Right,Good,Average,Low/Medium,RCB,79.9,64.79,61.35,61.11,62.74,61.87,68.15,54.43,15,14,17,14,13,10,5,13,69.51,65.12,70.74
323,323,E. Zukanovi?,32,189.8,84.6,Bosnia Herzegovina,Caucasian,73,Left,Good,Average,Low/High,LCB,75.14,64.54,64.13,54.4,49.31,45.49,69.04,38.95,10,12,16,14,14,7,10,14,73.07,74.67,73.34
324,324,A. Mosquera,29,182.1,80.5,Colombia,Black,73,Right,Good,Average,High/High,RCB,74.29,65.75,56.03,68.1,73.81,69.27,68.99,55.28,14,14,15,15,13,7,10,11,70.3,74.78,73.23
325,325,J. Gélin,22,182.8,79.1,France,Black,73,Right,Good,Average,Medium/Medium,CB,67.84,70.42,66.77,58.48,65.14,61.39,73.45,61.36,14,13,14,14,14,5,11,14,71.61,75.28,70.81
326,326,,31,184.2,76.4,Brazil,Caucasian,73,Right,Average,Average,Medium/Medium,RCB,73.08,67.88,68.18,33.54,48.28,37.17,68.44,56.43,16,9,15,15,15,7,10,13,70.4,73.74,70.33
327,327,Germán,32,186.8,81.6,Spain,Caucasian,73,Right,Average,Average,Medium/High,RCB,75.71,72.9,63.78,45.03,53.52,53.23,60.87,44.21,13,16,15,15,14,8,11,12,69.81,74.67,72.52
328,328,Raillo,27,186.8,79.8,Spain,Caucasian,73,Right,Good,Average,Low/High,LCB,77.31,71.31,59.22,56.41,60.49,34.75,64.57,53.63,15,17,13,16,14,10,9,13,73.16,72.97,69.88
329,329,L. Pernica,29,187.3,86.2,Czech Republic,Caucasian,73,Right,Good,Average,,RCB,73.2,65.33,56.59,68.1,66.75,66.73,72.39,59.09,15,14,16,14,14,9,11,12,72.12,72.6,71.78
330,330,J. Babin,32,180.7,90.7,France,Caucasian,73,Right,Good,Average,Medium/Medium,RCB,75.25,69.44,60.1,33.1,42.36,35.37,70.64,61.81,15,16,17,13,14,10,11,13,71.58,72.99,72.12
331,331,Paulo Vinícius,34,187.5,86.2,Brazil,Black,73,Right,Good,Average,Low/High,RCB,73.6,60.04,62.12,53.05,61.16,65.04,67.33,40.86,16,13,16,16,14,7,10,14,69.64,72.91,71.06
332,332,Nélson Monte,23,186.6,78.0,Portugal,Black,73,Right,Average,Average,Medium/Medium,LCB,64.57,67.95,66.56,59.72,54.1,56.33,70.59,56.38,15,13,15,14,15,8,8,12,73.94,74.67,71.76
333,333,A. Flint,29,196.7,82.8,England,Caucasian,73,Right,Good,Average,Medium/Medium,LCB,72.79,57.11,50.61,47.46,51.26,29.61,71.05,27.36,14,13,18,15,13,10,8,12,70.1,69.51,69.21
334,334,A. Mawson,25,189.3,89.9,England,Middle-eastern,73,,Masterful,Average,Medium/High,RCB,78.27,67.76,65.39,53.56,54.44,48.03,64.94,38.95,14,10,16,13,14,5,8,13,72.91,73.22,71.12
335,335,J. Laso,28,184.6,79.8,Argentina,Caucasian,73,Right,Good,Average,Medium/High,LCB,73.39,65.43,51.66,56.89,66.17,52.8,68.15,54.79,15,14,17,17,15,7,8,12,65.02,64.25,74.42
336,336,Édundo Oliveira,27,183.0,78.7,Brazil,Black,73,Right,Average,Average,Medium/Medium,LCB,71.07,67.14,66.23,54.63,56.18,53.72,70.59,56.91,15,12,16,15,14,7,10,13,69.4,77.44,72.08
337,337,Juanpe,28,189.7,85.5,Spain,Black,73,Right,Good,Average,Low/High,CB,73.15,74.23,60.36,41.64,62.12,32.19,69.87,32.15,14,14,16,15,14,6,10,13,64.99,72.48,70.92
338,338,,22,187.4,74.9,Brazil,Black,73,Right,Good,Average,Medium/High,LCB,69.31,68.01,59.08,56.86,61.16,57.41,67.44,42.98,14,10,15,15,14,6,9,12,69.85,75.56,72.06
339,339,Ignasi Miquel,26,188.9,80.4,Spain,Caucasian,73,Left,Good,Average,,LCB,71.53,68.95,57.99,58.43,61.96,56.99,69.55,33.37,11,12,15,15,14,5,10,12,71.99,72.5,71.73
340,340,Samir,24,188.7,79.8,Brazil,Caucasian,73,Left,Average,Average,Medium/High,LCB,68.19,61.03,57.51,63.14,63.77,49.5,66.47,36.28,11,13,14,15,14,6,9,13,72.64,75.64,71.73
341,341,J. Kana-Biyik,29,184.2,85.8,Cameroon,Black,73,Right,Good,Average,Low/Medium,RCB,72.94,59.6,56.62,61.93,62.75,52.0,68.94,56.22,15,13,17,15,14,7,9,14,70.67,72.71,68.79
342,342,M. Senesi,22,182.9,80.0,,,73,Left,Good,Average,Low/High,LCB,71.84,68.58,69.34,63.62,58.38,47.09,63.16,50.32,15,13,14,13,15,6,4,12,71.73,75.58,70.98
343,343,L. Mabiala,31,189.2,84.1,DR Congo,Black,73,Right,Average,Average,Low/Medium,RCB,77.55,56.01,53.89,50.6,50.46,30.54,64.34,34.37,14,17,17,16,14,5,10,11,70.1,70.52,71.39
344,344,V. Wormgoor,30,187.6,80.7,Netherlands,Caucasian,73,Right,Good,Average,Medium/High,RCB,72.14,63.02,67.72,33.99,35.85,35.65,63.78,45.39,14,14,17,15,14,6,10,13,70.8,71.7,69.88
345,345,M. Friedrich,23,192.4,80.8,Germany,Caucasian,73,Right,Good,Average,Medium/Medium,LCB,69.94,65.76,67.93,56.86,66.05,54.43,69.57,51.1,13,12,15,12,14,5,10,10,70.63,76.67,74.45
346,346,Frederico Venâncio,26,185.8,81.5,Portugal,Caucasian,73,Right,Good,Average,Medium/Medium,RCB,74.96,64.58,56.23,64.0,61.03,56.41,65.76,55.5,16,9,15,13,14,5,9,14,73.33,71.7,69.65
347,347,,38,178.1,77.5,Argentina,Caucasian,73,Right,Average,Average,Low/Medium,LCB,73.15,70.45,69.32,51.96,33.72,64.12,57.72,51.24,16,8,16,16,14,5,12,14,69.11,73.98,71.61
348,348,M. van der Hoorn,26,190.1,83.3,Netherlands,Caucasian,73,Right,Good,Average,Medium/Medium,RCB,80.0,63.01,62.18,34.05,41.86,47.15,62.42,37.58,16,14,17,12,14,8,7,12,76.34,77.42,70.08
349,349,Paolito Serra,27,190.6,88.3,Brazil,Caucasian,73,Right,Good,Average,Medium/Medium,RCB,73.62,65.65,65.34,32.95,42.46,40.41,63.78,40.76,8,9,17,13,14,6,4,16,74.82,77.42,64.65
350,350,L. Rossettini,34,186.7,82.0,Italy,Caucasian,73,Right,Average,Average,,LCB,73.5,58.04,58.16,55.18,50.76,57.53,70.44,48.58,14,11,15,15,15,6,5,14,74.94,73.04,72.37
351,351,T. Parker,26,188.2,87.7,United States,Caucasian,73,Right,Good,Average,Medium/High,LCB,72.19,66.86,50.29,68.49,75.71,69.28,67.21,58.79,16,15,17,16,13,5,7,11,72.37,70.22,67.22
352,352,M. Hedges,29,193.3,83.8,United States,Caucasian,73,Right,Good,Average,Low/High,RCB,74.4,71.27,70.26,54.96,65.13,55.56,66.63,51.08,13,16,17,15,15,7,8,13,70.11,70.59,64.89
353,353,Mario Álvarez,37,177.9,72.2,Spain,Black,73,Left,Good,Average,Low/Medium,RCB,68.57,61.59,59.08,54.76,66.06,57.95,63.29,68.33,16,13,14,15,15,4,9,12,63.98,77.73,76.57
354,354,F. Lucioni,31,185.6,79.8,Italy,Caucasian,73,Right,Excellent,Average,Medium/High,RCB,73.32,62.15,50.5,62.55,45.69,55.75,70.63,54.37,18,12,14,15,15,8,8,13,71.64,72.79,72.37
355,355,S. Salcedo,21,183.1,75.4,,,73,Right,Good,Average,Medium/High,RCB,73.13,45.16,48.27,64.9,69.3,54.82,74.37,67.11,18,14,16,12,14,5,8,14,73.36,77.14,74.2
356,356,P. Karlsson,33,184.5,80.9,Sweden,Caucasian,73,Right,Good,Average,Low/High,CB,73.71,54.21,51.82,66.8,71.83,65.63,67.49,67.19,17,13,16,13,15,7,7,13,66.51,75.04,77.26
357,357,Kim Min Jae,22,189.6,78.4,Korea Republic,Asian,73,,Average,Average,Low/High,LCB,75.06,58.99,58.96,70.78,73.46,70.03,67.75,67.19,14,13,17,15,14,7,11,12,66.35,74.89,70.81
358,358,M. Miazga,23,192.7,84.0,United States,Black,73,Right,Good,Average,Low/Medium,LCB,72.71,66.86,53.9,58.42,54.63,57.35,70.44,41.82,15,13,16,15,14,5,6,13,65.43,73.35,72.91
359,359,C. Romero,21,184.6,79.4,Argentina,Caucasian,73,Right,Average,Average,Low/High,RCB,75.73,54.56,45.87,61.39,65.24,63.7,71.09,64.17,15,14,15,17,15,6,7,11,66.51,72.65,73.64
360,360,Gonçalo Silva,28,185.8,79.3,Portugal,Caucasian,73,Right,Average,Average,Medium/High,RCB,71.58,68.66,66.96,63.74,61.7,59.07,68.23,59.2,15,17,14,15,14,6,7,13,74.6,75.25,72.86
361,361,Iago,27,187.7,82.9,Brazil,Caucasian,73,Right,Average,Average,Low/High,RCB,69.97,56.77,45.92,51.65,40.72,57.15,72.06,47.35,14,12,16,15,13,7,7,11,74.34,76.95,74.55
362,362,,20,185.1,81.0,Netherlands,Caucasian,73,Left,Excellent,Average,Medium/Medium,LCB,69.93,66.96,64.58,63.74,67.58,55.14,60.42,58.63,15,13,16,14,13,4,11,11,74.38,76.07,71.22
363,363,F. Tobio,29,185.8,80.3,Argentina,Caucasian,73,Right,Average,Average,Medium/Medium,RCB,72.23,64.17,65.14,57.53,62.81,62.43,69.71,35.17,16,14,16,16,14,8,5,12,74.34,72.5,70.02
364,364,K. Waston,31,195.6,88.1,Costa Rica,Caucasian,73,Right,Average,Average,Medium/High,LCB,74.9,55.72,63.45,39.22,50.46,31.72,63.55,30.77,16,11,18,16,13,7,7,10,72.39,75.5,62.58
365,365,J. Czerwi?ski,27,183.3,75.3,Poland,Caucasian,73,Right,Good,Average,Medium/High,CB,67.82,68.44,57.74,55.51,63.45,62.84,67.45,65.19,15,17,16,15,14,7,6,12,73.47,75.38,76.57
366,366,G. Margreitter,30,185.9,84.5,,,73,Right,Average,Average,Medium/High,RCB,73.78,59.76,55.37,43.34,49.81,38.62,69.36,54.89,14,10,16,15,14,5,9,12,73.01,78.56,72.41
367,367,N. Spolli,36,193.0,90.2,Argentina,Caucasian,73,Right,Good,Average,Medium/Medium,CB,76.43,45.4,45.23,32.32,41.88,29.87,59.55,32.28,14,6,18,14,15,4,5,14,75.58,72.54,71.21
368,368,L. Ceppitelli,29,188.7,83.5,Italy,Caucasian,73,Right,Good,Average,High/High,RCB,72.79,50.39,45.09,49.87,57.43,54.75,63.36,55.07,16,11,17,13,14,4,3,13,64.21,74.62,75.49
369,369,R. Bennett,29,187.9,78.2,England,Caucasian,73,,Average,Average,Low/Medium,RCB,72.63,64.91,64.2,36.33,34.82,29.82,67.77,45.39,14,12,15,15,14,4,6,10,75.86,75.04,74.1
370,370,O. Alderete,22,188.3,77.2,Paraguay,Caucasian,72,Left,Good,Average,Medium/High,LCB,70.86,69.57,72.04,58.86,65.13,51.49,70.34,50.13,15,15,16,12,15,13,9,11,70.86,67.19,70.34
371,371,O. Lewicki,26,171.3,68.1,Sweden,Caucasian,72,Right,Good,Average,High/Medium,RCB,62.1,65.27,64.03,61.91,59.85,60.56,72.98,85.07,18,17,14,16,14,13,13,13,79.2,70.93,70.74
372,372,S. Vegas,22,181.5,80.0,Chile,Caucasian,72,Left,Good,Average,Medium/High,LCB,66.85,67.51,64.67,70.9,76.83,60.38,66.04,47.25,17,15,15,15,14,10,6,13,67.34,71.23,70.24
373,373,R. Shotton,30,191.2,84.5,England,Caucasian,72,Right,Good,Average,Medium/Medium,LCB,66.32,68.44,60.93,60.89,64.38,58.68,69.92,48.86,13,16,16,13,14,11,12,12,72.75,72.79,70.34
374,374,K. Hansen,30,184.4,73.6,Denmark,Caucasian,72,Right,Good,Average,Medium/Medium,RCB,70.37,70.05,73.47,68.28,66.57,71.49,70.5,71.94,15,15,14,13,14,11,13,13,73.32,70.53,74.38
375,375,,33,182.1,77.0,Spain,Black,72,Left,Average,Average,Medium/High,LCB,71.52,64.73,62.89,64.51,66.44,62.56,67.75,72.75,15,15,15,16,14,11,9,13,69.3,70.93,67.88
376,376,T. Kalas,26,182.7,79.7,Czech Republic,Caucasian,72,Right,Good,Average,Medium/High,RCB,72.6,68.1,50.29,71.35,73.87,66.75,70.5,68.13,16,14,15,13,13,9,9,13,69.23,71.62,73.45
377,377,C. Mavinga,28,185.4,77.9,DR Congo,Black,72,Left,Good,Good,Medium/Medium,LCB,69.15,68.44,65.86,75.64,85.18,62.39,66.5,55.45,14,14,15,15,13,8,11,13,67.53,68.86,70.24
378,378,T. Ream,31,186.9,79.5,United States,Caucasian,72,Left,Good,Average,Medium/Medium,LCB,67.24,74.52,69.18,53.58,65.97,67.82,71.62,63.66,14,13,14,12,14,8,13,16,71.78,72.34,69.02
379,379,A. J?drzejczyk,31,188.9,77.5,Poland,Caucasian,72,Right,Good,Average,Medium/Medium,LCB,72.33,68.29,66.09,68.36,66.99,68.43,64.62,63.31,15,15,16,16,14,10,8,12,61.76,70.5,69.37
380,380,Sergio Sánchez,33,185.2,83.7,Spain,Caucasian,72,Right,Average,Average,Medium/Medium,RCB,70.33,64.82,60.46,58.96,52.31,66.06,69.09,59.69,14,13,14,15,15,12,12,14,71.4,73.93,70.57
381,381,K. Pedersen,24,190.8,83.4,Denmark,Caucasian,72,Left,Average,Average,Medium/Medium,LCB,76.26,65.91,60.93,66.24,66.54,55.89,72.16,47.58,13,15,16,15,16,9,10,12,71.59,74.28,69.68
382,382,F. Jungwirth,30,185.0,80.2,Germany,Caucasian,72,Right,Excellent,Average,High/High,LCB,64.98,70.07,68.98,54.05,47.23,57.51,73.67,61.55,14,15,13,16,14,11,11,13,71.05,69.7,72.58
383,383,J. Börner,28,187.7,85.9,Germany,Caucasian,72,Left,Good,Average,Medium/High,LCB,74.94,59.21,59.07,60.61,64.75,60.85,63.58,56.78,17,14,16,15,14,9,9,12,66.48,74.64,66.51
384,384,Jorge Carvallinho,35,188.6,79.9,,,72,Left,Good,Average,Medium/Medium,LCB,67.93,67.28,60.42,61.45,60.36,44.92,70.01,38.25,12,14,16,14,13,8,9,14,72.91,72.71,68.29
385,385,D. Vavro,23,189.7,76.2,Slovakia,Caucasian,72,Right,Good,Average,Medium/Medium,RCB,72.79,69.2,65.33,63.45,71.58,50.36,57.71,63.53,14,13,17,15,13,9,9,13,74.38,70.45,69.15
386,386,J. González,27,177.3,73.2,Paraguay,Caucasian,72,,Good,Average,Medium/High,RCB,78.27,66.08,55.27,78.23,74.56,66.79,69.21,68.13,17,16,16,14,14,9,10,11,72.36,71.13,73.26
387,387,J. Okore,26,183.2,79.6,Denmark,Caucasian,72,Right,Good,Average,Medium/High,RCB,72.33,60.22,64.4,70.45,73.72,63.99,64.62,56.67,17,15,17,16,13,10,11,12,61.68,70.29,68.34
388,388,Simao Mate,30,177.7,75.9,Mozambique,Black,72,Right,Average,Average,Low/High,RCB,60.19,67.59,63.35,64.51,75.04,68.3,70.46,75.27,17,14,18,16,15,7,10,14,70.46,78.07,73.28
389,389,,33,183.5,81.1,Zimbabwe,Black,72,Left,Good,Average,Medium/High,RCB,73.71,59.6,57.21,80.3,83.84,77.31,69.02,61.58,15,14,15,18,14,9,10,13,62.88,71.21,69.99
390,390,F. Coloccini,37,183.8,82.8,Argentina,Caucasian,72,Right,Excellent,Average,Low/High,RCB,77.97,62.15,66.39,44.86,35.3,54.31,67.68,55.62,15,8,15,15,14,8,9,14,72.11,72.4,70.9
391,391,J. Barroso,34,175.4,71.2,Argentina,Caucasian,72,Right,Good,Average,Medium/Medium,LCB,74.2,65.19,64.33,60.81,65.43,59.94,75.25,69.38,17,15,15,11,14,8,11,14,71.78,74.2,69.69
392,392,V. Forren,31,186.4,87.6,,,72,Left,Good,Average,Medium/Medium,LCB,71.55,66.96,70.43,33.08,31.55,47.57,70.64,64.24,16,13,16,14,14,8,12,14,71.09,72.29,66.97
393,393,M. Besler,32,183.1,77.2,United States,Caucasian,72,,Good,Average,Low/High,LCB,68.55,72.57,76.92,62.85,65.3,63.07,71.85,63.66,13,15,14,13,14,6,12,14,73.53,71.21,71.19
394,394,L. Caldirola,28,189.2,78.5,Italy,Caucasian,72,Left,Good,Average,Medium/Medium,RCB,74.08,69.69,66.36,50.5,48.48,52.69,69.69,53.37,16,9,16,13,14,8,11,14,66.52,72.55,69.55
395,395,M. Pazdan,31,180.5,77.6,Poland,Caucasian,72,Right,Excellent,Average,Medium/High,RCB,66.14,66.45,64.06,51.42,46.09,70.81,67.54,68.2,17,11,15,16,14,9,12,13,70.96,73.93,71.89
396,396,A. Abdennour,29,187.4,84.4,Tunisia,Black,72,Left,Average,Average,Low/Medium,RCB,74.41,58.47,62.21,52.01,49.99,57.13,62.67,50.75,15,13,16,15,14,9,10,15,66.67,73.22,74.97
397,397,A. Struna,28,188.2,83.9,Slovenia,Caucasian,72,Right,Good,Average,Medium/High,RCB,72.08,68.44,58.24,60.95,68.12,63.62,64.52,48.98,15,17,18,13,12,6,11,12,73.19,70.58,73.31
398,398,A. Hoffmann,26,190.1,83.8,Germany,Caucasian,72,Right,Average,Average,Medium/Medium,LCB,72.7,66.87,64.08,52.84,40.46,54.04,68.9,56.18,11,10,15,14,14,10,11,11,71.5,73.09,70.9
