,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
272,272,Luis Milla,24,174.7,66.7,Spain,Caucasian,75,Right,Good,Good,High/High,RCM,78.21,68.63,71.79,74.77,73.13,70.15,74.18,75.0,78.63,14,14,17,13,13,13,14,13,14,16,76.41,71.02,66.85
273,273,F. Haroun,33,188.4,74.6,Belgium,Black,75,Right,Good,Good,High/High,LDM,68.24,66.97,63.5,71.78,49.17,59.06,54.56,70.06,52.88,14,11,18,16,13,16,15,14,14,16,81.89,69.07,62.94
274,274,K. Phillips,23,178.2,71.9,England,Black,75,Right,Good,Good,Medium/High,CDM,73.99,64.59,74.18,71.75,65.95,66.68,68.21,69.65,71.55,15,16,17,16,13,16,14,13,13,15,71.54,75.02,70.33
275,275,O. Alonso,33,180.0,70.1,Cuba,Caucasian,75,Right,Excellent,Average,Medium/High,LDM,81.85,73.94,78.26,73.99,50.17,61.76,65.58,73.17,74.27,16,12,14,15,13,17,13,12,12,15,70.67,73.21,71.58
276,276,Mario Suárez,32,188.3,79.7,Spain,Caucasian,75,Right,Excellent,Good,Medium/High,CDM,77.41,70.23,75.85,77.38,39.49,48.98,53.72,76.07,47.61,16,11,14,16,13,14,15,12,14,14,46.61,74.17,68.6
277,277,,29,186.9,80.3,France,Caucasian,75,Right,Excellent,Average,Medium/High,LCM,74.79,70.59,70.28,71.02,68.37,67.14,65.02,68.95,63.07,13,14,15,15,12,14,15,13,13,13,75.87,76.29,73.17
278,278,V. Behrami,34,184.7,82.4,Switzerland,Caucasian,75,Right,Good,Good,Medium/High,RDM,73.7,69.56,72.15,74.1,63.55,59.6,68.51,72.36,68.0,15,13,14,14,14,18,14,13,14,15,71.6,78.47,76.48
279,279,D. Chará,33,171.8,67.9,Colombia,Black,75,Right,Excellent,Good,High/High,LDM,74.69,69.5,70.95,71.22,80.93,70.75,73.75,72.3,79.63,14,13,18,13,11,17,14,12,13,14,74.38,74.99,74.11
280,280,S. Sydorchuk,28,188.7,80.5,Ukraine,Caucasian,75,,Good,Good,High/High,RDM,75.44,69.64,72.64,74.23,67.58,64.97,57.16,74.95,69.68,9,11,15,14,14,12,15,13,14,15,71.53,75.03,66.74
281,281,Alfa Semedo,21,189.4,82.2,Guinea Bissau,Black,75,Right,Excellent,Good,Medium/Medium,LCM,72.37,64.52,73.14,72.75,65.12,68.43,56.24,75.27,46.11,15,12,16,17,14,16,14,12,13,13,71.98,76.29,66.45
282,282,Gabrisco Aníbal,27,181.7,76.8,Brazil,Caucasian,75,Right,Good,Average,Medium/High,RDM,75.96,58.78,70.55,72.2,68.37,70.12,61.15,80.98,61.27,14,14,17,14,13,16,14,13,11,14,80.32,70.28,74.05
283,283,O. Norwood,28,175.4,68.9,Northern Ireland,Caucasian,75,Right,Good,Average,Medium/Medium,CM,79.81,62.39,81.92,75.76,59.45,55.05,68.48,71.26,73.24,15,12,13,11,14,13,14,11,15,13,68.81,74.17,70.5
284,284,X. Chavalerin,28,179.2,69.1,France,Caucasian,75,Left,Good,Good,Medium/Medium,LDM,75.6,67.65,74.1,74.71,68.08,64.97,66.57,73.18,76.62,14,9,18,13,12,12,15,12,14,13,68.35,70.32,65.73
285,285,R. Cohade,34,180.8,74.7,France,Caucasian,75,Right,Good,Good,Medium/High,RCM,77.81,72.29,77.49,77.21,52.3,47.98,59.67,72.15,72.1,11,14,14,13,14,15,13,13,15,14,75.67,66.1,68.05
286,286,Fran Beltrán,20,169.9,65.8,Spain,Caucasian,75,Right,Good,Good,Medium/Medium,LDM,74.98,74.92,77.07,72.96,70.5,65.95,77.19,71.07,76.93,12,11,13,12,11,13,15,12,15,13,77.99,75.1,69.13
287,287,A. Ademi,28,185.1,79.0,,,75,Right,Good,Good,High/High,RCM,75.51,70.23,72.36,69.38,53.04,68.19,43.16,70.06,54.89,13,12,16,16,11,15,14,12,13,14,75.67,74.23,69.25
288,288,W. Vainqueur,30,179.4,72.5,France,Caucasian,75,Right,Good,Good,Medium/Medium,CDM,74.22,70.93,68.67,73.17,63.54,65.03,62.33,75.22,69.68,15,14,17,16,12,16,15,11,12,15,69.51,73.86,68.62
289,289,J. Hernández,30,171.2,78.3,Mexico,Caucasian,75,Right,Good,Good,Medium/High,RDM,73.93,66.96,71.44,73.49,63.54,70.71,67.36,68.8,69.58,14,16,18,13,13,16,15,11,14,15,71.35,71.94,69.16
290,290,I. Šunji?,22,183.5,75.5,Croatia,Caucasian,75,,Good,Average,Medium/High,LCM,67.75,60.95,64.16,71.28,75.49,65.09,71.81,75.49,74.89,13,11,18,14,12,17,16,11,13,12,79.16,76.61,73.94
291,291,J. Hogg,30,175.6,73.1,England,Caucasian,75,Right,Good,Good,Low/High,CDM,73.98,66.89,69.28,67.56,68.81,65.45,63.93,66.26,72.32,12,12,17,14,10,17,15,11,12,14,73.96,76.87,75.64
292,292,N. Domingo,34,174.2,70.4,Argentina,Caucasian,75,Right,Good,Good,Low/High,CDM,72.73,63.92,75.12,73.71,59.45,52.01,72.29,73.72,74.13,13,13,15,13,13,14,14,11,13,15,74.67,77.15,70.76
293,293,A. Romao,35,180.3,74.0,Togo,Black,75,Right,Good,Good,Medium/High,RDM,71.14,68.26,68.16,70.8,51.28,55.31,89.9,77.03,69.63,13,14,14,15,13,17,15,11,13,15,72.5,77.15,74.79
294,294,B. Pearson,24,175.4,71.0,England,Black,75,Right,Good,Good,Medium/High,RDM,70.58,70.12,67.77,71.83,72.0,68.76,69.81,66.26,74.89,12,17,18,15,8,19,14,11,12,14,73.81,75.77,73.86
295,295,M. Fritzler,32,179.4,73.4,Argentina,Caucasian,75,Right,Good,Average,Medium/High,CDM,75.75,63.37,70.74,70.12,55.38,49.63,66.4,65.26,56.56,13,15,14,14,11,16,15,12,13,14,71.65,77.26,74.09
296,296,S. Brown,34,175.0,79.9,Scotland,Caucasian,75,Right,Good,Average,Medium/High,RDM,79.13,69.16,68.5,70.97,59.59,65.68,73.89,71.11,73.23,14,15,16,15,9,17,14,9,11,17,75.87,75.17,69.8
297,297,A. Touré,25,188.1,84.5,France,Caucasian,75,Right,Good,Good,Medium/High,RCM,70.57,61.67,69.77,74.9,48.02,41.29,37.14,68.69,38.56,15,7,15,17,15,15,15,9,11,11,76.32,77.45,74.48
298,298,E. Balanta,26,180.6,83.7,Colombia,Black,75,Left,Average,Average,Medium/High,LDM,69.33,64.52,72.98,71.28,68.73,72.1,59.71,72.89,48.21,11,14,16,17,6,16,14,9,11,14,72.35,75.01,71.9
299,299,J. Obi,28,176.1,71.3,Nigeria,Black,74,Left,Good,Good,High/Medium,RCM,75.84,77.02,70.95,76.72,83.67,69.24,86.27,74.86,86.09,15,16,13,14,13,15,14,15,14,15,68.13,75.46,76.33
300,300,O. Trejo,31,180.1,78.8,Argentina,Caucasian,74,Right,Excellent,Excellent,High/Medium,RCM,71.22,77.09,70.26,76.31,66.66,72.87,89.96,74.92,75.98,14,12,17,14,13,14,13,14,15,14,57.27,66.3,55.43
301,301,Adrián González,31,183.4,78.2,Spain,Caucasian,74,Left,Good,Good,Medium/Medium,LCM,71.15,74.89,69.15,77.27,65.44,64.58,67.84,78.42,67.14,14,13,16,14,14,14,15,14,14,13,72.17,69.95,68.62
302,302,I. Bennacer,21,173.1,64.1,Algeria,Middle-eastern,74,Left,Good,Good,Medium/Medium,LCM,75.92,72.94,73.22,74.18,75.9,72.23,73.7,74.27,79.11,14,14,15,12,14,11,12,13,14,15,69.51,66.59,66.0
303,303,A. Christiansen,29,174.3,75.1,Denmark,Caucasian,74,,Good,Good,High/High,RCM,72.4,73.07,73.25,74.23,75.19,73.43,83.9,74.07,80.19,14,15,16,12,15,15,13,14,14,14,60.49,62.94,71.15
304,304,Alan Patrick,28,171.3,68.1,Brazil,Caucasian,74,Right,Good,Excellent,Medium/Medium,LDM,75.59,79.94,71.8,75.7,73.51,74.82,80.02,71.24,71.69,15,12,14,11,15,9,11,12,13,15,54.55,53.17,41.57
305,305,Edercinho Sepa,31,179.1,75.6,Brazil,Caucasian,74,Right,Good,Average,Medium/Medium,RDM,72.59,63.57,76.91,70.46,73.97,75.96,67.57,81.78,67.69,16,13,15,13,15,13,13,14,12,13,81.38,75.74,74.05
306,306,,21,186.3,80.1,Czech Republic,Caucasian,74,Right,Good,Good,Medium/Medium,RDM,73.35,74.0,69.28,72.65,76.02,75.32,76.05,70.96,76.77,14,15,17,15,14,15,14,13,14,13,68.37,72.87,68.78
307,307,F. Viviani,27,179.6,75.0,Italy,Caucasian,74,Right,Excellent,Good,Medium/Medium,CDM,71.15,75.34,75.2,77.49,60.6,64.96,74.14,71.71,77.18,16,13,14,13,16,13,14,12,15,14,70.25,73.22,67.7
308,308,F. Belluschi,35,172.7,77.9,Argentina,Caucasian,74,Right,Excellent,Excellent,High/Medium,RCM,73.4,72.04,74.15,76.57,59.11,52.15,70.15,71.21,71.41,16,13,10,13,16,14,13,14,16,15,66.82,65.73,59.33
309,309,O. Martínez,33,165.3,71.8,Paraguay,Caucasian,74,Right,Excellent,Good,Medium/Low,LCM,73.72,70.7,73.91,77.29,61.96,63.43,75.95,71.72,81.27,15,14,15,13,14,15,12,14,15,14,57.27,62.27,54.88
310,310,Pozo,23,169.6,65.0,Spain,Black,74,Right,Excellent,Good,High/Medium,LCM,76.7,76.98,75.27,78.29,77.31,69.45,77.75,65.81,80.57,12,10,11,11,14,7,9,13,13,14,54.55,51.72,49.79
311,311,S. Missiroli,33,191.4,76.6,Italy,Caucasian,74,Right,Good,Good,Medium/Medium,RCM,76.96,71.55,73.23,76.95,62.13,59.93,61.26,75.08,36.18,13,12,14,11,12,12,14,14,14,15,64.39,72.24,65.32
312,312,Juan Carlos,28,179.3,73.4,Spain,Black,74,Right,Good,Good,High/Medium,LCM,72.59,73.18,67.5,73.76,71.27,63.38,73.46,70.51,68.18,11,11,14,11,14,9,9,15,15,15,60.34,49.0,40.86
313,313,Tarantini,35,187.8,77.9,,,74,Right,Good,Good,Medium/Medium,RCM,76.34,70.99,72.49,75.05,48.02,45.8,55.55,74.57,52.27,14,13,10,14,14,15,15,14,15,16,71.99,71.19,58.7
314,314,A. Bedoya,32,177.7,72.6,United States,Caucasian,74,Right,Excellent,Good,High/High,RCM,80.4,69.55,71.46,73.46,61.79,66.99,71.81,75.75,70.17,14,16,18,12,13,15,14,14,13,15,69.11,61.41,53.56
315,315,P. Hetemaj,32,174.7,76.2,Finland,Black,74,Right,Excellent,Good,High/High,LCM,74.32,72.0,73.37,73.29,75.9,74.42,77.53,75.19,80.19,14,18,17,13,14,17,14,13,14,15,68.84,72.37,72.88
316,316,G. Cimirot,26,178.1,74.2,Bosnia Herzegovina,Caucasian,74,Right,Good,Good,,RCM,75.23,72.32,74.53,74.89,69.35,65.78,71.56,70.97,77.83,14,14,15,13,14,13,15,13,14,14,69.68,69.75,67.7
317,317,J. Ferri,27,171.8,70.0,France,Caucasian,74,Right,Average,Good,Medium/High,RCM,75.92,70.52,74.53,72.54,66.35,62.55,72.46,76.33,84.96,15,12,15,13,15,17,13,14,14,13,65.14,70.47,63.64
318,318,F. Zuqui,27,169.7,65.5,Argentina,Caucasian,74,Right,Good,Good,Medium/Medium,RCM,78.33,75.27,74.63,72.72,67.98,62.88,81.95,71.76,80.57,13,13,16,13,13,12,13,13,14,14,72.8,61.59,58.73
319,319,H. Medunjanin,34,179.6,76.3,Bosnia Herzegovina,Caucasian,74,Left,Excellent,Excellent,Medium/Medium,CDM,77.75,75.51,74.69,74.23,62.13,51.1,63.3,71.61,42.02,16,13,14,14,15,13,12,12,15,14,59.77,71.06,58.16
320,320,Ivo,32,172.9,65.0,Brazil,Caucasian,74,Left,Good,Good,High/High,LCM,71.15,73.76,76.47,74.9,74.07,69.71,72.23,70.41,62.19,13,12,17,12,12,11,12,13,15,12,45.37,46.96,40.86
321,321,P. Billing,23,197.2,79.6,Denmark,Caucasian,74,,Good,Good,Medium/Medium,RCM,76.16,72.09,76.66,76.95,54.9,59.62,53.79,72.19,59.41,16,12,13,15,15,14,14,12,14,14,73.4,76.65,72.93
322,322,João Schmidt,26,182.7,82.8,Brazil,Caucasian,74,Left,Good,Good,Medium/Medium,LCM,76.64,71.78,75.36,76.05,51.89,55.0,58.02,72.23,59.41,15,14,14,15,15,14,13,13,15,13,69.13,67.98,71.76
323,323,Edvaldisco,27,183.4,71.2,Brazil,Caucasian,74,Left,Good,Average,High/Medium,CDM,71.58,71.4,74.0,72.92,77.02,70.66,61.29,80.64,62.01,12,12,17,14,10,13,13,13,15,16,73.67,77.29,64.09
324,324,H. Arter,29,175.6,70.3,Republic of Ireland,Caucasian,74,Left,Masterful,Good,High/High,CDM,77.98,69.19,76.11,71.68,65.12,54.04,68.72,71.95,74.51,15,13,14,13,14,17,14,13,14,14,63.58,72.86,66.96
325,325,B. Heynen,22,181.8,67.4,Belgium,Black,74,Right,Excellent,Good,,RCM,75.55,72.39,73.65,73.81,64.74,67.82,68.56,67.88,73.21,12,13,16,12,12,14,13,14,14,15,68.38,67.15,63.98
326,326,C. Hourihane,28,181.4,70.4,Republic of Ireland,Caucasian,74,Left,Excellent,Good,High/Medium,CDM,76.55,64.9,74.64,71.52,64.56,64.92,77.38,71.05,75.77,14,15,17,13,15,15,13,13,15,13,60.38,71.16,64.31
327,327,F. Quignon,26,178.1,74.9,Argentina,Caucasian,74,Left,Good,Good,Medium/High,CDM,80.16,76.7,75.12,80.65,68.73,67.44,81.0,63.24,66.73,14,14,18,13,11,14,13,11,14,16,69.3,70.68,70.56
328,328,J. Ralls,25,177.6,70.4,England,Black,74,Left,Average,Good,Medium/High,LDM,75.5,71.3,73.98,72.61,65.89,61.93,70.55,74.25,67.99,14,9,15,11,13,15,14,13,14,13,69.3,73.35,69.17
329,329,Y. Yotún,29,172.8,67.7,Peru,Caucasian,74,Left,Poor,Good,Medium/High,LDM,76.64,72.31,74.64,72.89,67.0,62.88,83.44,69.54,76.96,15,15,17,12,12,15,12,13,15,14,68.9,63.07,65.68
330,330,Míchel,30,183.2,71.4,Spain,Caucasian,74,Right,Excellent,Good,Medium/Medium,RCM,82.79,71.83,76.85,79.97,54.44,44.55,60.84,75.16,60.36,13,9,10,11,14,11,12,12,15,13,75.35,52.47,46.41
331,331,Aleix Febas,23,170.8,61.0,Spain,Caucasian,74,Right,Good,Excellent,Medium/Medium,RCM,76.8,74.76,74.55,72.65,73.31,69.26,87.22,69.54,83.12,13,11,14,12,13,13,13,13,15,15,61.94,63.68,63.14
332,332,B. Bannan,29,169.0,61.2,Scotland,Caucasian,74,Left,Poor,Good,Medium/Medium,LCM,75.72,69.92,80.72,77.3,68.22,60.34,90.83,72.36,90.96,14,12,15,6,13,14,11,13,15,14,51.7,45.94,39.72
333,333,J. Aholou,25,187.1,79.9,Ivory Coast,Black,74,Left,Good,Good,,RDM,74.67,71.38,71.17,72.52,74.65,70.2,66.82,69.24,59.61,14,10,12,14,14,15,15,11,11,14,78.45,76.24,72.46
334,334,Pascoal Muscato,27,176.7,84.1,Brazil,Black,74,Right,Excellent,Average,Medium/Medium,RCM,74.71,69.56,73.89,72.17,53.07,55.0,59.65,74.2,65.68,16,13,14,16,15,14,14,12,13,14,74.72,75.69,67.85
335,335,Claudiano Sobrino,35,176.6,71.7,Brazil,Caucasian,74,Right,Excellent,Average,High/Medium,RDM,75.81,71.04,75.75,68.81,72.12,74.25,80.79,78.6,82.74,11,14,16,14,12,15,14,12,15,13,61.94,68.51,64.85
336,336,S. Davis,34,172.6,70.0,Northern Ireland,Caucasian,74,Right,Good,Good,Medium/High,CM,78.84,73.56,74.68,74.95,58.7,50.49,71.64,77.21,75.08,12,14,12,11,12,14,13,13,15,16,59.68,66.2,66.88
337,337,,33,175.4,71.8,Italy,Caucasian,74,Right,Excellent,Good,Medium/Medium,CM,79.97,71.33,79.17,76.7,62.48,52.71,68.97,67.64,76.93,14,9,12,12,14,12,14,12,15,15,75.35,66.12,60.36
338,338,R. Amalfitano,29,174.8,70.9,France,Caucasian,74,Right,Excellent,Good,,LCM,75.22,71.72,71.47,72.63,64.92,55.53,66.63,75.73,73.08,11,10,15,9,10,14,15,14,15,14,71.32,74.34,66.87
339,339,T. Serero,29,172.4,68.4,South Africa,Black,74,Right,Excellent,Good,Low/High,RCM,82.41,74.45,74.55,80.15,82.54,77.2,82.8,76.44,89.76,9,11,16,7,9,13,15,11,14,15,65.71,70.36,57.1
340,340,E. Kalinski,32,184.1,85.7,Argentina,Caucasian,74,Right,Excellent,Good,Medium/Medium,CDM,77.63,70.54,73.83,74.87,70.54,60.49,59.8,65.01,61.76,11,17,16,16,11,15,14,14,14,13,74.33,73.13,68.64
341,341,A. Cubas,23,169.2,60.1,Argentina,Caucasian,74,Right,Average,Good,Medium/Medium,CDM,75.86,72.0,71.82,74.92,76.27,66.25,89.42,81.29,89.91,11,15,17,6,12,15,14,13,13,14,76.77,79.75,78.05
342,342,M. Bakalorz,29,180.5,78.4,Germany,Caucasian,74,Right,Excellent,Average,Medium/Medium,RDM,71.21,65.19,68.44,67.31,65.06,63.51,65.76,72.4,71.08,17,16,16,15,15,17,14,12,13,13,78.08,73.74,74.91
343,343,Anselmo,30,184.5,82.3,Brazil,Caucasian,74,Right,Average,Good,Medium/High,LDM,74.26,63.04,71.64,69.64,68.96,66.19,62.21,71.61,70.21,14,13,16,16,12,15,14,12,12,13,74.33,78.49,72.0
344,344,,32,175.6,73.8,Argentina,Caucasian,74,Right,Good,Good,Low/High,RDM,72.6,69.3,75.31,70.47,69.64,62.3,71.47,68.53,72.0,15,15,15,15,14,16,15,12,12,15,69.95,69.58,71.01
345,345,G. ?nler,35,182.7,80.3,Switzerland,Caucasian,74,Right,Masterful,Average,Medium/Medium,LDM,74.2,70.91,72.85,73.19,40.05,42.37,55.49,66.68,59.07,16,14,11,14,14,15,14,12,14,14,74.48,76.16,71.77
346,346,Robson Denho,27,181.0,78.5,Brazil,Caucasian,74,Right,Good,Average,High/High,RDM,74.49,63.04,68.32,66.04,66.25,61.72,61.13,67.62,64.35,16,13,16,15,8,15,14,14,15,13,77.3,75.81,70.75
347,347,B. Verstraete,25,175.1,67.6,Belgium,Caucasian,74,Right,Good,Good,High/High,LDM,74.21,66.17,75.81,71.18,69.64,70.26,75.77,67.69,74.99,15,16,16,12,12,16,15,10,13,13,69.78,70.23,69.96
348,348,,31,180.5,72.2,Spain,Caucasian,74,Right,Good,Good,Medium/Medium,LDM,76.0,64.87,76.64,74.9,42.99,41.81,62.06,68.18,55.87,14,12,13,14,14,13,14,13,14,12,73.22,72.22,71.45
349,349,J. Geis,25,186.0,80.9,Germany,Caucasian,74,Right,Good,Average,Low/High,CDM,77.22,59.11,78.69,69.24,44.01,36.84,67.31,66.52,72.94,17,15,13,15,15,14,15,13,14,13,69.79,72.77,71.15
350,350,L. Deaux,30,188.4,81.8,,,74,Right,Average,Average,Medium/High,RDM,75.77,65.26,74.37,71.32,49.72,62.83,58.72,66.77,51.34,13,14,16,15,10,15,14,13,13,14,69.66,75.1,71.78
351,351,V. Cantillo,25,179.9,70.1,Colombia,Black,74,Right,Average,Good,Medium/Medium,LDM,80.31,74.05,74.22,76.52,60.64,67.75,69.3,71.01,66.48,9,15,16,15,8,14,13,12,15,13,70.24,68.22,64.05
352,352,F. Bachirou,29,168.7,65.0,Comoros,Black,74,Right,Good,Good,Medium/High,CM,66.72,74.35,69.87,75.52,72.12,69.3,91.03,77.7,91.18,8,14,16,13,8,16,15,12,12,15,66.61,77.73,62.25
353,353,A. Aguilar,34,186.7,87.9,Colombia,Black,74,Right,Good,Good,Medium/High,RDM,73.21,64.76,69.41,67.83,34.0,31.1,54.9,73.48,35.71,13,13,14,17,12,16,15,13,13,14,73.01,77.52,61.12
354,354,Fábio Pacheco,31,179.9,72.6,Portugal,Black,74,Right,Good,Average,Medium/High,CDM,74.67,59.74,70.7,67.51,64.82,68.75,67.51,73.6,69.73,13,16,15,13,12,15,15,10,13,14,73.64,76.22,72.99
355,355,R. Jack,27,181.9,72.5,Scotland,Caucasian,74,Right,Good,Average,Medium/High,RCM,74.93,68.16,74.22,73.6,64.06,66.3,71.5,68.73,66.59,11,13,18,14,11,16,14,10,13,16,70.77,73.38,68.96
356,356,F. Magnanelli,34,181.4,79.1,Italy,Caucasian,74,Right,Good,Average,Medium/High,CDM,71.81,56.0,70.02,69.75,64.34,60.3,60.44,71.86,63.76,13,10,12,13,13,17,15,10,14,16,77.53,76.34,70.75
357,357,Ilie Sánchez,28,180.0,76.5,Spain,Caucasian,74,Right,Good,Good,Medium/High,CDM,77.43,65.89,73.77,77.36,55.72,53.62,71.76,74.51,69.9,9,16,16,14,11,14,14,10,13,14,70.77,69.15,64.3
358,358,Pedro Sá,25,175.4,70.2,Portugal,Black,74,Left,Average,Average,Medium/High,CDM,73.29,61.85,75.24,71.91,57.79,63.3,79.19,74.64,73.18,15,17,17,13,10,16,13,9,11,14,66.65,73.38,71.27
359,359,H. Choudhury,21,178.3,64.4,England,Caucasian,74,Right,Good,Average,Medium/High,LCM,72.51,63.74,63.57,68.39,72.15,69.33,69.24,65.35,70.57,12,13,15,14,7,16,15,10,12,13,76.52,77.54,75.52
360,360,D. Kourmpelis,25,181.3,74.4,Greece,Middle-eastern,74,Right,Good,Good,Medium/High,RDM,73.33,64.36,70.61,68.07,73.14,76.12,65.55,73.6,67.76,13,14,16,14,12,16,15,6,10,13,72.01,75.96,73.6
361,361,Alex Bergantiños,34,176.4,70.1,Spain,Caucasian,74,Right,Average,Average,Low/High,RDM,69.72,58.06,63.67,66.43,49.37,39.45,64.28,74.73,69.08,12,16,17,15,10,14,15,10,14,13,77.5,76.0,71.13
362,362,I. Lichnovsky,25,187.5,79.3,Chile,Caucasian,74,Right,Excellent,Average,Medium/Medium,RDM,65.32,63.74,62.26,65.24,70.02,66.86,67.28,57.14,71.12,12,16,14,15,6,14,14,10,7,12,75.27,76.05,76.1
363,363,T. Elyounoussi,31,171.6,65.6,Norway,Caucasian,73,Right,Excellent,Excellent,High/High,LCM,71.15,76.35,50.44,74.05,82.15,81.54,89.9,74.25,90.56,14,15,16,12,13,11,10,15,14,14,56.3,33.07,28.44
364,364,I. Sosa,32,178.4,71.0,Argentina,Caucasian,73,Right,Good,Good,High/Low,RCM,72.11,72.84,63.13,72.79,81.05,81.08,82.61,70.36,65.52,14,13,15,14,14,13,10,14,14,14,37.25,46.51,38.63
365,365,E. Vecchio,30,178.0,79.8,Argentina,Caucasian,73,Right,Good,Good,Medium/Medium,RCM,76.17,75.86,71.83,74.99,73.12,77.43,83.39,70.22,69.68,14,11,14,16,14,10,11,13,14,14,55.41,59.14,46.6
366,366,V. Ayala,31,177.4,70.4,Paraguay,Caucasian,73,Right,Good,Good,Medium/Medium,CDM,70.78,71.54,73.4,73.29,63.99,73.41,75.08,70.82,71.58,18,15,15,14,16,15,13,13,13,13,70.21,68.52,68.01
367,367,R. Bazoer,22,184.2,73.8,Netherlands,Caucasian,73,Right,Excellent,Good,Medium/Medium,LCM,78.3,74.93,74.38,77.38,74.34,73.79,73.73,75.28,73.9,14,16,14,14,14,14,11,13,14,14,68.65,62.82,59.54
368,368,Castro,31,180.9,74.6,Portugal,Black,73,Right,Average,Good,High/Medium,RDM,74.49,74.36,71.94,74.67,68.11,66.37,76.08,70.37,70.87,16,13,15,15,15,15,13,14,14,13,70.77,65.71,60.87
369,369,M. Jensen,31,177.3,74.6,Denmark,Caucasian,73,,Excellent,Good,High/High,RCM,76.0,72.93,68.02,76.95,74.62,71.62,72.23,70.66,73.9,15,12,18,14,13,16,12,13,14,16,65.48,62.99,63.12
370,370,Pietrson Mendes,35,172.7,64.0,Brazil,Caucasian,73,Left,Good,Good,Medium/Medium,CM,76.09,71.91,62.95,75.06,79.94,83.55,80.9,70.36,78.68,14,10,13,10,13,9,9,13,13,15,27.56,50.65,44.18
371,371,T. Murg,24,172.8,70.1,Austria,Caucasian,73,Left,Excellent,Good,Medium/Medium,RCM,67.79,72.44,63.26,74.84,85.74,83.55,86.07,75.42,87.14,13,18,14,13,13,8,7,13,13,12,39.63,44.32,37.73
372,372,André Martins,29,169.0,61.3,Portugal,Caucasian,73,Right,Good,Good,Medium/Medium,LDM,75.25,76.05,71.64,77.41,79.78,77.17,91.64,75.24,90.18,13,13,14,9,12,11,13,13,14,15,27.56,55.26,46.6
373,373,Tiago Silva,26,170.2,61.6,Portugal,Caucasian,73,,Excellent,Excellent,High/Medium,RCM,74.1,73.61,62.64,65.89,72.78,68.28,76.62,73.45,81.52,15,12,13,7,14,13,12,13,14,13,43.86,58.46,53.3
374,374,L. Fer,29,188.1,79.4,Netherlands,Caucasian,73,Right,Excellent,Good,Medium/Medium,RCM,73.22,74.59,74.46,72.14,65.32,70.94,67.99,69.66,50.65,17,16,16,15,14,16,13,13,13,14,67.07,70.28,68.67
375,375,Hernani,25,187.6,77.2,Brazil,Caucasian,73,Right,Average,Good,Medium/Medium,CDM,73.45,72.55,72.93,73.4,67.79,66.78,64.74,71.3,53.01,15,12,13,13,15,15,14,13,13,13,70.64,73.83,68.68
376,376,M. Estigarribia,31,180.8,73.8,Paraguay,Caucasian,73,Left,Excellent,Good,High/Medium,LCM,71.89,71.52,70.47,69.86,77.43,81.22,78.53,74.13,66.79,12,12,15,13,12,14,11,14,13,15,65.48,65.78,64.53
377,377,A. Grünwald,30,187.6,84.4,Austria,Caucasian,73,,Average,Good,Medium/Medium,LCM,74.38,71.74,70.39,65.89,63.83,64.98,66.48,68.75,73.98,14,13,16,16,14,13,12,13,15,14,55.29,53.6,51.5
378,378,,28,182.4,77.7,Norway,Caucasian,73,Left,Good,Good,High/High,LCM,72.05,69.82,72.44,75.75,66.0,70.07,75.02,70.82,72.82,14,13,16,13,14,16,13,13,14,15,70.77,68.04,63.65
379,379,N. Cardozo,32,172.7,65.5,Argentina,Caucasian,73,Right,Good,Good,High/High,RCM,69.33,69.41,73.54,72.07,81.15,70.77,83.64,70.49,73.04,13,13,16,14,14,14,11,14,15,14,69.4,63.48,63.97
380,380,P. Žulj,26,185.1,79.8,Austria,Caucasian,73,Left,Good,Excellent,High/Medium,CDM,75.08,74.38,74.88,75.94,56.18,56.68,59.96,60.57,56.72,15,9,12,15,14,9,13,14,14,14,63.57,65.87,61.94
381,381,R. Martínez,36,184.0,80.8,Argentina,Caucasian,73,Right,Good,Good,Medium/Medium,RCM,76.79,69.82,71.28,73.32,56.73,49.91,70.23,71.58,53.74,15,13,13,14,15,14,11,14,15,14,49.99,69.77,52.99
382,382,M. Abeid,26,178.2,77.3,Algeria,Middle-eastern,73,Right,Good,Good,Medium/Medium,CM,75.83,76.9,73.83,75.39,56.33,61.67,67.1,70.56,71.72,15,11,14,15,14,15,13,13,13,15,69.64,68.57,62.63
383,383,André Horta,22,175.5,62.2,Portugal,Caucasian,73,Right,Good,Good,High/Medium,LCM,77.18,75.72,75.06,73.78,69.71,71.44,89.39,72.48,79.36,15,13,14,12,12,14,12,13,14,14,65.68,67.37,56.67
384,384,M. Klich,29,183.4,82.2,Poland,Caucasian,73,Right,Good,Good,High/Medium,RCM,74.99,70.03,72.39,75.32,59.64,58.96,66.76,67.64,73.98,14,12,15,14,14,12,12,14,14,15,51.91,62.93,44.56
