,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_penalties,mentality_composure
114,114,M. Diagne,27,190.9,86.2,,,78,Right,Excellent,Good,Medium/Low,ST,80.61,85.44,65.46,68.42,60.04,66.67,48.17,74.48,66.16,64.54,39.35,75.75,29.54,16,10,14,17,14,14,14
115,115,N. Petersen,30,188.2,82.4,Germany,Caucasian,78,Right,Excellent,Good,High/High,LS,81.91,82.22,65.11,82.92,63.21,57.45,44.59,70.05,56.48,61.11,63.33,82.86,56.81,15,13,16,15,14,15,16
116,116,,31,194.0,91.9,Germany,Caucasian,78,Right,Excellent,Good,High/Low,RS,83.12,86.22,63.44,75.53,61.85,51.06,53.77,73.73,52.96,62.5,54.29,77.8,40.28,16,12,13,18,13,13,14
117,117,M. Suárez,31,183.4,75.3,Argentina,Caucasian,77,Right,Excellent,Excellent,High/Medium,RS,77.26,64.87,73.32,75.44,80.77,72.26,69.52,82.07,69.82,70.31,79.06,79.37,72.84,16,14,12,14,15,14,16
118,118,L. Rodríguez,34,168.1,70.6,Argentina,Caucasian,77,Right,Excellent,Excellent,High/Low,ST,80.2,64.67,73.32,72.73,78.43,79.2,72.82,82.37,68.63,65.77,74.57,79.12,86.02,16,15,11,13,15,15,16
119,119,B. Fernández,24,175.0,70.3,,,77,Right,Excellent,Good,High/Medium,ST,78.38,65.91,76.33,63.97,77.22,72.54,64.88,76.25,90.14,87.02,90.04,74.2,85.91,16,16,14,12,14,12,14
120,120,Lucas Pérez,30,179.9,73.4,Spain,Caucasian,77,Left,Excellent,Excellent,Medium/Medium,RS,76.78,67.57,75.28,78.47,78.4,82.2,76.71,78.79,69.82,70.58,70.03,76.81,72.73,16,12,13,13,15,15,15
121,121,T. Pukki,29,180.2,80.4,Finland,Black,77,Right,Good,Good,High/Medium,ST,81.31,61.67,71.43,67.9,72.65,52.61,40.39,75.52,78.34,89.99,76.85,81.06,71.92,15,15,15,13,12,13,14
122,122,A. Petagna,24,189.6,85.4,Italy,Caucasian,77,Left,Good,Good,Medium/Medium,LS,77.24,76.76,75.58,65.97,77.28,59.43,45.31,80.19,55.13,67.86,56.86,78.19,71.42,16,14,15,18,12,15,14
123,123,Sergio León,30,177.9,73.5,Spain,Caucasian,77,Right,Excellent,Good,High/Medium,ST,79.44,71.11,71.61,79.83,78.71,73.01,63.83,76.5,69.82,77.18,77.77,75.82,73.0,16,14,14,13,15,14,15
124,124,Sergi Guardiola,28,183.9,76.5,Spain,Caucasian,77,Left,Good,Good,High/Medium,RS,78.27,70.04,75.75,68.42,76.85,73.26,42.85,78.94,74.65,76.7,80.36,74.27,72.0,15,14,14,16,15,13,14
125,125,G. Bou,29,178.0,80.0,Argentina,Caucasian,77,Right,Excellent,Excellent,Medium/Low,ST,76.64,74.29,71.34,69.71,77.49,65.85,70.52,76.75,78.37,78.08,73.51,73.55,75.29,16,15,15,15,14,14,15
126,126,K. Lasagna,26,186.1,80.2,Italy,Caucasian,77,Left,Good,Good,,RS,77.98,72.34,65.68,73.82,76.15,65.81,41.91,78.76,90.28,89.99,80.36,76.48,72.35,14,15,13,13,13,13,14
127,127,N. Vlaši?,21,178.1,79.1,Croatia,Caucasian,77,Right,Excellent,Good,Medium/Medium,LF,77.53,64.67,75.93,65.6,82.79,73.26,57.78,76.4,76.69,80.22,78.37,73.28,77.91,14,11,14,13,13,13,15
128,128,I. Bebou,25,183.4,72.2,Togo,Black,77,Right,Good,Excellent,Medium/Medium,RS,73.81,55.5,73.17,62.99,82.97,62.62,45.79,78.15,90.54,94.81,83.07,73.49,75.14,13,13,15,12,12,13,13
129,129,N. Redmond,25,172.6,68.7,England,Black,77,Right,Good,Excellent,High/Medium,LS,69.14,32.88,72.85,55.46,81.64,69.26,64.65,78.63,87.41,81.73,89.66,69.22,88.09,16,8,14,10,15,11,13
130,130,G. Simeone,23,179.8,80.6,Argentina,Caucasian,77,Right,Good,Good,High/High,ST,78.5,79.43,68.19,72.17,77.49,68.54,60.09,76.12,77.84,75.82,75.19,76.49,74.0,15,16,14,14,13,14,15
131,131,R. Funes Mori,28,183.5,80.6,Argentina,Caucasian,77,Right,Excellent,Good,High/Medium,ST,77.65,77.31,70.13,71.65,74.64,74.64,58.04,72.4,77.7,75.27,75.43,76.49,72.3,14,15,15,15,13,14,14
132,132,D. Calvert-Lewin,22,186.8,71.5,England,Caucasian,77,Right,Good,Good,High/Medium,ST,77.64,80.84,69.72,65.37,76.42,74.64,54.04,76.34,82.38,86.02,71.68,75.04,64.19,15,17,16,16,12,14,13
133,133,Alex Berenguer,23,174.8,72.6,Spain,Caucasian,77,Right,Good,Good,Medium/Medium,LF,67.08,48.78,77.19,68.42,79.38,72.19,53.72,79.31,85.8,74.23,88.42,73.65,79.6,14,12,15,11,13,13,13
134,134,M. Ga?inovi?,24,175.0,66.1,Serbia,Caucasian,77,Right,Good,Excellent,Medium/Medium,RF,68.27,47.33,76.03,63.5,82.4,59.88,51.23,79.25,76.36,76.61,88.42,76.5,79.39,13,12,15,10,14,12,13
135,135,V. Ibiševi?,34,188.2,83.4,Bosnia Herzegovina,Caucasian,77,,Good,Good,Medium/Low,ST,79.85,78.64,76.53,83.93,72.23,72.55,55.79,74.48,39.65,41.19,59.96,82.92,61.62,16,14,10,15,13,16,15
136,136,G. Burgstaller,30,187.2,80.0,Austria,Caucasian,77,Right,Masterful,Good,High/High,ST,77.57,74.12,72.69,74.13,73.55,61.87,41.9,72.26,64.74,68.5,63.86,80.25,63.34,15,13,18,16,14,12,15
137,137,Johnathan,29,184.0,75.2,Brazil,Black,77,Right,Masterful,Excellent,High/Low,LS,77.9,78.41,67.77,69.63,74.86,72.22,57.46,73.55,79.93,78.87,75.11,76.49,66.09,15,16,17,15,15,11,13
138,138,Jô,32,192.2,78.3,Brazil,Caucasian,77,Left,Good,Good,Medium/Low,LS,78.08,79.69,66.54,73.96,72.63,61.82,66.17,75.55,74.17,70.85,67.35,73.33,50.76,15,13,13,17,13,14,16
139,139,F. Ferreyra,28,186.2,75.6,Argentina,Caucasian,77,Right,Good,Good,Medium/Low,RS,79.87,82.14,67.39,70.1,73.55,47.75,42.19,76.15,64.48,66.09,75.32,75.42,67.48,15,13,13,14,13,14,15
140,140,Formosandrinho,27,177.8,72.4,Brazil,Caucasian,77,Right,Good,Good,Medium/Medium,LS,76.1,76.53,64.61,68.42,71.86,60.96,55.22,72.96,81.14,81.13,85.09,72.94,77.25,17,11,12,14,15,11,15
141,141,G. Pellè,33,192.9,100.6,Italy,Caucasian,77,Right,Excellent,Good,High/Low,ST,76.61,89.94,73.79,79.1,63.09,56.09,40.07,73.79,40.39,53.62,31.98,76.25,36.98,16,15,15,18,13,15,15
142,142,C. Wood,27,189.1,91.7,New Zealand,Caucasian,77,Right,Good,Average,High/Medium,RS,77.64,82.75,65.21,69.14,65.53,55.87,63.93,74.11,64.53,73.81,59.99,74.62,60.84,16,15,14,17,14,16,15
143,143,Alan Kardec,30,186.8,72.3,Brazil,Caucasian,77,Right,Good,Good,Medium/Low,ST,77.59,81.56,66.9,66.7,70.33,55.87,69.16,73.21,74.17,71.78,68.29,75.0,63.41,15,16,15,15,14,13,13
144,144,G. Murray,35,182.6,80.2,England,Caucasian,77,Right,Good,Average,Low/Medium,ST,79.87,84.91,69.18,76.31,64.64,72.55,33.24,73.73,32.48,29.88,51.93,84.23,66.5,15,16,10,15,12,16,16
145,145,A. Schürrle,28,182.6,70.6,Germany,Caucasian,76,Right,Excellent,Good,Medium/Medium,ST,75.34,63.21,75.16,81.27,79.1,80.44,69.83,77.96,75.63,75.49,73.76,75.15,74.15,16,13,14,13,16,15,15
146,146,J. Campbell,27,178.1,77.6,Costa Rica,Caucasian,76,Left,Average,Excellent,Medium/Medium,CF,73.3,54.92,76.57,67.78,77.87,72.29,68.96,77.54,87.78,88.33,84.15,74.41,74.91,16,15,13,15,14,14,14
147,147,Y. ?sako,29,182.1,71.1,Japan,Asian,76,Right,Excellent,Good,Medium/Medium,CF,73.14,74.33,70.13,73.15,78.33,71.45,53.16,76.97,75.23,74.54,76.83,78.08,76.89,14,16,14,12,13,13,15
148,148,D. Malen,20,178.7,77.7,Netherlands,Caucasian,76,Right,Good,Excellent,Medium/Medium,ST,77.7,67.28,68.52,72.24,80.65,63.11,56.71,77.69,92.15,89.53,81.8,72.16,76.18,15,14,15,14,13,12,13
149,149,F. Chalov,21,180.1,76.7,,,76,Right,Excellent,Good,High/Low,ST,79.36,67.07,72.56,71.96,74.08,55.92,38.01,76.64,79.19,81.28,74.58,77.22,72.67,14,12,15,13,12,14,16
150,150,Y. Kobayashi,31,177.1,72.0,Japan,Asian,76,Right,Excellent,Good,High/Medium,ST,75.83,71.96,68.27,67.48,75.73,57.38,56.4,74.71,81.98,80.78,85.09,75.5,67.35,15,12,16,13,14,14,12
151,151,L. Waldschmidt,23,180.5,74.1,Germany,Caucasian,76,Left,Good,Good,Medium/Medium,RS,78.35,49.04,74.64,66.75,74.62,69.41,63.49,72.99,77.1,75.85,79.77,73.57,74.78,16,12,13,12,16,15,12
152,152,João Pedro,27,183.9,73.4,Brazil,Caucasian,76,Right,Excellent,Excellent,High/Medium,LS,75.08,60.59,77.44,72.1,74.7,69.77,57.43,76.55,75.63,72.41,70.59,76.23,61.03,15,14,14,12,14,14,14
153,153,F. Kamano,23,174.8,76.6,Guinea,Black,76,Right,Excellent,Excellent,,RF,75.87,49.04,70.94,66.54,79.27,71.12,68.02,75.09,87.87,85.9,78.8,74.41,75.64,14,11,14,11,15,13,14
154,154,Soldado,34,179.5,73.6,Spain,Caucasian,76,Right,Excellent,Good,High/Low,ST,79.19,76.72,78.27,80.5,72.11,70.25,65.95,76.07,55.58,58.24,64.53,73.51,62.76,15,15,11,14,14,15,15
155,155,O. Toivonen,32,192.2,78.4,Sweden,Caucasian,76,Right,Excellent,Good,Medium/Low,ST,79.38,77.59,76.77,74.13,72.11,75.58,78.89,76.24,50.27,49.86,63.88,73.54,60.3,15,11,14,15,15,14,16
156,156,N. Jørgensen,28,190.3,82.8,Denmark,Caucasian,76,Right,Good,Good,High/Medium,ST,77.27,74.2,73.68,72.46,71.66,68.95,61.53,77.37,71.87,70.12,65.37,76.23,56.51,16,13,14,16,14,13,16
157,157,D. Ings,26,178.3,72.8,England,Caucasian,76,Right,Good,Good,High/High,RS,76.23,75.02,68.92,66.03,77.5,56.66,35.71,75.71,75.99,74.51,73.73,74.0,77.16,14,15,13,13,13,15,14
158,158,R. Ruidíaz,28,168.5,65.7,Peru,Caucasian,76,Right,Excellent,Excellent,High/Medium,ST,79.53,74.16,66.19,70.94,76.48,65.8,69.17,74.02,76.41,80.78,80.68,69.59,79.18,15,15,15,10,14,14,15
159,159,F. Klaus,26,180.1,79.1,Germany,Caucasian,76,Right,Good,Good,Medium/Medium,RF,73.38,45.34,73.98,60.14,79.73,69.28,68.85,76.19,83.08,78.7,75.13,75.35,77.26,15,13,15,13,13,12,13
160,160,J. Córdoba,26,188.0,85.0,Colombia,Black,76,Right,Good,Good,High/High,RS,72.66,71.26,66.82,73.16,73.51,59.82,53.59,72.31,76.91,85.8,66.21,75.47,70.18,17,15,14,17,13,13,15
161,161,J. Briand,33,180.7,84.0,France,Black,76,Right,Good,Good,High/Medium,ST,77.6,75.95,76.65,74.55,71.66,66.56,65.57,68.89,64.16,66.83,70.8,74.08,66.08,15,15,13,14,14,14,15
162,162,Dênildo Stein,31,179.6,70.5,Brazil,Black,76,Left,Good,Good,High/Medium,ST,78.32,77.32,61.7,76.73,75.97,61.67,62.63,75.3,71.87,77.67,62.4,79.39,56.08,15,11,12,13,14,12,13
163,163,I. Pussetto,23,180.4,73.7,Argentina,Caucasian,76,Right,Excellent,Good,High/Medium,LS,77.64,66.53,67.89,64.29,80.44,43.27,42.36,77.07,82.45,77.87,75.92,67.6,66.37,14,14,15,14,13,13,13
164,164,Y. En-Nesyri,22,192.1,78.4,Morocco,Black,76,Left,Excellent,Good,High/High,LS,76.77,79.53,62.99,69.8,79.03,62.53,46.96,72.84,73.52,75.62,65.86,73.68,50.3,15,16,14,14,13,13,11
165,165,T. Abraham,21,195.5,80.0,England,Black,76,,Good,Good,Medium/Medium,ST,78.41,77.35,65.17,64.44,68.17,49.71,42.36,74.16,67.78,78.04,63.38,74.24,50.3,15,14,13,15,13,14,14
166,166,J. Martínez,32,185.4,80.1,Colombia,Black,76,Right,Excellent,Good,Medium/Medium,ST,74.06,82.05,66.51,74.73,70.8,69.9,45.71,75.37,65.73,66.83,67.53,73.68,58.28,16,15,12,16,13,14,14
167,167,J. Altidore,29,182.9,79.1,United States,Black,76,Right,Excellent,Good,Medium/Low,ST,79.69,75.25,67.32,69.6,69.75,66.56,72.91,70.78,66.57,71.86,64.03,68.84,56.65,16,13,12,18,13,15,13
168,168,J. Sand,38,184.8,82.0,Argentina,Caucasian,76,Right,Excellent,Good,High/Low,ST,80.51,78.82,68.59,76.88,64.65,60.59,65.16,75.14,49.6,47.76,41.51,81.17,28.56,15,14,12,16,14,16,17
169,169,Luiz Phellype,25,187.7,83.2,Brazil,Caucasian,76,Right,Good,Good,Medium/High,ST,75.63,77.26,62.77,74.98,69.71,67.21,68.17,73.54,49.6,58.35,57.01,76.97,46.27,17,13,14,17,15,15,15
170,170,M. Gómez,33,189.3,89.4,Germany,Caucasian,76,Right,Excellent,Good,Medium/Medium,RS,75.51,77.88,66.98,73.15,68.65,65.53,36.21,69.47,54.5,59.76,56.26,76.25,46.79,16,14,10,17,13,13,15
171,171,R. Inglese,27,186.3,84.6,Italy,Caucasian,76,Right,Good,Good,Medium/Medium,ST,77.77,89.96,64.98,69.6,68.37,68.1,36.26,75.66,48.9,59.76,54.03,71.52,55.04,15,16,12,17,13,14,14
172,172,M. Thuram,21,192.3,87.2,France,Caucasian,75,Right,Good,Good,High/Low,RS,73.35,77.35,73.96,66.2,81.04,55.73,30.04,76.2,81.38,83.7,69.33,69.97,54.39,15,13,14,17,14,12,13
173,173,R. Quaison,25,183.4,77.3,Sweden,Caucasian,75,Right,Good,Good,,LS,74.4,56.32,73.21,71.85,79.95,64.46,55.84,78.48,77.25,76.98,74.44,75.44,74.78,14,11,15,14,14,11,14
174,174,Caio,28,178.2,67.8,Brazil,Caucasian,75,Right,Excellent,Good,High/Medium,RS,76.08,73.27,69.0,76.44,78.31,68.44,58.09,75.01,80.74,82.88,79.53,75.47,74.62,14,14,14,12,14,15,15
175,175,H. Rodallega,33,180.9,71.7,Colombia,Black,75,Right,Good,Good,High/Low,ST,74.97,74.5,68.58,71.61,75.94,71.33,69.54,74.38,75.2,74.54,75.65,72.91,74.3,14,17,15,14,14,13,14
176,176,C. Kouamé,21,185.2,70.1,Ivory Coast,Black,75,Right,Excellent,Good,High/Medium,RS,77.82,68.76,68.33,58.41,77.14,51.85,44.62,74.6,82.8,84.03,73.88,67.6,64.81,14,18,13,15,11,12,13
177,177,,34,183.4,73.5,Senegal,Black,75,Right,Excellent,Good,Medium/Low,ST,78.57,70.05,71.78,74.43,72.61,74.78,59.4,75.56,76.24,49.24,77.39,77.31,70.72,15,14,13,14,15,14,14
178,178,F. Jara,30,180.3,77.4,Argentina,Caucasian,75,Right,Good,Good,Medium/Medium,ST,75.84,72.4,72.21,79.1,75.09,69.98,49.67,75.91,75.84,78.21,66.74,68.03,63.27,15,13,14,13,14,14,14
179,179,K. Onisiwo,27,187.6,85.3,Austria,Caucasian,75,Right,Good,Good,,RS,73.62,65.86,69.19,68.94,77.77,69.11,56.12,75.42,76.29,79.15,66.74,73.93,63.93,15,11,14,15,12,8,14
180,180,M. Braithwaite,28,180.8,73.3,Denmark,Caucasian,75,Right,Excellent,Excellent,Medium/High,RS,74.78,65.64,70.79,74.29,75.94,70.88,75.24,77.38,74.45,74.78,79.97,72.1,72.14,15,16,15,15,14,14,15
181,181,Sandro,23,174.9,71.5,Spain,Caucasian,75,Right,Excellent,Good,High/Medium,LS,72.7,62.13,67.88,73.91,79.42,80.53,77.19,80.87,71.85,64.57,77.77,72.93,76.49,16,13,12,13,15,13,13
182,182,F. Caputo,31,180.7,73.8,Italy,Caucasian,75,Right,Excellent,Good,High/Low,ST,78.89,71.68,65.06,74.0,72.37,57.96,53.85,70.07,83.17,84.83,82.93,70.3,74.22,15,16,13,14,14,15,12
183,183,E. Ávila,25,171.5,81.5,,,75,Left,Excellent,Good,High/High,ST,76.02,67.04,67.94,78.49,72.94,58.4,56.64,74.14,76.03,79.04,74.21,72.25,87.59,15,12,13,15,15,14,13
184,184,A. Morelos,23,177.5,78.7,Colombia,Black,75,Right,Excellent,Good,High/Medium,ST,73.89,72.84,66.55,47.71,73.97,65.45,25.99,71.66,81.02,80.12,61.08,66.69,81.49,15,15,14,17,12,12,14
185,185,Nicholas Aldair,27,187.1,80.8,Brazil,Caucasian,75,,Good,Good,Medium/Medium,RS,74.85,72.13,74.49,74.26,72.17,62.94,59.12,75.14,59.47,77.31,62.96,71.9,63.27,15,13,16,15,14,14,16
186,186,D. Bessa,26,178.4,74.5,,,75,Right,Excellent,Excellent,Medium/Low,LF,64.15,49.75,74.58,63.64,77.28,69.92,69.17,77.98,71.61,55.04,81.89,72.07,81.03,15,10,11,9,15,11,14
187,187,A. Prijovi?,29,190.5,88.0,Serbia,Caucasian,75,Right,Good,Good,High/Low,ST,75.91,77.36,63.96,62.4,70.3,51.74,43.4,75.01,71.77,68.47,54.65,74.47,47.65,14,14,15,17,13,13,15
188,188,L. Tawamba,29,188.9,95.2,Cameroon,Black,75,Right,Good,Good,Medium/Low,ST,79.69,75.14,61.86,64.67,67.84,41.23,35.46,74.54,68.38,80.15,62.6,69.58,60.48,14,16,14,17,13,15,15
189,189,G. Charbonnier,30,188.3,80.4,France,Caucasian,75,Right,Good,Good,High/Medium,LS,77.68,79.58,71.44,66.2,75.39,59.61,58.6,76.39,40.41,51.43,67.53,76.42,58.61,14,12,14,17,13,14,15
190,190,A. Paloschi,29,182.1,80.2,Italy,Caucasian,75,,Excellent,Good,High/Low,RS,77.12,76.23,67.87,75.44,68.55,69.63,46.65,74.16,73.78,64.07,76.09,74.18,60.49,14,18,13,14,8,16,16
191,191,M. Krmen?ík,26,190.1,91.6,Czech Republic,Caucasian,75,Right,Excellent,Good,High/Medium,ST,77.5,76.12,66.0,66.7,72.32,56.41,52.51,72.87,74.85,76.03,69.88,66.44,56.85,13,11,12,16,13,13,13
192,192,Borja Bastón,26,186.1,82.6,Spain,Caucasian,75,Right,Excellent,Good,Medium/Low,ST,76.34,76.5,68.62,76.44,65.94,67.71,46.32,74.16,42.05,58.36,60.8,75.01,34.8,16,11,13,17,15,14,14
193,193,J. Furch,29,187.5,87.9,Argentina,Caucasian,75,Right,Good,Good,Medium/Low,LS,77.4,79.58,68.71,66.25,64.51,59.72,47.75,72.25,48.06,62.69,54.3,74.48,51.03,15,15,15,17,13,12,15
194,194,Fran Sol,27,181.2,76.7,Spain,Caucasian,75,Right,Good,Good,Medium/Low,ST,80.33,77.85,68.27,69.15,63.26,61.15,61.72,70.25,66.55,67.79,67.84,76.01,65.44,15,16,13,14,14,14,13
195,195,V. Muriqi,25,194.4,86.4,Kosovo,Black,75,Left,Good,Good,Medium/Medium,ST,77.18,75.57,63.89,61.02,67.52,57.6,29.69,75.16,49.4,69.29,48.05,74.43,37.16,15,10,14,18,13,13,11
196,196,C. Benteke,28,190.0,83.4,Belgium,Caucasian,75,,Good,Average,Medium/Low,RS,73.94,85.11,63.95,66.51,62.62,60.44,64.19,74.16,54.68,61.18,60.75,66.82,65.44,16,16,10,17,13,14,13
197,197,R. Nuzzolo,35,175.3,72.5,Switzerland,Caucasian,74,Left,Excellent,Good,Medium/Medium,LS,76.4,57.81,75.12,63.94,73.64,74.09,78.25,76.04,74.84,70.57,79.97,65.99,70.89,15,14,15,14,15,13,12
198,198,F. Pardo,28,177.7,80.4,Colombia,Black,74,Right,Excellent,Good,High/Medium,LS,74.9,57.81,69.66,71.05,73.69,79.3,66.18,74.11,82.58,79.92,74.98,65.31,71.63,16,13,14,16,14,13,14
199,199,B. Petkovi?,24,192.8,88.0,Croatia,Caucasian,74,Right,Excellent,Excellent,High/Medium,ST,72.54,72.68,81.45,77.05,72.32,69.51,74.41,81.98,65.36,67.83,70.92,65.06,33.56,15,13,13,18,12,16,15
200,200,M. Alustiza,35,165.0,69.2,Argentina,Caucasian,74,Left,Excellent,Excellent,High/Medium,LS,78.37,74.5,72.42,74.66,73.6,67.05,70.14,74.52,73.73,66.39,73.71,76.01,73.83,15,16,11,12,14,16,14
201,201,Nuno da Costa,28,182.4,70.4,Cape Verde,Black,74,Right,Good,Good,High/High,RS,74.48,74.07,72.28,63.94,76.32,52.3,45.54,78.19,77.37,78.36,69.88,67.59,73.92,14,16,13,12,13,13,12
202,202,B. Fornaroli,31,174.7,67.7,Uruguay,Caucasian,74,Right,Excellent,Excellent,High/Low,RS,76.98,65.26,67.99,66.89,75.59,73.25,70.16,76.29,76.58,79.92,77.02,70.66,78.54,14,14,15,15,13,14,15
203,203,N. De Préville,28,177.3,77.2,France,Middle-eastern,74,Right,Good,Good,High/Medium,LF,71.14,69.16,67.99,73.9,75.06,72.77,72.96,74.72,76.74,75.83,78.84,72.37,74.31,15,13,13,12,14,14,14
204,204,João Victor,25,177.6,72.1,Brazil,Caucasian,74,Left,Masterful,Excellent,Medium/Medium,LF,75.51,53.71,69.42,57.52,72.88,68.69,34.2,74.29,89.05,88.07,79.99,69.75,73.54,14,6,15,12,13,14,14
205,205,O. Peralta,35,178.0,72.3,Mexico,Caucasian,74,Right,Excellent,Good,High/Low,RS,72.31,74.47,68.27,72.46,72.32,66.01,55.81,72.21,68.4,68.42,75.93,74.96,60.49,14,16,13,15,13,14,15
206,206,C. Bassogog,23,173.4,72.2,Cameroon,Black,74,Left,Average,Excellent,High/Medium,RS,73.6,62.03,63.94,65.42,78.9,76.32,70.16,72.22,87.85,89.83,81.57,73.5,83.65,15,14,15,14,12,13,12
207,207,R. Martínez,25,179.6,86.2,Colombia,Black,74,Right,Excellent,Good,High/Medium,ST,70.05,67.02,68.36,63.71,75.36,63.05,27.3,75.8,77.74,81.72,77.33,69.93,66.06,16,16,13,16,14,13,13
208,208,F. González,32,178.2,77.7,Argentina,Caucasian,74,,Good,Good,High/Low,ST,78.65,66.66,68.64,64.61,75.26,58.97,35.13,81.98,72.5,69.45,73.01,66.44,66.06,14,15,15,15,14,13,14
209,209,S. Romero,30,176.6,75.5,Argentina,Caucasian,74,Right,Good,Good,High/Low,ST,74.74,69.28,72.17,73.14,72.32,71.54,44.85,73.62,71.74,64.54,76.86,69.43,70.7,15,12,14,14,13,15,12
210,210,Camilo,30,168.5,72.2,Brazil,Caucasian,74,Right,Excellent,Excellent,High/Low,RS,73.05,68.36,64.82,75.59,76.83,73.39,79.24,75.21,77.49,78.07,81.32,72.37,74.55,15,15,14,13,14,14,14
211,211,D. Saba,26,168.1,59.7,Israel,Middle-eastern,74,Left,Excellent,Good,High/Low,ST,64.74,45.51,71.59,65.5,72.88,70.15,41.34,72.75,90.75,84.68,89.52,69.15,90.03,14,13,14,11,13,12,14
212,212,V. Osimhen,20,185.4,78.3,Nigeria,Black,74,Right,Excellent,Good,High/High,ST,75.46,74.98,66.26,66.23,68.19,58.64,27.3,71.13,77.9,89.55,73.85,67.87,67.96,14,16,15,15,14,13,13
213,213,A. Chávez,28,184.2,79.8,Argentina,Caucasian,74,Left,Average,Good,High/Medium,ST,70.97,71.28,61.37,76.24,73.23,67.95,66.43,67.34,72.82,76.57,63.92,69.17,65.76,16,17,15,16,16,13,15
214,214,Diego Oliveira,29,179.0,78.1,Brazil,Black,74,Right,Masterful,Good,High/Low,RS,74.23,71.28,67.75,60.07,70.76,57.69,60.48,73.46,70.94,79.17,58.32,70.08,69.28,15,13,15,16,13,14,14
215,215,Erick Gameira,27,180.1,75.5,Brazil,Caucasian,74,Right,Good,Good,High/Low,ST,73.54,72.9,60.94,76.23,72.99,55.08,55.83,71.17,82.25,83.05,81.49,67.59,76.76,14,11,11,13,14,14,15
216,216,L. Griffiths,28,174.2,77.3,Scotland,Caucasian,74,Left,Good,Good,High/Medium,ST,80.04,67.92,65.67,60.91,71.02,73.39,84.76,69.14,80.07,78.24,78.12,71.65,76.3,16,18,14,13,14,13,13
217,217,S. Arfield,30,178.8,79.8,,,74,Right,Good,Good,High/High,LF,70.2,58.76,74.58,60.69,72.82,71.7,59.0,74.38,65.55,67.47,68.96,71.75,80.44,14,13,16,14,13,11,16
218,218,M. Diop,31,189.6,85.3,Senegal,Black,74,,Good,Good,Medium/Low,ST,75.67,79.0,64.76,66.06,72.7,51.93,58.08,81.98,67.52,73.65,68.12,72.22,69.28,14,16,15,17,13,13,13
219,219,K. Kamara,34,187.8,75.0,Sierra Leone,Black,74,Right,Good,Good,Medium/Low,ST,72.55,80.22,65.64,68.32,72.32,59.58,42.46,68.81,71.91,73.69,71.43,73.38,64.82,15,18,15,15,12,14,14
220,220,L. Cavallini,26,181.6,89.5,Canada,Black,74,Left,Excellent,Good,High/Low,RS,75.86,76.4,59.96,59.36,75.16,44.04,52.14,70.25,67.52,76.01,61.82,66.24,66.73,15,15,14,17,13,14,13
221,221,L. Hinterseer,28,192.2,85.6,Austria,Caucasian,74,Right,Good,Good,Medium/Medium,ST,76.88,74.56,70.93,63.94,67.76,65.03,43.93,71.58,64.57,60.94,62.59,72.42,65.37,14,13,14,16,13,13,14
222,222,Joselu,29,191.6,79.8,Spain,Caucasian,74,Right,Good,Good,Medium/Medium,LS,73.18,78.65,69.63,72.1,69.52,72.64,64.83,72.61,54.79,53.21,61.41,72.47,47.91,15,13,11,15,13,14,12
223,223,S. Bahoken,27,185.1,88.1,Cameroon,Black,74,Right,Good,Good,Medium/Medium,ST,77.25,70.6,67.55,59.1,70.93,47.1,42.51,69.79,79.06,81.83,76.49,69.47,72.88,14,13,14,15,12,12,12
224,224,D. Kreilach,30,184.8,77.9,Croatia,Caucasian,74,Right,Good,Good,High/Medium,ST,69.84,72.43,72.97,56.41,69.52,67.64,75.74,70.92,54.26,47.94,64.13,79.2,62.04,15,17,18,16,15,12,14
225,225,F. Klos,31,193.7,93.3,Germany,Caucasian,74,Right,Excellent,Average,,ST,77.18,82.04,61.14,71.99,64.47,40.71,45.29,65.62,59.76,66.44,45.72,69.85,43.0,15,12,15,18,13,14,15
226,226,J. Nsame,26,188.4,88.2,Cameroon,Black,74,Right,Excellent,Good,Medium/Medium,RS,75.53,75.95,60.04,71.33,70.68,46.07,52.14,73.21,77.7,77.2,69.69,61.35,51.82,15,14,14,16,13,14,13
227,227,Jadson Vidigal,27,174.7,69.9,Brazil,Caucasian,74,Right,Good,Average,Medium/Medium,ST,73.61,70.38,67.17,76.11,62.24,54.69,53.16,61.22,80.82,73.69,69.35,74.98,67.5,16,14,12,15,15,15,13
228,228,R. Hennings,31,180.2,80.3,Germany,Caucasian,74,Left,Good,Good,High/High,ST,75.32,72.0,64.7,71.42,65.76,67.94,66.56,69.96,64.18,65.58,61.25,73.21,67.24,16,14,15,15,15,14,13
229,229,Hélton Celanova,27,180.3,92.2,Brazil,Caucasian,74,Left,Good,Good,Medium/Low,ST,73.07,76.08,71.46,76.75,63.4,62.66,52.39,73.04,52.89,55.88,66.84,67.49,57.55,17,12,12,17,14,15,14
