,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
5978,E. Flores,25,170.5,67.5,Peru,Caucasian,69,Left,Excellent,Excellent,Medium/High,LM,69.12,63.84,-34.09,64.6,63.52,74.07,65.23,59.13,61.09,72.22,73.87,77.09,88.04,52.14,83.13,11,17,14,11,13,5,6,14,12,12,12,-37.91,41.68,25.27
5979,Lincoln,20,178.2,69.6,Brazil,Caucasian,69,,Good,Good,High/Medium,SUB,-58.5,52.33,49.95,65.22,65.85,72.72,71.58,59.71,67.17,-71.65,81.81,79.79,85.46,68.11,-74.26,12,12,12,10,11,10,5,12,13,14,14,23.07,31.96,33.44
5980,L. Morosini,23,174.8,69.7,Italy,Caucasian,69,Right,Good,Good,Medium/Medium,SUB,61.65,60.82,40.78,70.24,46.27,-71.3,60.16,58.35,64.19,72.68,76.81,79.32,71.4,61.93,70.89,13,11,14,12,10,9,5,12,14,11,14,32.95,25.75,21.42
5981,D. Mili?evi?,33,172.3,62.9,Bosnia Herzegovina,Caucasian,69,Right,Excellent,Good,Medium/Low,SUB,77,65.52,40.59,68.86,72.49,66.8,78.42,76.86,70.83,70.32,61.65,48.01,70.41,-60.34,78.36,14,12,10,7,14,7,9,13,14,13,15,31.01,31.56,35.54
5982,H. Boussefiane,21,176.3,65,Morocco,Black,69,Right,Good,Excellent,High/Low,SUB,67.46,-61.45,42.31,58.66,54.16,75.48,-66.01,48.19,42.16,70.64,86.56,86.24,81.42,60.55,74.33,12,9,12,8,11,7,6,13,12,11,10,30.45,31.76,30.06
5983,R. Zekhnini,21,179.2,62.7,Norway,Caucasian,69,Right,Excellent,Good,High/Medium,SUB,64.17,62.68,32.94,59.68,50.25,71.63,56.63,38.4,35.93,68.68,-88.52,91.02,86.51,60.22,76.34,13,9,13,8,10,8,6,12,12,10,13,41.85,27.14,31.33
5984,R. Neudecker,22,174.5,71.9,Germany,Caucasian,69,Left,Good,Good,Medium/Medium,LCM,64.68,54.06,37.53,66.54,60.78,70.45,66.45,59.1,64.77,73.01,79.31,72.11,89.01,67.87,84.24,13,13,14,7,12,10,10,12,12,7,12,48.1,48.08,54.62
5985,,19,174.7,66.3,Portugal,Caucasian,69,Right,Good,Good,Medium/Medium,SUB,54.18,60.48,33.91,68.96,53.88,71.18,63.08,50.16,61.14,71.51,75.23,70.3,76.83,62.59,83.01,13,10,12,8,13,10,9,12,12,9,12,41.26,46.61,43.53
5986,J. Williams,25,167.5,60,Wales,Caucasian,69,Right,Good,Good,High/Medium,LM,66.24,59.3,39.05,66.39,-51.14,74.39,47.03,43.26,63.39,74.33,74.43,60.97,-88.37,62.94,89.14,12,11,12,10,12,11,7,13,13,12,13,48.42,-35.76,35.18
5987,J. Kouffaty,26,168.7,70.7,Venezuela,Black,69,Right,Good,Good,High/Medium,RM,69.14,60.64,39.93,72.1,39.36,71.97,40.41,47.88,60.72,73.4,74.06,67.09,79.57,60.36,86.95,10,11,10,14,8,8,8,13,14,10,10,35.37,33.79,36.7
5988,S. Bolbat,26,174.9,65.7,Ukraine,Caucasian,69,Right,Good,Good,,RB,64.33,59.96,35.87,65.6,50.78,71.79,49.3,70.38,59.82,68.74,78.24,72.99,75.21,60.47,75.68,12,11,13,12,10,8,5,13,14,11,12,44.03,28.07,29.06
5989,B. Atik,24,168.9,73.3,Turkey,Middle-eastern,69,Right,Excellent,Good,Medium/Medium,LF,58.46,61.59,33.45,69.54,54.85,72.27,57.31,59.99,-55.92,70.99,76.63,69.48,92.39,61.39,89.91,12,16,14,8,10,8,5,13,13,11,12,51.72,23.95,26.98
5990,E. Oztumer,28,160.4,60,England,Caucasian,69,Left,Good,Excellent,High/Medium,SUB,58.28,65.09,35.82,68.46,65.67,66.3,69.8,-67.36,64.11,67.98,82.59,72.72,93.68,62.39,97.47,13,16,15,6,14,13,4,12,14,12,15,26.83,35.32,31.71
5991,M. García,22,169,65.2,Argentina,Caucasian,69,Left,Good,Good,Medium/Medium,RES,68.43,65.47,33.56,67.09,66.19,72.01,65.03,55.19,54.81,69.57,77.76,-66.9,82.78,65.53,90.37,12,6,14,6,12,6,4,12,13,10,12,35.24,24.97,20.11
5992,M. Edwards,20,-167,78.3,England,Caucasian,69,Left,Good,Excellent,Medium/Low,RES,56.42,52.99,37.35,65.77,44.89,83.22,63.72,59.98,58.53,74.83,79.39,71.47,88.39,64.45,92.44,11,9,11,7,8,9,6,12,12,11,12,37.95,32.88,27.47
5993,C. Fandrich,28,177.3,66.9,Germany,Caucasian,69,Right,Excellent,Good,Medium/Medium,RCM,57.82,52.76,17.58,-69.48,50.31,69.74,67.45,58.57,67.82,71.75,83.54,68.35,84.79,69.44,78.81,11,14,15,6,11,12,11,13,13,10,12,53.07,56.18,-51
5994,L. Spalvis,24,189.2,-78.2,Lithuania,Black,69,Left,Excellent,Good,High/Medium,,41.83,69.58,68.46,59.47,67.31,68.21,52.01,59.03,44.55,67.02,64.59,66.31,62.45,62.67,55.8,15,14,11,15,12,12,6,14,11,12,13,25.77,27.55,24.61
5995,Crislan,27,192.4,78.2,Brazil,Caucasian,69,Left,Excellent,Good,High/Medium,SUB,66.91,64.55,65.6,59.09,69.74,61.71,49.2,38.84,47.48,65.5,72.67,79.18,72.25,68.3,57.48,15,9,9,16,13,15,4,13,10,12,13,26.59,27.01,20.25
5996,Héber,27,180.2,72.1,,,69,Right,Good,Average,Medium/Low,SUB,45.67,71.4,72.18,63.93,67.56,61.25,57.5,47.03,47.21,68.51,65.44,67.52,66.39,68.47,66.13,13,14,11,14,11,11,6,14,10,14,12,31.4,22.93,20.27
5997,A. Fletcher,23,188.2,77.8,England,Caucasian,69,Right,Average,Good,Medium/Medium,LW,22.7,68.36,72.92,59.14,50.68,68.8,43.88,23.27,37.72,64.89,70.52,77.39,74.56,65.6,56.45,14,14,13,14,13,13,4,13,9,10,12,17.25,32.16,22.91
5998,M. Romero,20,179,71.7,Argentina,Caucasian,69,Right,Masterful,Good,Medium/Low,ST,45.05,71.73,-65.86,54.64,72.68,63,43.53,41.51,43.03,67.7,75.09,77.12,68.45,62.21,66.2,15,16,14,14,13,10,4,13,10,11,13,-24.92,21.45,19.35
5999,S. Plaza,20,189.1,83,Ecuador,Black,69,,Good,Excellent,High/Medium,RES,-55.44,67.43,65.61,56.73,60.22,64.01,60.16,28.95,48.73,-65.09,82.83,86.99,73.78,65.97,-66.88,14,14,13,16,11,12,3,13,10,12,13,25.6,18.43,25.5
6000,C. Wondolowski,36,182.5,77.4,United States,Middle-eastern,69,Right,Excellent,Average,High/High,ST,54.28,74.4,68.76,59.35,70.15,-62.08,59.8,56.66,45.8,64.4,38.28,44.14,53.88,76.43,60.51,14,12,14,12,12,13,9,16,12,14,14,49.49,47.94,44.38
6001,J. Acuña,31,175.5,69.8,Paraguay,Caucasian,69,Right,Good,Good,High/High,SUB,58.67,63.83,73.45,59.49,64.47,64.19,64.62,58.58,47.17,64.25,72.23,69.34,77.15,-64.75,76.92,15,18,13,15,13,16,5,13,12,13,11,52.93,29.57,29.12
6002,E. Falkenburg,31,187.1,83.5,Netherlands,Caucasian,69,Right,Excellent,Good,Medium/Medium,LW,60,-72.08,80.32,63.93,65.73,66.85,-61.16,63.38,61.73,67.96,47.48,43.62,66.24,66.79,56.86,13,13,12,14,14,8,5,13,13,11,14,44.16,31.91,29.55
6003,A. Sobiech,29,183.7,75.3,Poland,Caucasian,69,Right,Good,Average,Medium/Medium,ST,55.27,68.83,72.71,64.85,62.19,62.34,43.27,51.38,36.2,65.66,-63.73,73.15,67.05,66.89,59.41,14,16,12,14,12,14,6,13,12,14,12,19.18,32.29,24.26
6004,Douglas Vieira,31,189.3,82.8,Brazil,Black,69,Right,Good,Good,Medium/Medium,ST,63.97,70.4,70.59,65.06,60.43,63.65,52.56,52.89,59.42,67.33,67.08,62.2,66.08,64.24,35.58,12,13,14,16,12,13,4,13,11,13,13,22.72,22.99,22.71
6005,,25,185.8,84.2,Spain,Caucasian,69,Left,Good,Good,High/Medium,RS,35.34,66.77,70.16,66.11,63.39,63.28,46.87,42.18,48.95,66.64,61.64,62.99,65.33,61.88,70.58,13,13,11,15,11,11,4,15,11,12,12,30.61,24.74,19.73
6006,E. Triverio,30,183.3,79.7,Argentina,Caucasian,69,Right,Excellent,Good,High/Medium,SUB,43.29,69.69,71.83,54.88,-68.21,64.92,55.77,59.89,40.35,66.49,47.24,56.83,-62.07,68.03,55.05,15,15,12,14,13,8,7,14,12,14,13,25.24,-21.75,26.62
6007,Leandro Carrijo,33,186,86.6,Brazil,Caucasian,69,Right,Average,Average,Medium/Low,SUB,41.52,71.44,71.92,61.99,70.14,61.67,24.28,53.28,52.4,65.08,52.56,63.75,70.2,65.93,63.79,14,13,13,14,13,13,4,13,12,11,13,15.06,22.28,26.99
6008,C. Strandberg,23,185.5,85.3,Sweden,Caucasian,69,Left,Average,Average,,LS,50.4,66.21,56.67,59.12,64.09,63.48,42.45,30.99,45.71,60.57,71.64,87.81,40.89,66.91,50.31,15,15,13,18,12,11,2,13,11,11,13,23.04,25.81,15.77
6009,Klauss,22,190.4,85.4,Brazil,Black,69,Right,Good,Good,Medium/Medium,ST,57.73,66.69,69.6,65.48,58.03,66.45,43.41,54.76,-60.98,64.69,60.61,63.81,57.2,68.23,49.57,14,13,13,16,12,7,3,13,12,13,11,28.23,25.62,22.35
6010,R. Márquez,21,183.7,82.5,Colombia,Black,69,Right,Good,Average,Medium/Medium,ST,51.14,72.36,74.82,63.7,58.58,62.71,37.78,-25.04,48.24,68.17,70.08,68.83,63.2,55.71,58.95,13,14,10,13,11,10,4,14,10,14,10,30.25,14.92,10.95
6011,T. Bradshaw,26,178,71.4,Wales,Caucasian,69,Right,Good,Good,High/Medium,SUB,41.98,69.11,67.84,59.71,62.69,62.86,38.3,34.96,36.1,65.47,78.13,-77.71,84.64,67.69,78.74,12,16,17,13,12,8,4,14,9,13,13,30.31,15.94,16.5
6012,A. Bareiro,22,-184.3,83.6,Paraguay,Caucasian,69,Right,Good,Good,High/Medium,ST,34.09,72.01,68.19,54.76,52.6,67.73,44.61,37.72,47.65,69.73,67.6,69.82,58.81,61.91,62.43,12,13,11,15,13,6,2,14,10,13,13,21.42,15.86,15.22
6013,M. Suzuki,25,184.9,74,Japan,Asian,69,Right,Good,Good,Medium/Medium,RF,53.69,74.57,56.54,-57.49,62.37,66.74,55.47,37.69,35.99,63.37,76.99,76.54,66.09,67.09,54.42,13,10,8,15,12,6,2,13,10,11,11,17.44,10.84,-10.62
6014,E. Ruud,35,181.7,-76,Norway,Caucasian,69,Right,Good,Average,High/Medium,,71.88,57.69,65.09,69.87,58.21,60.95,79.78,73.99,68.2,66.92,64.91,61.7,71.88,75.39,64.32,16,15,14,15,13,15,13,12,13,12,13,62.73,68.4,66.72
6015,M. De Agostini,35,180.4,77.5,Italy,Caucasian,69,Left,Good,Average,Medium/High,LB,72.84,67.81,59.56,67.95,70.12,69.2,73.7,78.35,68.04,68.62,66.23,67.39,65.33,60.11,70.22,15,13,14,14,14,11,13,11,12,14,13,69.32,69.67,69.56
6016,J. Morrow,31,175.3,75.2,,,69,Left,Excellent,Good,High/High,LB,66.44,59.7,58.96,69.39,58.72,65.23,64.87,54.02,59.31,68.48,65.92,69.77,65.24,68.28,68.12,14,14,15,14,11,14,13,13,12,10,14,65.83,70.08,70.22
6017,R. Ibarra,24,174.1,77.3,Ecuador,Black,69,Right,Excellent,Good,High/Low,SUB,71.46,64.24,62.45,69.58,54.41,67.19,61.29,58.75,65.81,63.92,82.47,89.69,85.33,56.04,72.59,13,11,16,14,11,8,5,12,11,13,12,38.82,31.62,33.58
6018,F. Daprelà,28,183.1,75.7,Switzerland,Caucasian,69,Left,Good,Good,Medium/Medium,LCB,64.53,56.78,-63.29,63.36,46.05,67.16,53.34,39.78,60.76,70.17,72.51,78.69,74.17,64.89,64.54,12,16,17,16,12,13,12,13,11,9,13,-69.7,67.4,70.14
6019,J. Minala,22,184.3,84.1,Cameroon,Black,69,,Good,Good,High/High,RES,-49.05,63.19,59.62,73.44,55.97,69.02,54.51,51.6,67.66,-69.53,68.77,49.92,61.2,65.92,-60.76,13,15,15,13,13,15,13,12,12,8,12,64.05,61.93,60.45
6020,I. Ljubi?,22,184,75.2,Austria,Caucasian,69,Right,Good,Average,Medium/Medium,SUB,54.73,60.67,60.7,68,54.24,-68.45,56.72,46.58,68.93,69.1,68.04,63.31,66.46,65.32,66.23,12,12,15,13,12,12,13,13,13,12,13,69.04,65.07,64.21
6021,J. Gastien,31,178.7,69,France,Caucasian,69,Right,Good,Good,Medium/High,LDM,50.88,65.29,56.27,71.46,47.75,70.63,49.61,60.71,65.2,68.8,62.49,65.36,76.21,-55.9,81.52,13,13,18,14,12,16,12,13,13,10,12,66.76,67,59.44
6022,M. Maleš,30,180.8,74.1,Croatia,Caucasian,69,Right,Good,Average,High/Medium,RES,42.52,-54.93,48.23,65.23,73.21,60.84,-63.72,37.62,74.39,64.07,77.24,77.9,67.05,72.33,65.04,16,13,15,14,14,13,14,11,14,8,13,57.14,65.29,59.88
6023,R. Towell,27,173.4,66.2,Republic of Ireland,Caucasian,69,Right,Excellent,Good,High/High,RCM,59.2,63.41,54.82,68.52,60.03,63.22,58.74,65.8,65.83,69.48,-68.33,67.02,72.85,67.91,74.69,13,13,16,12,13,14,13,12,13,12,12,60.17,66.05,60.36
6024,M. Duffy,24,178.9,74.8,Northern Ireland,Caucasian,69,Right,Excellent,Excellent,Medium/Medium,LM,67.46,63.33,52.48,65.3,67.09,68.58,60.97,59.35,60,66.14,76.84,79.04,74.11,62.32,74.31,12,14,15,14,11,9,9,13,13,11,13,36.33,47.32,47.25
6025,,27,188.3,77.4,Brazil,Caucasian,69,Left,Good,Good,Medium/Medium,SUB,63.9,67.71,68.22,69.92,48.29,68.62,54.93,63.67,71.95,70.49,59.6,61.56,70.41,64.86,43.69,10,10,12,14,13,10,4,12,13,14,14,27.27,37.76,21.48
6026,V. Rüfli,31,180,75,Switzerland,Caucasian,69,Right,Excellent,Good,High/Medium,SUB,68.99,53.41,63.74,67.09,-32.5,66.68,69.95,54.08,65.77,68.02,72.49,69.74,-67.54,63.05,65.13,12,16,16,14,12,14,13,13,12,10,12,60.9,-66.58,68.05
6027,G. Aburjania,24,186.1,74.9,Georgia,Black,69,Right,Masterful,Good,Medium/Medium,CDM,66.38,59.39,56.14,71.05,47.1,65.83,62,58.02,67.55,72.91,59.19,65.06,59.52,66.99,63.82,13,13,12,13,13,14,13,11,14,9,14,64.61,69.57,59.05
6028,P. Olkowski,29,184.1,76.3,Poland,Caucasian,69,Right,Average,Good,,RB,64.94,50.43,55.16,67.65,55.62,68.53,52.59,35.89,57.72,67.67,74.42,74.68,73.6,67.49,65.33,13,12,16,14,13,13,12,12,12,9,13,61.89,72.15,67.32
6029,E. Ndoj,22,186.9,74.4,Albania,,69,Right,Good,Good,High/High,SUB,59.65,52.82,60.98,71.98,51.06,69.97,61.93,60.52,-68.47,71.15,78.75,74.43,64.68,70,63.9,12,12,14,13,13,12,12,10,13,11,13,64.3,66.57,65.54
6030,S. Branca,27,180.8,74.4,Italy,Caucasian,69,Right,Good,Good,Medium/Medium,LCM,59.05,50.76,61.49,72.34,52.45,65.68,56.94,-52.29,70.23,69.63,74.43,69.38,71.2,67.84,71.91,13,13,15,14,12,13,13,11,13,10,12,62.47,63.36,62.34
6031,B. Whiteman,23,184.6,67.9,England,Black,69,Right,Good,Good,Medium/Medium,RDM,56.6,60.91,55.33,70.49,48.97,64.93,56.27,56.24,70.49,67.8,73.05,-70.12,74.24,63.28,76.01,11,13,16,14,12,14,13,12,13,12,13,64.14,63.94,61.55
6032,Gus Ledes,26,-172.9,70.5,Portugal,Caucasian,69,Left,Average,Good,Medium/Medium,LDM,73.88,54.74,56.26,68.89,48.5,67.41,77.29,78.97,67.95,69.32,70.46,65.57,83.95,66.4,81.39,15,13,15,13,13,12,13,11,14,12,12,69.88,62,58.95
6033,A. Settembrini,27,175.7,67,Italy,Caucasian,69,Right,Excellent,Good,Medium/Medium,RCM,61.38,56.85,63.05,-74.36,54.66,67.02,57.67,55.5,69.36,69.7,70.14,70.87,63.8,67.83,77.08,12,12,14,11,11,12,12,12,13,11,12,57.25,67.55,-65.71
6034,Javi Ros,29,172.5,-67.9,Spain,Caucasian,69,Right,Excellent,Average,Medium/Medium,,57.04,60.53,40.65,71.86,51.6,58.71,72.25,66.98,69.37,69.71,68.43,69.51,77.13,64.14,81.83,14,13,15,13,13,13,12,13,14,13,13,59.01,68.62,69.52
6035,D. John,24,178.2,74.5,Wales,Caucasian,69,Left,Good,Good,High/Medium,SUB,72.31,54.48,53.6,67.88,45.63,73.53,67.82,46.35,61.89,70.11,88.22,85.72,86.6,65.14,81.52,13,11,14,12,10,11,12,11,10,12,12,55.3,66.27,63.85
6036,Z. Udovi?i?,31,184.7,71.6,,,69,Right,Average,Average,High/High,SUB,68.79,69.85,48.5,65.46,34.53,66.75,57.2,30.97,61.23,65.58,81.06,79.93,71.74,57.24,67.47,13,12,18,12,10,12,10,12,12,7,10,57.67,67.04,64.28
6037,H. Faik,27,189.6,77.8,Netherlands,Black,69,Left,Good,Good,Medium/Medium,LCM,75.09,59.01,47.49,69.77,62.06,67.61,82.1,77.75,76.3,71.76,47.65,52.47,64.41,60.11,60.44,16,10,14,12,15,11,12,12,13,11,14,56.08,54.29,49.75
6038,K. Jó?wiak,21,175.6,69.6,Poland,Caucasian,69,Right,Good,Good,High/Medium,LM,65.44,62.64,-41.46,66.01,48.91,64.59,48.71,34.31,60.44,68.19,87.34,91.7,77.76,60.15,78.85,12,10,14,14,8,12,6,12,12,10,12,-47.24,43.98,34.89
6039,Mula,22,176.6,64.2,Spain,Caucasian,69,,Good,Good,High/Medium,SUB,-70.13,62.85,48.4,69.36,50.14,70.85,65.44,41.81,65.06,-69.68,71.76,72.66,69.4,63.09,-68.25,11,13,12,13,11,11,8,12,12,9,11,33.47,35.61,38.03
6040,Jesús Jiménez,25,182.1,79.7,Spain,Caucasian,69,Right,Good,Excellent,Medium/Medium,LM,66.37,63.46,53.54,66.96,50.91,-68.44,59.25,41.88,57.43,67.76,72.8,79.29,81.89,62.45,72,11,14,15,14,9,7,5,13,13,9,14,33.61,35.12,33.61
6041,Zheng Zheng,29,186.1,77.2,China PR,Asian,69,Left,Average,Good,Medium/Medium,LB,64.97,63.01,56.06,69.7,48.26,68.05,66.71,66.56,61.96,66.9,80.25,74.95,63.45,-63.03,69.98,10,13,14,13,9,14,13,11,14,11,10,68.5,70.15,66.54
6042,K. Bare,21,173.9,71.9,Albania,,69,Right,Good,Good,Medium/Medium,RCM,57.74,-59.31,57.17,72.87,42.32,68.36,-53,42.93,70.81,70.68,69.62,66.7,70.3,66.65,75.46,11,11,13,13,11,13,12,12,12,9,12,66.9,62.36,61.93
6043,H. Kamara,25,167.6,66.6,France,Black,69,Left,Good,Good,Medium/Medium,LB,64.13,60.53,38.67,70.26,43.55,69.29,59.77,41.45,66.07,69.1,-78.86,74.7,81.88,65.48,86.22,13,10,14,11,10,13,13,12,12,9,12,67.82,66.39,67.8
6044,Ko Kwang Min,30,172.2,63.1,Korea Republic,Asian,69,Right,Excellent,Good,Medium/Medium,LM,66.09,58.5,46.34,64.62,43.46,66.82,53.57,36.48,56.95,63.41,86.31,90.2,80.68,63.23,88.05,12,16,16,8,10,10,12,13,12,11,11,61.34,66.25,63.16
6045,,27,178.3,68.6,Spain,Caucasian,69,Right,Excellent,Good,Medium/Medium,SUB,64.68,53.79,53.15,76.36,42.79,62.22,69.92,66.38,74.18,72.34,70.17,63.71,73.88,57.73,71.49,14,13,13,12,11,9,11,13,14,13,13,56.5,53.65,49.03
6046,D. Nagy,24,174.3,68.9,Hungary,Caucasian,69,Left,Good,Good,Medium/Medium,SUB,63.51,58.11,41.58,65.47,-61.46,72.24,59.37,52.38,61.69,67.35,85.31,79.98,-72.86,63.96,86.31,12,10,15,11,11,9,6,12,13,10,12,49.34,-40.23,43.66
6047,A. Urzi,19,167.6,63.8,Argentina,Caucasian,69,Right,Average,Good,Medium/Medium,RW,65.62,59.34,41.66,61.57,57.8,72.7,57.67,42.47,48.48,72.37,84.81,89.88,76.62,58.05,83.69,13,8,14,10,11,7,5,12,11,11,12,44.09,31.37,32.17
6048,D. Bohar,27,172.1,69.1,Slovenia,Caucasian,69,Right,Good,Good,,SUB,65.07,63.5,43.1,65.16,44.83,68.81,57.69,47.08,60.96,67.79,80.23,79.8,80.1,58.75,69.8,11,10,16,11,11,9,6,12,12,11,11,34.96,30.2,27.65
6049,H. Vaca,21,166.7,60.3,Bolivia,Black,69,Left,Good,Good,High/Low,,66.64,67.11,34.97,66.98,68.44,71.01,57.69,61.7,-66.36,64.13,74.85,77.17,79.9,59.45,91.41,13,11,16,9,11,7,5,12,13,14,12,38.07,32.42,40.38
6050,J. Deminguet,21,177.7,74.1,France,Black,69,Left,Good,Good,Medium/Medium,RCM,64.93,42.93,62.9,74.31,57.98,68.14,64.88,-71.55,67.33,71.66,69.38,70.03,72.24,65.06,72.32,13,10,14,11,11,13,12,13,14,11,12,55.72,63.12,59.61
6051,Guga Rodrigues,21,168,62.6,Portugal,Black,69,Right,Good,Average,Medium/Medium,RCM,48.2,46.91,57.04,70.7,37.5,66.62,56.72,65.04,66.76,69.54,69.39,-65.02,76.31,74.88,84.28,14,15,15,9,12,13,12,12,12,12,13,60.23,65.93,64.71
6052,D. Blacha,28,-173.5,72,Poland,Caucasian,69,Right,Excellent,Good,Medium/Medium,LDM,60.57,56.21,51.4,73.54,56.62,67.87,64.46,62.45,62.14,70.72,72.3,66.92,85.02,70.97,82.66,13,15,16,10,13,11,13,9,13,11,15,64.86,58.45,47.37
6053,D. Ivan,24,172.8,67.6,Slovakia,Caucasian,69,Left,Average,Good,Medium/Medium,SUB,57.86,55.27,49.86,-68.55,62.19,69.14,60.3,50.66,67.99,71.75,70.85,69.28,80.91,66.58,82.17,10,11,15,8,12,14,13,13,13,12,12,54.75,59.66,-53.57
6054,S. Gustafson,24,186.1,-79.7,Sweden,Caucasian,69,Right,Good,Good,Medium/Medium,,61.75,56.13,49.26,70.44,47.29,72.15,68.02,63.74,68.57,73.15,59.82,55.2,74.9,65.23,59.02,13,6,13,13,13,11,11,12,14,9,12,59.85,63.25,59.72
6055,M. Osman,25,183,78.4,Syria,Middle-eastern,69,Right,Average,Good,Medium/Medium,RCM,63.35,54.49,42.11,72.43,56,68,64.88,70.09,71.6,70.94,63.3,51.91,63.95,65.53,57.52,14,10,14,13,14,11,10,12,13,11,13,60.23,55.45,31.33
6056,J. Mendoza,26,171,69.7,,,69,Left,Good,Good,Medium/Medium,SUB,64.89,60.06,37.9,62.95,38.68,73.18,58.98,45.66,63.77,68.04,81.57,78.8,75.03,65.02,80.44,13,15,14,8,11,13,9,12,12,11,10,35.9,20.7,23.17
6057,M. Cañete,29,179.2,73.1,Argentina,Caucasian,69,Right,Good,Good,Medium/Medium,RES,67.91,61.44,45.31,72.31,54.13,68.73,57.07,49.04,65.35,70.16,55.8,50.99,72.17,60.56,72.36,12,11,7,12,15,10,4,13,15,12,11,28.61,34.48,33.74
6058,M. Smith,19,176.8,68.5,Wales,Caucasian,69,Right,Average,Good,High/High,SUB,62.33,55.17,-37.74,70.57,37.91,71.5,50.63,41.72,66.78,72.18,71.71,75.26,69.79,67.1,69.36,10,13,16,13,9,14,12,12,13,9,13,-58.52,61.4,59.32
6059,A. Palo?evi?,25,180.4,65.6,Serbia,Caucasian,69,,Excellent,Good,Medium/Low,LDM,-53.88,48.21,45.84,71.77,53.79,73.59,67.82,66.93,71.38,-72.03,68.84,67.13,70.59,67.94,-69.51,12,11,14,12,13,13,11,10,14,12,14,48.7,57.09,43.98
6060,P. Pomykal,19,169.8,65.6,United States,Black,69,Left,Good,Average,High/High,CAM,62.33,54.72,42.43,71.41,56.08,-66.61,63.17,64.59,72.16,65.2,76.83,71.89,81.18,65.07,81.59,11,13,15,11,12,11,6,13,14,12,13,66.6,57.96,52.89
6061,M. Ricci,25,179.3,66,Italy,Caucasian,69,Right,Average,Good,Medium/Medium,CM,59.47,45.18,39.25,72.09,41.96,65.34,54.37,55.02,69.95,68.49,74.63,70.24,79.25,-64.66,84.03,14,11,15,10,13,14,11,13,14,12,13,48.76,56.99,50.18
6062,S. Singh,20,175,65.3,New Zealand,Caucasian,69,Left,Average,Good,High/Medium,SUB,70.99,-57.79,43.93,67.55,55.77,69.48,-71.16,68.43,67.94,69.71,73.22,68.67,76.16,66.15,82.19,12,12,13,10,13,13,11,11,14,11,14,51.96,45.02,40.91
6063,Aguado,23,173.8,65.6,Spain,Caucasian,69,Right,Good,Good,High/Medium,RES,55.09,61.44,53.29,73.69,67.73,68.18,65.04,48.7,69.88,72.07,-61.17,55.78,75.03,65.49,78.25,11,11,12,7,13,8,11,11,14,10,12,41.89,61.73,54.8
6064,L. Paganini,26,182.3,70.1,Italy,Caucasian,69,Right,Good,Good,High/Medium,SUB,67.1,45.86,36.98,68.27,39.77,70.65,60.87,42.2,65.03,71.76,71.65,77.61,76.08,69.42,72.34,12,10,15,11,13,9,6,12,13,11,11,27.41,17.75,14.32
6065,,20,170.8,73.5,Australia,Caucasian,69,Right,Good,Excellent,High/Low,RES,65.07,62.91,23.21,64.08,51.26,75.75,65.56,40.27,57.81,72.01,77.12,79.02,78.22,57.83,74.21,10,6,11,6,11,7,4,12,13,12,13,34.08,32.94,35.33
6066,J. Collins,28,188.3,86.4,Republic of Ireland,Caucasian,69,Right,Good,Average,High/High,LS,36.58,69.52,72.8,59.8,-62.33,62.31,61.42,48.89,49.56,64.92,67.18,66.57,-68.13,65.47,52.76,13,16,16,16,11,12,6,14,10,13,14,43.34,-36.22,29.85
6067,T. Hemed,32,185.8,80.2,Israel,Middle-eastern,69,Right,Excellent,Good,Medium/Medium,RES,44.74,70.05,73.57,61.43,73.26,63.33,51.96,53.89,44.33,69.75,38.41,52.38,61.4,73.78,56.02,14,15,10,15,13,14,6,14,10,16,13,26.92,37.13,14.74
6068,A. Bouhaddouz,32,187.9,87.7,Morocco,Black,69,Right,Excellent,Good,,SUB,49.21,68.77,69.65,65.07,71.14,62.58,69.54,64.11,52.93,67.83,57.71,60.8,58.67,66.31,54.31,15,14,12,16,13,15,6,13,8,14,14,11.53,12.63,13.75
6069,A. Dona Ndoh,33,186.3,80.3,Cameroon,Black,69,Right,Average,Good,High/Low,RS,48.58,70.15,71.66,56.65,58.94,57.48,51.28,44.37,-51.53,62.61,62.29,71.33,56.74,64.95,51.14,13,13,14,17,12,9,3,15,11,14,14,34.06,16.23,13.21
6070,B. Fernández,27,183.2,80.1,Colombia,Black,69,Right,Good,Average,High/Medium,ST,33.6,76.86,60.31,50.6,63.22,61.98,65.85,-55.21,30.38,68.36,78.54,60.38,69.28,67.6,73.04,13,14,13,16,13,8,2,13,9,14,11,48.52,10.18,10.95
6071,J. Garner,31,177.6,73.9,England,Caucasian,69,Right,Good,Average,High/Medium,ST,48.56,68.12,76.26,57.94,68.98,62.35,48.61,43.25,56.85,64.52,67.68,-62.66,73.96,65.63,75.78,13,18,15,14,13,18,7,14,11,13,13,45.59,49.27,37.59
